,table_a,column_a,table_b,column_b,similarity,type,correct
0,1008ipopayments,Entity Category,1009ipopayments,Entity,0.970126748085022,textual,True
1,1007ipopayments,Entity,1009ipopayments,Entity,0.957464635372162,textual,True
2,1007ipopayments,Entity,1008ipopayments,Entity Category,0.949874758720398,textual,True
3,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.9379550218582152,textual,True
4,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9288136959075928,textual,True
5,1008ipopayments,Date,1009ipopayments,Date,0.9238561391830444,mixed,True
6,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.9218024015426636,textual,True
7,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.9199603796005248,textual,True
8,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.9193259477615356,textual,True
9,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.9143762588500975,textual,True
10,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.9115084409713744,textual,True
11,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.9034168124198914,textual,True
12,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.9015644788742064,textual,True
13,1008ipopayments,Department Category,1009ipopayments,Department family,0.8954905867576599,textual,True
14,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.891485869884491,textual,True
15,1009ipopayments,Entity,1010ipopayments,Department Primary,0.8911561965942383,textual,True
16,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8894147872924805,textual,True
17,1005ipopayments,OfficeName,1007ipopayments,Entity,0.8793189525604248,textual,True
18,1007ipopayments,Entity,1010ipopayments,Department Primary,0.8773695230484009,textual,True
19,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8762868046760559,textual,True
20,1007ipopayments,Expense type,1009ipopayments,Expense type,0.8724691867828369,textual,True
21,1005ipopayments,OfficeName,1009ipopayments,Entity,0.8696746826171875,textual,True
22,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.8691778779029846,textual,True
23,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.8633671998977661,textual,True
24,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8513827919960022,textual,True
25,1005ipopayments,OfficeName,1010ipopayments,Department Primary,0.8513588309288025,textual,True
26,1008ipopayments,Supplier,1009ipopayments,Supplier,0.8409332036972046,textual,True
27,1007ipopayments,Date,1009ipopayments,Date,0.8402684330940247,mixed,True
28,1007ipopayments,Department family,1009ipopayments,Department family,0.8389653563499451,textual,True
29,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.8361810445785522,textual,True
30,1004ipopayments,Transaction ID,1009ipopayments,Transaction number,0.8360332250595093,mixed,True
31,1007ipopayments,Department family,1008ipopayments,Department Category,0.8281084895133972,textual,True
32,1005ipopayments,Expense,1007ipopayments,Expense type,0.8218255043029785,textual,True
33,1006ipopayments,Expense type,1007ipopayments,Expense type,0.8205106258392334,textual,True
34,1006ipopayments,Expense type,1009ipopayments,Expense type,0.8147446513175964,textual,True
35,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8088507652282715,textual,True
36,1005ipopayments,Date,1007ipopayments,Date,0.7947143316268921,mixed,True
37,1007ipopayments,Date,1008ipopayments,Date,0.7890070676803589,mixed,True
38,1004ipopayments,Title,1008ipopayments,Department Category,0.7850329279899597,textual,False
39,1004ipopayments,Title,1007ipopayments,Department family,0.7778295874595642,textual,False
40,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.7776370048522949,textual,True
41,1004ipopayments,Title,1009ipopayments,Department family,0.7738128900527954,textual,False
42,1008ipopayments,Amount,1009ipopayments,Amount,0.771114706993103,numerical,True
43,1004ipopayments,Category,1010ipopayments,Department Primary,0.7676975727081299,textual,False
44,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.7673223614692688,numerical,True
45,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.7668662667274475,textual,True
46,1004ipopayments,Category,1010ipopayments,Expense Category,0.7650848627090454,textual,False
47,1005ipopayments,Expense,1006ipopayments,Expense type,0.7635480165481567,textual,True
48,1009ipopayments,Department family,1010ipopayments,Department Secondary,0.7601357698440552,textual,True
49,1005ipopayments,Expense,1008ipopayments,Expense Category,0.7570252418518066,textual,True
