,table_a,column_a,table_b,column_b,similarity,correct
0,25knov10,Supplier,25kjun12,Expense type,1.0,False
1,25knov10,Department family,25kmar11,Secondary Organization,1.0,True
2,25ksep11,Expense Category,25kjun10,Vendor,1.0,False
3,25kjun10,Dept,25kjul12,Department family,1.0,True
4,25koct11,Entity,25knov11,nan1,1.0,False
5,25kmar12,Department family,25kjul12,Department family,1.0,True
6,25kmar12,Department family,25kjun11,Entity,1.0,False
7,25knov10,Entity,25kjun11,Department family,1.0,False
8,25knov10,Expense area,25kmay10,Expense area,1.0,True
9,25kmay10,Expense type,25kjul12,Expense type,1.0,True
10,25kmay10,Supplier,25kmar12,Expense type,1.0,False
11,25koct10,Department family,25kjun11,Department family,1.0,True
12,25koct10,Expense area,25kmay10,Expense area,1.0,True
13,25kjun12,Expense type,25kjun11,Supplier,1.0,False
14,25ksep10,unnamed4,25kjul12,Expense type,1.0,False
15,25kmay10,Expense area,25kjul12,Expense area,1.0,True
16,25koct11,Expense type,25kjun11,Supplier,1.0,False
17,25kjun11,Expense type,25kjun10,Summary,1.0,True
18,25ksep11,Entity,25ksep10,unnamed0,1.0,False
19,25kmar12,Expense type,25kjun12,Expense type,1.0,True
20,25kmay10,Department family,25kmar11,Secondary Organization,1.0,True
21,25ksep11,Department family,25kjun10,Dept,1.0,True
22,25ksep10,unnamed3,25kjun10,Vendor,1.0,False
23,25koct10,Department family,25knov11,nan1,1.0,True
24,25ksep11,Entity,25kjun10,Ent,1.0,True
25,25kmay10,Entity,25kjun11,Department family,1.0,False
26,25knov11,nan1,25kjun11,Department family,1.0,True
27,25koct11,Department family,25kjun11,Department family,1.0,True
28,25koct11,Expense type,25knov11,nan6,1.0,False
29,25ksep10,unnamed4,25koct11,Expense type,1.0,False
30,25ksep11,Department family,25kmar12,Entity,1.0,False
31,25ksep11,Department family,25knov10,Department family,1.0,True
32,25knov10,Expense type,25kjun11,Supplier,1.0,False
33,25koct11,Expense area,25koct10,Expense area,1.0,True
34,25ksep11,Entity,25knov10,Entity,1.0,True
35,25ksep10,unnamed0,25kjun10,Dept,1.0,True
36,25koct11,Department family,25knov11,nan1,1.0,True
37,25ksep10,unnamed1,25kjun10,Ent,1.0,True
38,25knov10,Department family,25kjun11,Department family,1.0,True
39,25kmar12,Supplier,25kmar11,Vendor,1.0,True
40,25ksep10,unnamed4,25kmay10,Expense type,1.0,False
41,25ksep10,unnamed0,25kmar12,Entity,1.0,False
42,25ksep10,unnamed0,25knov10,Department family,1.0,True
43,25kmay10,Expense type,25kjun11,Supplier,1.0,False
44,25ksep11,Department family,25ksep10,unnamed0,1.0,True
45,25knov11,nan2,25kjun10,Dept,1.0,False
46,25ksep10,unnamed1,25knov10,Entity,1.0,True
47,25koct11,Entity,25kjun10,Dept,1.0,False
48,25kmar12,Entity,25kjun10,Ent,1.0,True
49,25koct10,Supplier,25knov10,Supplier,1.0,True
50,25kmay10,Department family,25kjun11,Department family,1.0,True
51,25kjun10,Vendor,25kjul12,Expense area,1.0,False
52,25knov11,nan2,25kmar12,Entity,1.0,True
53,25knov11,nan2,25knov10,Department family,1.0,False
54,25koct11,Entity,25kmar12,Entity,1.0,True
55,25koct11,Entity,25knov10,Department family,1.0,False
56,25ksep11,Expense Category,25knov11,nan5,1.0,True
57,25knov10,Entity,25kjun10,Dept,1.0,False
58,25koct10,Department family,25kjun10,Dept,1.0,True
59,25kjun11,Department family,25kjun10,Ent,1.0,False
60,25knov11,nan5,25kjun10,Vendor,1.0,False
61,25kmar11,Primary Organization,25kjun10,Ent,1.0,True
62,25koct11,Expense area,25kjun10,Vendor,1.0,False
63,25kmar12,Expense area,25kmar11,Expense Category,1.0,True
64,25knov10,Supplier,25kmar11,Expense Summary,1.0,False
65,25koct10,Supplier,25kmar11,Expense Summary,1.0,False
66,25ksep11,Expense Title,25kjun11,Expense type,1.0,True
67,25knov10,Entity,25kmar12,Entity,1.0,True
68,25koct10,Department family,25kmar12,Entity,1.0,False
69,25koct10,Department family,25knov10,Department family,1.0,True
70,25ksep10,unnamed3,25knov11,nan5,1.0,True
71,25ksep11,Entity,25kjul12,Entity,1.0,True
72,25ksep11,Expense Category,25kjun11,Expense area,1.0,True
73,25kmay10,Entity,25kjun10,Dept,1.0,False
74,25knov11,nan1,25kjun10,Dept,1.0,True
75,25knov10,Expense area,25kjun10,Vendor,1.0,False
76,25koct11,Department family,25kjun10,Dept,1.0,True
77,25koct10,Expense area,25kjun10,Vendor,1.0,False
78,25kmar12,Department family,25kjun10,Ent,1.0,False
79,25ksep11,Supplier,25kmar12,Supplier,1.0,True
80,25ksep11,Expense Title,25knov11,nan4,1.0,True
81,25ksep11,Department family,25kmar11,Primary Organization,1.0,False
82,25ksep11,Department family,25kmay10,Department family,1.0,True
83,25ksep10,unnamed1,25kjul12,Department family,1.0,False
84,25ksep10,unnamed1,25kjun11,Entity,1.0,True
85,25kmay10,Supplier,25kmar11,Expense Summary,1.0,False
86,25ksep11,Entity,25kmay10,Entity,1.0,True
87,25ksep10,unnamed2,25kjun11,Expense type,1.0,True
88,25koct11,Supplier,25kjul12,Supplier,1.0,True
89,25kmay10,Entity,25kmar12,Entity,1.0,True
90,25knov11,nan6,25kmay10,Expense type,1.0,False
91,25knov11,nan1,25kmar12,Entity,1.0,False
92,25knov11,nan1,25knov10,Department family,1.0,True
93,25koct11,Department family,25kmar12,Entity,1.0,False
94,25koct11,Department family,25knov10,Department family,1.0,True
95,25ksep10,unnamed1,25kjul12,Entity,1.0,True
96,25kmar12,Description,25kjun12,Description,1.0,True
97,25ksep11,Department family,25koct11,Department family,1.0,True
98,25knov10,Department family,25kjun10,Dept,1.0,True
99,25kmay10,Expense area,25kjun10,Vendor,1.0,False
100,25kmar11,Secondary Organization,25kjun10,Ent,1.0,False
101,25ksep11,Entity,25koct11,Entity,1.0,True
102,25ksep10,unnamed0,25kmar11,Primary Organization,1.0,False
103,25ksep10,unnamed0,25kmay10,Department family,1.0,True
104,25ksep10,unnamed2,25knov11,nan4,1.0,True
105,25ksep11,Department family,25kjul12,Department family,1.0,True
106,25ksep11,Department family,25kjun11,Entity,1.0,False
107,25koct11,Expense type,25knov10,Supplier,1.0,False
108,25ksep10,unnamed1,25kmay10,Entity,1.0,True
109,25ksep11,Entity,25kmar12,Department family,1.0,False
110,25kmar12,Entity,25kjul12,Entity,1.0,True
111,25kmar12,Expense area,25kjun11,Expense area,1.0,True
112,25knov10,Supplier,25kmay10,Expense type,1.0,False
113,25knov10,Department family,25kmar12,Entity,1.0,False
114,25ksep10,unnamed4,25koct10,Expense type,1.0,False
