,table_a,column_a,table_b,column_b,similarity,correct
0,dblp_1,author,arxiv_2,Authors,1.0,True
1,thecvf_1,Authors,google_scholar_2,authors,1.0,True
2,neurips_1,Abstract,google_scholar_1,title,1.0,False
3,neurips_1,Title,citeseer_1,title,1.0,True
4,google_scholar_2,venue,google_scholar_1,organization,1.0,True
5,google_scholar_2,authors,dblp_2,authors,1.0,True
6,thecvf_1,Authors,arxiv_1,Authors,1.0,True
7,thecvf_1,JournalRef,google_scholar_1,organization,1.0,True
8,thecvf_1,Title,neurips_1,Abstract,1.0,False
9,dblp_2,venue,dblp_1,crossref,1.0,False
10,google_scholar_1,publisher,dblp_1,booktitle,1.0,False
11,thecvf_1,Title,arxiv_2,Title,1.0,True
12,google_scholar_2,title,arxiv_1,Abstract,1.0,False
13,google_scholar_2,venue,google_scholar_1,publisher,1.0,False
14,dblp_3,title,citeseer_1,title,1.0,True
15,neurips_1,Title,dblp_3,title,1.0,True
16,google_scholar_1,title,dblp_1,title,1.0,True
17,google_scholar_1,author,dblp_2,authors,1.0,True
18,dblp_3,authors,arxiv_2,Authors,1.0,True
19,neurips_1,Authors,citeseer_1,authors,1.0,True
20,arxiv_2,Title,arxiv_1,Abstract,1.0,False
21,thecvf_1,Month,arxiv_1,Date,1.0,False
22,dblp_1,title,arxiv_1,Abstract,1.0,False
23,citeseer_1,journal,arxiv_2,Tag,1.0,False
24,dblp_2,title,arxiv_1,Abstract,1.0,False
25,neurips_1,Title,google_scholar_2,title,1.0,True
26,dblp_1,author,arxiv_1,Authors,1.0,True
27,neurips_1,Authors,google_scholar_2,authors,1.0,True
28,neurips_1,Authors,dblp_1,author,1.0,True
29,thecvf_1,Authors,neurips_1,Authors,1.0,True
30,neurips_1,Authors,arxiv_1,Authors,1.0,True
31,neurips_1,Abstract,arxiv_1,Title,1.0,False
32,neurips_1,Abstract,dblp_1,title,1.0,False
33,neurips_1,Title,arxiv_2,Title,1.0,True
34,dblp_3,authors,arxiv_1,Authors,1.0,True
35,google_scholar_2,title,citeseer_1,title,1.0,True
36,google_scholar_2,venue,google_scholar_1,booktitle,1.0,True
37,thecvf_1,Title,arxiv_1,Title,1.0,True
38,citeseer_1,title,arxiv_1,Abstract,1.0,False
39,dblp_3,title,arxiv_2,Title,1.0,True
40,google_scholar_1,journal,dblp_3,journal,1.0,True
41,thecvf_1,Title,dblp_1,title,1.0,True
42,neurips_1,Authors,arxiv_2,Authors,1.0,True
43,dblp_1,title,citeseer_1,title,1.0,True
44,dblp_2,title,citeseer_1,title,1.0,True
45,google_scholar_2,title,dblp_3,title,1.0,True
46,google_scholar_1,title,arxiv_1,Title,1.0,True
47,thecvf_1,JournalRef,google_scholar_1,publisher,1.0,False
48,google_scholar_2,authors,citeseer_1,authors,1.0,True
49,thecvf_1,Title,google_scholar_1,title,1.0,True
50,thecvf_1,Title,neurips_1,Title,1.0,True
51,dblp_3,journal,arxiv_1,Journal-ref,1.0,True
52,google_scholar_1,journal,arxiv_1,Journal-ref,1.0,True
53,dblp_3,journal,dblp_1,journal,1.0,True
54,dblp_2,authors,citeseer_1,authors,1.0,True
55,google_scholar_2,authors,dblp_1,author,1.0,True
56,google_scholar_2,authors,dblp_3,authors,1.0,True
57,google_scholar_1,journal,dblp_1,journal,1.0,True
58,google_scholar_1,author,citeseer_1,authors,1.0,True
59,neurips_1,Title,arxiv_1,Title,1.0,True
60,google_scholar_1,booktitle,dblp_3,journal,1.0,True
61,neurips_1,Abstract,dblp_2,title,1.0,False
62,neurips_1,Title,dblp_1,title,1.0,True
63,google_scholar_2,title,arxiv_2,Title,1.0,True
64,google_scholar_2,venue,dblp_3,journal,1.0,True
65,dblp_3,journal,dblp_1,booktitle,1.0,True
66,google_scholar_1,journal,dblp_1,booktitle,1.0,True
67,thecvf_1,JournalRef,dblp_3,journal,1.0,True
68,arxiv_2,Authors,arxiv_1,Authors,1.0,True
69,dblp_2,authors,dblp_1,author,1.0,True
70,google_scholar_2,authors,google_scholar_1,author,1.0,True
71,google_scholar_1,author,dblp_3,authors,1.0,True
72,google_scholar_1,author,dblp_1,author,1.0,True
73,citeseer_1,authors,arxiv_2,Authors,1.0,True
74,dblp_2,authors,arxiv_1,Authors,1.0,True
75,dblp_3,title,arxiv_1,Title,1.0,True
76,dblp_1,title,arxiv_2,Title,1.0,True
77,dblp_3,title,dblp_1,title,1.0,True
78,neurips_1,Title,google_scholar_1,title,1.0,True
79,dblp_2,title,arxiv_2,Title,1.0,True
80,google_scholar_1,organization,dblp_3,journal,1.0,True
81,thecvf_1,JournalRef,google_scholar_1,booktitle,1.0,True
82,thecvf_1,Title,dblp_2,title,1.0,True
83,google_scholar_2,authors,arxiv_2,Authors,1.0,True
84,google_scholar_1,booktitle,arxiv_1,Journal-ref,1.0,True
85,google_scholar_1,booktitle,dblp_1,journal,1.0,True
86,neurips_1,Abstract,dblp_3,title,1.0,False
87,neurips_1,Abstract,arxiv_1,Abstract,1.0,True
88,dblp_3,authors,dblp_2,authors,1.0,True
89,google_scholar_2,venue,dblp_1,journal,1.0,True
90,thecvf_1,JournalRef,dblp_1,journal,1.0,True
91,google_scholar_1,title,dblp_2,title,1.0,True
92,dblp_2,authors,arxiv_2,Authors,1.0,True
93,google_scholar_1,publisher,dblp_3,journal,1.0,False
94,google_scholar_1,author,arxiv_2,Authors,1.0,True
95,google_scholar_1,booktitle,dblp_1,booktitle,1.0,True
96,thecvf_1,Authors,dblp_2,authors,1.0,True
97,google_scholar_2,venue,dblp_1,booktitle,1.0,True
98,google_scholar_1,organization,arxiv_1,Journal-ref,1.0,True
99,citeseer_1,authors,arxiv_1,Authors,1.0,True
100,google_scholar_1,organization,dblp_1,journal,1.0,True
101,google_scholar_1,title,citeseer_1,title,1.0,True
102,thecvf_1,Title,arxiv_1,Abstract,1.0,False
103,citeseer_1,title,arxiv_2,Title,1.0,True
104,google_scholar_2,title,arxiv_1,Title,1.0,True
105,thecvf_1,Authors,citeseer_1,authors,1.0,True
106,neurips_1,Title,dblp_2,title,1.0,True
107,google_scholar_2,title,dblp_1,title,1.0,True
108,google_scholar_2,authors,arxiv_1,Authors,1.0,True
109,google_scholar_2,venue,google_scholar_1,journal,1.0,True
110,dblp_1,journal,arxiv_1,Journal-ref,1.0,True
111,google_scholar_1,organization,dblp_1,booktitle,1.0,True
112,google_scholar_1,ENTRYTYPE,dblp_1,ENTRYTYPE,1.0,True
113,neurips_1,Abstract,arxiv_2,Title,1.0,False
114,arxiv_2,Title,arxiv_1,Title,1.0,True
115,google_scholar_1,title,dblp_3,title,1.0,True
116,dblp_1,title,arxiv_1,Title,1.0,True
117,google_scholar_1,title,arxiv_1,Abstract,1.0,False
118,dblp_2,title,arxiv_1,Title,1.0,True
119,google_scholar_1,publisher,dblp_1,journal,1.0,False
120,thecvf_1,Authors,dblp_3,authors,1.0,True
121,thecvf_1,Authors,dblp_1,author,1.0,True
122,dblp_3,title,dblp_2,title,1.0,True
123,dblp_2,title,dblp_1,title,1.0,True
124,google_scholar_2,title,google_scholar_1,title,1.0,True
125,google_scholar_1,author,arxiv_1,Authors,1.0,True
126,thecvf_1,JournalRef,google_scholar_2,venue,1.0,True
127,neurips_1,Abstract,citeseer_1,title,1.0,False
128,neurips_1,Authors,dblp_2,authors,1.0,True
129,dblp_1,booktitle,arxiv_1,Journal-ref,1.0,True
130,dblp_1,author,citeseer_1,authors,1.0,True
131,thecvf_1,Authors,google_scholar_1,author,1.0,True
132,neurips_1,Title,arxiv_1,Abstract,1.0,False
133,google_scholar_2,venue,arxiv_1,Journal-ref,1.0,True
134,thecvf_1,JournalRef,arxiv_1,Journal-ref,1.0,True
135,google_scholar_1,title,arxiv_2,Title,1.0,True
136,thecvf_1,Title,citeseer_1,title,1.0,True
137,dblp_3,publication_type,dblp_1,ENTRYTYPE,1.0,True
138,thecvf_1,Authors,arxiv_2,Authors,1.0,True
139,citeseer_1,title,arxiv_1,Title,1.0,True
140,dblp_3,title,arxiv_1,Abstract,1.0,False
141,neurips_1,Abstract,google_scholar_2,title,1.0,False
142,google_scholar_2,id,dblp_2,id,1.0,True
143,thecvf_1,JournalRef,dblp_1,booktitle,1.0,True
144,dblp_3,authors,citeseer_1,authors,1.0,True
145,neurips_1,Authors,dblp_3,authors,1.0,True
146,thecvf_1,Title,dblp_3,title,1.0,True
147,google_scholar_2,title,dblp_2,title,1.0,True
148,google_scholar_1,ENTRYTYPE,dblp_3,publication_type,1.0,True
149,thecvf_1,JournalRef,google_scholar_1,journal,1.0,True
150,thecvf_1,Title,google_scholar_2,title,1.0,True
151,dblp_3,authors,dblp_1,author,1.0,True
152,neurips_1,Authors,google_scholar_1,author,1.0,True
153,google_scholar_1,publisher,arxiv_1,Journal-ref,1.0,False
