,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9963260293006896,numerical,True
1,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9960708022117616,numerical,True
2,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9960210919380188,numerical,True
3,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.9957457184791564,textual,True
4,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9943401217460632,numerical,True
5,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9941323399543762,numerical,True
6,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9939305782318116,numerical,True
7,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9935240745544434,numerical,True
8,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.9921623468399048,textual,True
9,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.991633415222168,textual,True
10,amo-ame-2009-eng,MINE,amo-ame-2010-eng,MINE,0.9911637902259828,textual,True
11,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.990859031677246,numerical,True
12,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.990631103515625,numerical,True
13,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.9904037714004515,numerical,True
14,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9903005361557008,numerical,True
15,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.990148425102234,numerical,True
16,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9900179505348206,numerical,True
17,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.989575207233429,numerical,True
18,amo-ame-2009-eng,MINC,amo-ame-2010-eng,MINC,0.989504098892212,numerical,True
19,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.9891470074653624,numerical,True
20,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9890753030776978,numerical,True
21,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.9890140295028688,textual,True
22,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.988844096660614,numerical,True
23,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.988656759262085,numerical,True
24,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.9884677529335022,numerical,True
25,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9882171154022216,numerical,True
26,amo-ame-2008-eng,ORGANIZATION,amo-ame-2011-eng,MINE,0.9878220558166504,textual,True
27,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9874675273895264,numerical,True
28,amo-ame-2011-eng,MINE,amo-ame-2012-eng,ï»¿Name,0.9872671961784364,textual,True
29,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9871737957000732,numerical,True
30,amo-ame-2008-eng,ORGANIZATION,amo-ame-2009-eng,MINE,0.987095057964325,textual,True
31,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9869942665100098,numerical,True
32,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.9868640303611756,textual,True
33,amo-ame-2009-eng,MINE,amo-ame-2012-eng,ï»¿Name,0.9865995049476624,textual,True
34,amo-ame-2008-eng,AGGREGATE,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9865515232086182,numerical,True
35,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9865262508392334,numerical,True
36,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,0.9862736463546752,textual,True
37,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9862423539161682,numerical,True
38,amo-ame-2008-eng,AGGREGATE,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9859827160835266,numerical,True
39,amo-ame-2013-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.9859300255775452,numerical,True
40,amo-ame-2013-eng,Description,amo-ame-2018-eng,OBJ_EN_NM,0.9854440689086914,textual,True
41,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9853291511535645,numerical,True
42,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9852943420410156,numerical,True
43,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,0.9852848649024964,textual,True
44,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9850444197654724,numerical,True
45,amo-ame-2013-eng,Amount,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9850115180015564,numerical,True
46,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9848742485046388,numerical,True
47,amo-ame-2009-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.984833002090454,numerical,True
48,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.984792709350586,textual,True
49,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9847216606140136,numerical,True
50,amo-ame-2008-eng,ORGANIZATION,amo-ame-2012-eng,ï»¿Name,0.9845218062400818,textual,True
51,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.9843717217445374,numerical,True
