,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.8811463713645935,numerical,True
1,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.8785287141799927,textual,True
2,amo-ame-2012-eng,ID,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.8753633499145508,numerical,True
3,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.874813437461853,numerical,True
4,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2012-eng,ID,0.860419750213623,numerical,True
5,amo-ame-2012-eng,Description,amo-ame-2018-eng,DEPT_EN_DESC,0.8589244484901428,textual,True
6,amo-ame-2012-eng,ï»¿Name,amo-ame-2018-eng,ï»¿FSCL_YR,0.8552744388580322,textual,False
7,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,0.8534411191940308,textual,True
8,amo-ame-2008-eng,AGGREGATE,amo-ame-2017-eng,AGRG_PYMT_AMT,0.8485878705978394,numerical,True
9,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.845920979976654,numerical,True
10,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.8439333438873291,textual,True
11,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.8435361385345459,numerical,True
12,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2012-eng,ï»¿Name,0.8382053375244141,textual,False
13,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8346812725067139,mixed,True
14,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.8330931663513184,numerical,True
15,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.8302803635597229,numerical,True
16,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.8297511339187622,numerical,True
17,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.829072117805481,numerical,True
18,amo-ame-2017-eng,ï»¿MINC,amo-ame-2018-eng,ï»¿FSCL_YR,0.8256369829177856,textual,False
19,amo-ame-2017-eng,ï»¿MINC,amo-ame-2019-eng,ï»¿Year,0.8182440996170044,textual,False
20,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.8164682984352112,numerical,True
21,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.8160240054130554,numerical,True
22,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2012-eng,ID,0.8095121383666992,numerical,True
23,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.8086788058280945,numerical,True
24,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2017-eng,DEPT_EN_DESC,0.806912899017334,textual,True
25,amo-ame-2008-eng,ï»¿DATE,amo-ame-2017-eng,ï»¿MINC,0.8029383420944214,textual,False
