,table_a,column_a,table_b,column_b,similarity,type,correct
0,barnes_and_noble_2,Title,barnes_and_noble_6,title,0.8701106309890747,textual,True
1,amazon_5,pages,barnes_and_noble_3,Pages,0.8582650423049927,numerical,True
2,amazon_5,old_price,barnes_and_noble_6,old_price,0.8511054515838623,mixed,True
3,amazon_4,year,goodreads_2,year,0.8470085263252258,numerical,True
4,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.8434252738952637,mixed,True
5,barnes_and_noble_2,Title,barnes_and_noble_4,Title,0.8431790471076965,textual,True
6,amazon_5,title,barnes_and_noble_6,title,0.8431004285812378,textual,True
7,book_depository_1,ISBN_13,goodreads_4,ISBN_13,0.8390387892723083,numerical,True
8,amazon_4,format,goodreads_2,format,0.826862633228302,textual,True
9,amazon_5,title,barnes_and_noble_2,Title,0.8214389681816101,textual,True
10,barnes_and_noble_4,Title,barnes_and_noble_6,title,0.8127108812332153,textual,True
11,amazon_5,pages,barnes_and_noble_6,pages,0.809005856513977,numerical,True
12,amazon_1,authors,barnes_and_noble_1,authors,0.8089556694030762,textual,True
13,book_depository_1,Language,goodreads_4,Language,0.8078322410583496,textual,True
14,book_depository_1,ID,goodreads_4,ID,0.806341826915741,numerical,True
15,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.8054848313331604,numerical,True
16,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.8048852682113647,numerical,True
17,book_depository_1,ISBN_10,goodreads_4,ISBN_10,0.8040949702262878,mixed,True
18,book_depository_1,Page,goodreads_4,Page,0.7998801469802856,numerical,True
19,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.795859694480896,numerical,True
20,amazon_4,name,goodreads_2,name,0.7927954792976379,textual,True
21,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.7913691401481628,textual,True
22,barnes_and_noble_4,Author,barnes_and_noble_6,authors,0.7910623550415039,textual,True
23,amazon_4,name,barnes_and_noble_2,Title,0.7902990579605103,textual,True
24,amazon_1,series,barnes_and_noble_1,series,0.7886039614677429,textual,True
25,amazon_1,pages,barnes_and_noble_1,pages,0.7883285284042358,numerical,True
26,amazon_4,name,barnes_and_noble_6,title,0.7838121056556702,textual,True
27,amazon_4,name,amazon_5,title,0.7829532027244568,textual,True
28,amazon_4,_id,goodreads_2,_id,0.7826677560806274,numerical,True
29,amazon_4,name,barnes_and_noble_4,Title,0.7806775569915771,textual,True
30,amazon_4,rating,goodreads_2,rating,0.7761579155921936,numerical,True
31,barnes_and_noble_3,Dimensions,barnes_and_noble_4,Product_dimensions,0.7751018404960632,textual,True
32,book_depository_1,Format,goodreads_4,Format,0.7745545506477356,textual,True
33,barnes_and_noble_3,Author,half_1,Author,0.7731912136077881,textual,True
34,amazon_1,title,barnes_and_noble_1,title,0.7724375128746033,textual,True
35,barnes_and_noble_3,ID,half_1,ID,0.7718139886856079,mixed,True
36,amazon_5,title,barnes_and_noble_4,Title,0.771494448184967,textual,True
37,barnes_and_noble_3,Price,half_1,UsedPrice,0.7708933353424072,textual,True
38,book_depository_1,_id,goodreads_4,_id,0.7694275379180908,numerical,True
39,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.7672445774078369,textual,True
40,amazon_5,product_dimensions,barnes_and_noble_3,Dimensions,0.7629761099815369,textual,True
41,amazon_5,product_dimensions,barnes_and_noble_4,Product_dimensions,0.762453019618988,textual,True
42,amazon_5,_id,barnes_and_noble_6,_id,0.7623509168624878,numerical,True
43,amazon_5,book_format,barnes_and_noble_6,book_format,0.7568500638008118,textual,True
44,barnes_and_noble_3,ISBN13,half_1,ISBN10,0.7545217275619507,textual,False
45,amazon_1,authors,barnes_and_noble_5,authors,0.7530680298805237,textual,True
46,barnes_and_noble_2,ID,barnes_and_noble_3,ID,0.7510675191879272,textual,True
47,amazon_4,author,goodreads_2,author,0.7471591830253601,textual,True
48,amazon_4,author,book_depository_1,Author,0.7470718622207642,textual,True
49,book_depository_1,Name,goodreads_4,Name,0.7467062473297119,textual,True
50,amazon_5,isbn13,barnes_and_noble_6,isbn13,0.7466598749160767,numerical,True
51,book_depository_1,Author,goodreads_4,Author,0.743657648563385,textual,True
52,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.7432726621627808,numerical,True
53,amazon_2,Author,barnes_and_noble_4,Author,0.7405027151107788,textual,True
54,barnes_and_noble_3,Publication_Date,barnes_and_noble_6,publication_date,0.7382106781005859,mixed,True
55,amazon_1,language,barnes_and_noble_1,language,0.7345350980758667,textual,True
56,amazon_2,Price,barnes_and_noble_4,Hardcover,0.733971893787384,mixed,True
57,barnes_and_noble_3,Dimensions,barnes_and_noble_6,product_dimensions,0.7332471013069153,textual,True
58,goodreads_2,author,goodreads_4,Author,0.7326174974441528,textual,True
59,barnes_and_noble_2,ID,barnes_and_noble_6,_id,0.7317652106285095,numerical,True
60,amazon_3,Pages,barnes_and_noble_6,pages,0.7305293679237366,numerical,True
61,goodreads_3,ID,imsa_1,ID,0.7285276055335999,numerical,True
62,amazon_1,publisher,amazon_2,Publisher_dummy,0.7254819273948669,textual,True
63,amazon_5,authors,barnes_and_noble_6,authors,0.7206632494926453,textual,True
64,amazon_5,cur_price,half_1,UsedPrice,0.7202951312065125,mixed,True
65,barnes_and_noble_1,authors,barnes_and_noble_5,authors,0.7197772860527039,textual,True
66,barnes_and_noble_4,ID,barnes_and_noble_6,_id,0.719310462474823,numerical,True
67,goodreads_2,name,goodreads_4,Name,0.717362105846405,textual,True
68,barnes_and_noble_3,ID,barnes_and_noble_6,_id,0.7161144018173218,textual,True
69,barnes_and_noble_2,ID,half_1,ID,0.7143125534057617,textual,True
70,amazon_1,authors,amazon_2,Author,0.7097688913345337,textual,True
71,amazon_3,Pages,barnes_and_noble_3,Pages,0.7097594738006592,numerical,True
72,amazon_4,author,goodreads_4,Author,0.7083404064178467,textual,True
73,amazon_5,title,goodreads_2,name,0.7077109217643738,textual,True
74,barnes_and_noble_2,Author1,barnes_and_noble_6,authors,0.7071362733840942,textual,True
75,amazon_5,publication_date,barnes_and_noble_6,publication_date,0.7067610025405884,mixed,True
76,amazon_1,id,barnes_and_noble_4,ID,0.7034514546394348,numerical,True
77,amazon_3,Title,barnes_and_noble_5,title,0.7028298377990723,textual,True
78,amazon_1,id,barnes_and_noble_1,id,0.7015179395675659,numerical,True
79,amazon_5,publisher,half_1,Publisher,0.7005553841590881,textual,True
80,amazon_1,authors,barnes_and_noble_4,Author,0.6995570659637451,textual,True
81,amazon_5,cur_price,barnes_and_noble_3,Price,0.6968137621879578,textual,True
82,amazon_5,old_price,half_1,NewPrice,0.6966557502746582,mixed,True
83,barnes_and_noble_3,Price,barnes_and_noble_6,cur_price,0.6925171613693237,textual,True
84,barnes_and_noble_2,Author1,barnes_and_noble_4,Author,0.6904534101486206,textual,True
85,barnes_and_noble_6,cur_price,half_1,UsedPrice,0.6903189420700073,mixed,True
86,amazon_4,author,barnes_and_noble_4,Author,0.6891518831253052,textual,True
87,amazon_3,Pages,amazon_5,pages,0.688170850276947,numerical,True
88,amazon_1,id,barnes_and_noble_5,ID,0.6870504021644592,textual,True
89,amazon_5,_id,half_1,ID,0.6860693097114563,textual,True
90,barnes_and_noble_2,Title,goodreads_1,Title,0.6859368085861206,textual,True
91,barnes_and_noble_6,old_price,half_1,NewPrice,0.6853787302970886,mixed,True
92,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.6852615475654602,textual,True
93,amazon_2,Author,barnes_and_noble_6,authors,0.6834797859191895,textual,True
94,barnes_and_noble_6,title,goodreads_2,name,0.6833819150924683,textual,True
95,amazon_5,_id,barnes_and_noble_3,ID,0.6820029616355896,textual,True
96,amazon_4,author,barnes_and_noble_6,authors,0.6816673278808594,textual,True
97,book_depository_1,ID,imsa_1,ID,0.6772950887680054,numerical,True
98,goodreads_2,_id,half_1,ID,0.676757276058197,textual,True
99,amazon_4,name,goodreads_4,Name,0.6760040521621704,textual,True
100,amazon_3,Publisher,barnes_and_noble_1,publisher,0.6753566265106201,textual,True
101,barnes_and_noble_6,_id,half_1,ID,0.6746971011161804,textual,True
102,barnes_and_noble_1,authors,barnes_and_noble_4,Author,0.6741169691085815,textual,True
103,amazon_1,publisher,barnes_and_noble_1,publisher,0.6740713119506836,textual,True
104,barnes_and_noble_4,ID,half_1,ID,0.6735101342201233,textual,True
105,amazon_5,publication_date,barnes_and_noble_3,Publication_Date,0.6708765029907227,mixed,True
106,barnes_and_noble_6,authors,book_depository_1,Author,0.668944239616394,textual,True
107,barnes_and_noble_4,Title,goodreads_1,Title,0.6687852144241333,textual,True
108,barnes_and_noble_3,ID,barnes_and_noble_4,ID,0.6678709387779236,textual,True
109,amazon_5,isbn13,barnes_and_noble_4,ISBN_13_DUMMY,0.6657617092132568,numerical,True
110,amazon_2,Language,goodreads_1,Language,0.6653484106063843,textual,True
111,amazon_2,ID,amazon_3,ID,0.6643168926239014,textual,True
112,goodreads_1,PublishDate,half_1,Publication_Date,0.6635494828224182,textual,True
113,amazon_3,Author,barnes_and_noble_5,authors,0.6630373001098633,textual,True
114,amazon_4,name,book_depository_1,Name,0.6624559760093689,textual,True
115,goodreads_3,name,imsa_1,name,0.6607663631439209,textual,True
116,amazon_2,Author,barnes_and_noble_1,authors,0.6602611541748047,textual,True
117,amazon_3,ID,barnes_and_noble_4,ID,0.652031660079956,textual,True
118,book_depository_1,Author,goodreads_2,author,0.6507894396781921,textual,True
