,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_5,old_price,barnes_and_noble_6,old_price,0.9343277215957642,mixed,True
1,amazon_5,title,barnes_and_noble_6,title,0.92922705411911,textual,True
2,amazon_4,year,goodreads_2,year,0.9278661012649536,numerical,True
3,amazon_4,format,goodreads_2,format,0.9153052568435668,textual,True
4,barnes_and_noble_2,Title,barnes_and_noble_6,title,0.91466224193573,textual,True
5,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.910897970199585,mixed,True
6,book_depository_1,ISBN_13,goodreads_4,ISBN_13,0.9070876836776732,numerical,True
7,book_depository_1,ID,goodreads_4,ID,0.9039574861526488,numerical,True
8,barnes_and_noble_2,Title,barnes_and_noble_4,Title,0.8946682810783386,textual,True
9,amazon_4,name,goodreads_2,name,0.8865966796875,textual,True
10,amazon_5,pages,barnes_and_noble_3,Pages,0.8850531578063965,numerical,True
11,barnes_and_noble_4,Title,barnes_and_noble_6,title,0.882990300655365,textual,True
12,amazon_5,title,barnes_and_noble_2,Title,0.8792806267738342,textual,True
13,book_depository_1,Language,goodreads_4,Language,0.8780573606491089,textual,True
14,amazon_5,_id,barnes_and_noble_6,_id,0.8743468523025513,numerical,True
15,book_depository_1,ISBN_10,goodreads_4,ISBN_10,0.873090922832489,mixed,True
16,amazon_5,book_format,barnes_and_noble_6,book_format,0.8712456226348877,textual,True
17,amazon_1,pages,barnes_and_noble_1,pages,0.8694350123405457,numerical,True
18,amazon_5,pages,barnes_and_noble_6,pages,0.8694013357162476,numerical,True
19,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.8645317554473877,numerical,True
20,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.8635359406471252,numerical,True
21,barnes_and_noble_4,Author,barnes_and_noble_6,authors,0.8625384569168091,textual,True
22,amazon_4,_id,goodreads_2,_id,0.8624779582023621,numerical,True
23,amazon_1,title,barnes_and_noble_1,title,0.8591222763061523,textual,True
24,book_depository_1,Page,goodreads_4,Page,0.8572512269020081,numerical,True
25,amazon_4,name,barnes_and_noble_2,Title,0.851882815361023,textual,True
26,barnes_and_noble_3,Price,half_1,UsedPrice,0.851076602935791,textual,True
27,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.8500391840934753,numerical,True
28,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.8496283292770386,textual,True
29,amazon_4,name,barnes_and_noble_6,title,0.8493750691413879,textual,True
30,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.8451420664787292,textual,True
31,amazon_1,authors,barnes_and_noble_1,authors,0.8440820574760437,textual,True
32,book_depository_1,_id,goodreads_4,_id,0.8432165384292603,numerical,True
33,amazon_1,series,barnes_and_noble_1,series,0.841238796710968,textual,True
34,barnes_and_noble_3,Dimensions,barnes_and_noble_6,product_dimensions,0.8404771089553833,textual,True
35,barnes_and_noble_3,ID,half_1,ID,0.8369970321655273,mixed,True
36,barnes_and_noble_3,Publication_Date,barnes_and_noble_6,publication_date,0.8366667628288269,mixed,True
37,amazon_5,product_dimensions,barnes_and_noble_3,Dimensions,0.8365478515625,textual,True
38,barnes_and_noble_6,title,goodreads_2,name,0.8344522714614868,textual,True
39,amazon_4,author,goodreads_2,author,0.8343459963798523,textual,True
40,amazon_4,rating,goodreads_2,rating,0.8322689533233643,numerical,True
41,amazon_5,title,barnes_and_noble_4,Title,0.8317816257476807,textual,True
42,barnes_and_noble_3,Author,half_1,Author,0.8293942809104919,textual,True
43,amazon_4,name,barnes_and_noble_4,Title,0.8274057507514954,textual,True
44,amazon_5,title,goodreads_2,name,0.8272009491920471,textual,True
45,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.8254650235176086,numerical,True
46,amazon_4,name,amazon_5,title,0.8231058120727539,textual,True
47,barnes_and_noble_2,ID,half_1,ID,0.8189330101013184,textual,True
48,book_depository_1,Format,goodreads_4,Format,0.8186671137809753,textual,True
49,barnes_and_noble_2,ID,barnes_and_noble_6,_id,0.8164274096488953,numerical,True
50,amazon_1,id,barnes_and_noble_1,id,0.8161835670471191,numerical,True
51,book_depository_1,Name,goodreads_4,Name,0.8111138939857483,textual,True
52,barnes_and_noble_3,ID,barnes_and_noble_6,_id,0.8100566267967224,textual,True
53,barnes_and_noble_4,ID,barnes_and_noble_6,_id,0.8092784881591797,numerical,True
54,amazon_5,authors,barnes_and_noble_6,authors,0.8078295588493347,textual,True
55,barnes_and_noble_2,ID,barnes_and_noble_3,ID,0.8056039214134216,textual,True
56,barnes_and_noble_2,Title,goodreads_1,Title,0.8028162717819214,textual,True
57,goodreads_3,ID,imsa_1,ID,0.8005948066711426,numerical,True
58,amazon_5,isbn13,barnes_and_noble_6,isbn13,0.7993942499160767,numerical,True
59,amazon_3,Title,barnes_and_noble_5,title,0.7991049289703369,textual,True
60,amazon_1,authors,barnes_and_noble_5,authors,0.7944819331169128,textual,True
61,amazon_5,cur_price,half_1,UsedPrice,0.7934460639953613,mixed,True
62,barnes_and_noble_2,Title,goodreads_2,name,0.7922786474227905,textual,True
63,amazon_5,publication_date,barnes_and_noble_6,publication_date,0.7910048961639404,mixed,True
64,barnes_and_noble_6,old_price,half_1,NewPrice,0.7907741069793701,mixed,True
65,amazon_1,language,barnes_and_noble_1,language,0.790046751499176,textual,True
66,barnes_and_noble_3,ISBN13,half_1,ISBN10,0.7846768498420715,textual,False
67,amazon_3,Pages,barnes_and_noble_6,pages,0.7845669388771057,numerical,True
68,amazon_2,Price,barnes_and_noble_4,Hardcover,0.7802332639694214,mixed,True
69,barnes_and_noble_4,Title,goodreads_2,name,0.7700594067573547,textual,True
70,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.7694608569145203,textual,True
71,amazon_5,cur_price,barnes_and_noble_3,Price,0.7684236764907837,textual,True
72,amazon_2,Author,barnes_and_noble_4,Author,0.767841100692749,textual,True
73,amazon_1,publisher,amazon_2,Publisher_dummy,0.767383337020874,textual,True
74,book_depository_1,ID,imsa_1,ID,0.7673822641372681,numerical,True
75,amazon_4,author,barnes_and_noble_6,authors,0.7664524912834167,textual,True
76,amazon_1,authors,amazon_2,Author,0.7656770944595337,textual,True
77,barnes_and_noble_3,Dimensions,barnes_and_noble_4,Product_dimensions,0.7650790810585022,textual,True
78,book_depository_1,Author,goodreads_4,Author,0.7636222839355469,textual,True
79,barnes_and_noble_6,_id,half_1,ID,0.7628807425498962,textual,True
80,goodreads_2,author,goodreads_4,Author,0.7627819180488586,textual,True
81,barnes_and_noble_3,Price,barnes_and_noble_6,cur_price,0.7626416087150574,textual,True
82,amazon_4,author,book_depository_1,Author,0.7594072818756104,textual,True
83,barnes_and_noble_1,authors,barnes_and_noble_5,authors,0.7578375339508057,textual,True
84,amazon_5,publisher,half_1,Publisher,0.7573562264442444,textual,True
85,barnes_and_noble_2,Author1,barnes_and_noble_4,Author,0.7554121613502502,textual,True
86,barnes_and_noble_6,cur_price,half_1,UsedPrice,0.7547129988670349,mixed,True
87,amazon_5,publication_date,barnes_and_noble_3,Publication_Date,0.752497136592865,mixed,True
88,goodreads_1,PublishDate,half_1,Publication_Date,0.7520024180412292,textual,True
89,barnes_and_noble_2,Author1,barnes_and_noble_6,authors,0.7513186931610107,textual,True
90,amazon_1,id,barnes_and_noble_5,ID,0.747214674949646,textual,True
91,amazon_5,_id,half_1,ID,0.7468140125274658,textual,True
