,table_a,column_a,table_b,column_b,similarity,correct
0,cihr_co-applicant_9,Org Name,cihr_co-applicant_6,App Org,1.0,True
1,cihr_co-applicant_3,Program Title,cihr_co-applicant_11,CommitteeNameEN,1.0,False
2,cihr_co-applicant_7,Institution Code,cihr_co-applicant_11,ProgramIDProgramme,1.0,False
3,cihr_co-applicant_7,Institution Code,cihr_co-applicant_2,AppOrgID,1.0,True
4,cihr_co-applicant_9,Title of Study,cihr_co-applicant_4,TitreApplicationTitle,1.0,True
5,cihr_co-applicant_6,Class,cihr_co-applicant_10,Areas of Study,1.0,False
6,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_10,Title of Study,1.0,True
7,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_6,Area,1.0,True
8,cihr_co-applicant_9,Program Name,cihr_co-applicant_8,Program Name,1.0,True
9,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_10,Province,1.0,True
10,cihr_co-applicant_9,Org Code,cihr_co-applicant_6,Org ID,1.0,True
11,cihr_co-applicant_6,Country,cihr_co-applicant_5,CountryEN,1.0,True
12,cihr_co-applicant_10,Applicant,cihr_co-applicant_0,Name,1.0,True
13,cihr_co-applicant_8,Program ID,cihr_co-applicant_3,Organization ID,1.0,False
14,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,1.0,True
15,cihr_co-applicant_8,Title of Study,cihr_co-applicant_10,Title of Study,1.0,True
16,cihr_co-applicant_7,Institution,cihr_co-applicant_4,AppOrgNm,1.0,True
17,cihr_co-applicant_9,Country,cihr_co-applicant_10,Country,1.0,True
18,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_3,Research Class,1.0,False
19,cihr_co-applicant_8,Study Class,cihr_co-applicant_7,ResearchClassEN,1.0,True
20,cihr_co-applicant_9,App Name,cihr_co-applicant_11,AppNm,1.0,True
21,cihr_co-applicant_9,Province,cihr_co-applicant_7,Institution Province,1.0,True
22,cihr_co-applicant_7,Institution Code,cihr_co-applicant_4,AppOrgID,1.0,True
23,cihr_co-applicant_4,CountryEN,cihr_co-applicant_3,Country,1.0,True
24,cihr_co-applicant_9,Program ID,cihr_co-applicant_10,Program Code,1.0,True
25,cihr_co-applicant_9,Code,cihr_co-applicant_6,CodeCommitteeCode,1.0,True
26,cihr_co-applicant_9,Org Name,cihr_co-applicant_1,nan4,1.0,True
27,cihr_co-applicant_7,FundingTypeEN,cihr_co-applicant_3,Funding Type,1.0,True
28,cihr_co-applicant_6,App Org,cihr_co-applicant_0,Organization Name,1.0,True
29,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_11,ProgramIDProgramme,1.0,True
30,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_2,AppOrgID,1.0,False
31,cihr_co-applicant_9,Country,cihr_co-applicant_7,Institution Country,1.0,True
32,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_10,Areas of Study,1.0,True
33,cihr_co-applicant_6,Org ID,cihr_co-applicant_10,Organization Code,1.0,True
34,cihr_co-applicant_7,ProgramID,cihr_co-applicant_6,Org ID,1.0,False
35,cihr_co-applicant_7,Institution Province,cihr_co-applicant_5,ProvinceEN,1.0,True
36,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_11,CommitteeNameEN,1.0,False
37,cihr_co-applicant_7,CodeCommitteeCode,cihr_co-applicant_4,CodeCommitteeCode,1.0,True
38,cihr_co-applicant_8,Country,cihr_co-applicant_2,CountryEN,1.0,True
39,cihr_co-applicant_7,Institution Country,cihr_co-applicant_5,CountryEN,1.0,True
40,cihr_co-applicant_9,Program ID,cihr_co-applicant_3,Organization ID,1.0,False
41,cihr_co-applicant_7,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,1.0,True
42,cihr_co-applicant_9,Title of Study,cihr_co-applicant_10,Title of Study,1.0,True
43,cihr_co-applicant_9,Study Class,cihr_co-applicant_4,ResearchClassEN,1.0,True
44,cihr_co-applicant_8,Org Name,cihr_co-applicant_4,AppOrgNm,1.0,True
45,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_4,AppOrgID,1.0,False
46,cihr_co-applicant_8,Org Code,cihr_co-applicant_6,Program ID,1.0,False
47,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_10,Class of Study,1.0,True
48,cihr_co-applicant_3,Organization ID,cihr_co-applicant_1,nan3,1.0,True
49,cihr_co-applicant_9,Study Class,cihr_co-applicant_7,ResearchClassEN,1.0,True
