,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9999999403953552,textual,True
1,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9998183250427246,textual,True
2,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9996917843818665,textual,True
3,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9996527433395386,textual,True
4,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.9995749592781068,textual,True
5,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9994060397148132,textual,True
6,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9992535710334778,textual,True
7,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9991541504859924,textual,True
8,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9991260170936584,textual,True
9,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9991150498390198,textual,True
10,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9990359544754028,textual,True
11,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9990129470825196,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9987146854400636,textual,True
13,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.998642921447754,textual,True
14,cihr_co-applicant_7,Program NameEN,cihr_co-applicant_8,Program Name,0.9982931017875672,textual,True
15,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.998231053352356,textual,True
16,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9980412721633912,textual,True
17,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9980108141899108,textual,True
18,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9978874921798706,textual,True
19,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9978702068328856,textual,True
20,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.997822642326355,textual,True
21,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.997558891773224,textual,True
22,cihr_co-applicant_6,Program Name,cihr_co-applicant_7,Program NameEN,0.9973870515823364,textual,True
23,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.9972881078720092,textual,True
