,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9105613231658936,textual,True
1,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.9064950942993164,textual,True
2,cihr_co-applicant_10,Province,cihr_co-applicant_5,ProvinceEN,0.9057815670967102,textual,True
3,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_6,Province,0.9028552174568176,textual,True
4,cihr_co-applicant_3,Country,cihr_co-applicant_7,Institution Country,0.9018524289131165,textual,True
5,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.90135395526886,textual,True
6,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.900693953037262,textual,True
7,cihr_co-applicant_10,Province,cihr_co-applicant_11,ProvinceEN,0.8984294533729553,textual,True
8,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.8983246088027954,textual,True
9,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.8980990052223206,textual,True
10,cihr_co-applicant_4,CountryEN,cihr_co-applicant_7,Institution Country,0.8980025053024292,textual,True
11,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.8968091011047363,textual,True
12,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_7,Institution Province,0.8963149785995483,textual,True
13,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.8961430191993713,textual,True
14,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.8953983783721924,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_4,ProvinceEN,0.8949992656707764,textual,True
16,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.8949657082557678,textual,True
17,cihr_co-applicant_1,nan3,cihr_co-applicant_2,AppOrgID,0.8931477665901184,textual,True
18,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.8924823999404907,textual,True
