,table_a,column_a,table_b,column_b,similarity,correct
0,ulta_1,brand,amazon_1,Color,1.0,False
1,sephora_2,product name,sephora_1,Description,1.0,True
2,sephora_1,Description,amazon_1,Description,1.0,True
3,ulta_1,brand,sephora_1,Color,1.0,False
4,ulta_1,product name,sephora_2,product name,1.0,True
5,ulta_1,brand,sephora_2,brand,1.0,True
6,sephora_2,brand,amazon_1,Color,1.0,False
7,ulta_1,product name,amazon_1,Description,1.0,True
8,sephora_2,brand,sephora_1,Color,1.0,False
9,sephora_1,Color,amazon_1,Color,1.0,True
10,sephora_2,product name,amazon_1,Description,1.0,True
11,ulta_1,product name,sephora_1,Description,1.0,True
