,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_1,Price,sephora_1,Price,0.9857974648475648,mixed,True
1,sephora_2,_id,ulta_1,_id,0.983315646648407,numerical,True
2,sephora_2,brand,ulta_1,brand,0.9826505184173584,textual,True
3,sephora_2,rating,ulta_1,rating,0.979872703552246,textual,True
4,sephora_2,product name,ulta_1,product name,0.9792984127998352,textual,True
5,amazon_1,Description,sephora_2,product name,0.9742701053619384,textual,True
6,sephora_1,Price,sephora_2,price,0.9723404049873352,mixed,True
7,sephora_1,Description,sephora_2,product name,0.9704701900482178,textual,True
8,amazon_1,Description,ulta_1,product name,0.9692941308021544,textual,True
9,sephora_2,number of colors,ulta_1,number of colors/scent,0.9690080285072328,numerical,True
10,amazon_1,Description,sephora_1,Description,0.967143416404724,textual,True
11,amazon_1,Color,sephora_1,Color,0.9663541913032532,textual,True
12,sephora_1,Product_id,ulta_1,_id,0.9625229239463806,numerical,True
13,amazon_1,Price,ulta_1,price,0.9621282815933228,mixed,True
14,sephora_1,Product_id,sephora_2,_id,0.9590979218482972,numerical,True
15,sephora_1,Description,ulta_1,product name,0.9571483135223388,textual,True
16,sephora_1,Price,ulta_1,price,0.9565622210502625,mixed,True
17,sephora_2,price,ulta_1,price,0.9565402865409852,mixed,True
18,sephora_1,Description,ulta_1,brand,0.955864667892456,textual,False
19,amazon_1,Price,sephora_2,price,0.9547441601753236,mixed,True
20,sephora_1,Description,sephora_2,brand,0.9524476528167723,textual,False
21,amazon_1,ID,ulta_1,_id,0.9475783109664916,textual,True
22,sephora_1,Color,ulta_1,product name,0.9473186135292052,textual,False
23,sephora_2,product name,ulta_1,brand,0.943970501422882,textual,False
24,amazon_1,Description,ulta_1,brand,0.9418699741363524,textual,False
25,sephora_2,brand,ulta_1,product name,0.9394049644470216,textual,False
26,sephora_1,Color,sephora_2,product name,0.9365459680557252,textual,False
27,amazon_1,ID,sephora_2,_id,0.932753324508667,textual,True
28,amazon_1,Color,ulta_1,product name,0.9297243356704712,textual,False
29,amazon_1,ID,sephora_1,Product_id,0.9293308854103088,textual,True
30,amazon_1,Description,sephora_2,brand,0.927805483341217,textual,False
31,amazon_1,Description,sephora_1,Color,0.9255991578102112,textual,False
32,sephora_1,Color,sephora_2,brand,0.9245434999465942,textual,False
33,sephora_1,Color,ulta_1,brand,0.9161946177482604,textual,False
34,sephora_2,number of colors,ulta_1,_id,0.9126807451248168,numerical,False
35,amazon_1,Color,sephora_2,product name,0.9106512665748596,textual,False
36,amazon_1,Color,ulta_1,number of colors/scent,0.9100061655044556,textual,False
37,sephora_1,Color,ulta_1,number of colors/scent,0.909885585308075,textual,False
38,sephora_2,number of colors,ulta_1,rating,0.8995978236198425,numerical,False
39,sephora_1,Product_id,sephora_2,number of colors,0.8991883993148804,numerical,False
40,sephora_1,Color,sephora_2,number of colors,0.8978058695793152,textual,False
