,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,number of colors,ulta_1,number of colors/scent,0.94238018989563,numerical,True
1,sephora_2,price,ulta_1,price,0.93021821975708,mixed,True
2,sephora_2,_id,ulta_1,_id,0.9187505841255188,numerical,True
3,sephora_1,Product_id,sephora_2,_id,0.8972132205963135,numerical,True
4,sephora_2,brand,ulta_1,brand,0.8962534666061401,textual,True
5,sephora_2,product name,ulta_1,product name,0.881246030330658,textual,True
6,amazon_1,ID,sephora_1,Product_id,0.8466835618019104,textual,True
7,sephora_1,Description,ulta_1,product name,0.8373106718063354,textual,True
8,sephora_1,Product_id,ulta_1,_id,0.8262213468551636,numerical,True
9,sephora_1,Price,ulta_1,price,0.8250207304954529,mixed,True
10,sephora_2,rating,ulta_1,rating,0.8217715620994568,textual,True
11,sephora_1,Description,sephora_2,product name,0.8170850276947021,textual,True
12,sephora_1,Price,sephora_2,price,0.7992589473724365,mixed,True
13,amazon_1,ID,sephora_2,_id,0.7926768064498901,textual,True
14,amazon_1,ID,ulta_1,_id,0.7551879286766052,textual,True
15,amazon_1,Price,sephora_1,Price,0.6657292246818542,mixed,True
16,amazon_1,Price,ulta_1,price,0.6386833190917969,mixed,True
17,amazon_1,Color,sephora_2,number of colors,0.632129967212677,textual,False
18,amazon_1,Color,ulta_1,number of colors/scent,0.6263560056686401,textual,False
19,amazon_1,Description,sephora_1,Color,0.6079999208450317,textual,False
20,amazon_1,Color,sephora_1,Color,0.6055760979652405,textual,True
21,amazon_1,Price,sephora_2,price,0.6024957895278931,mixed,True
22,sephora_1,Color,sephora_2,number of colors,0.5861350297927856,textual,False
23,sephora_1,Color,ulta_1,number of colors/scent,0.5732048749923706,textual,False
24,amazon_1,Description,sephora_2,brand,0.455134242773056,textual,False
25,amazon_1,Description,ulta_1,brand,0.431725412607193,textual,False
26,sephora_1,Price,sephora_2,number of colors,0.4277427792549133,textual,False
27,amazon_1,Color,sephora_1,Description,0.4102072715759277,textual,False
28,sephora_1,Price,sephora_2,brand,0.3992985188961029,textual,False
29,sephora_1,Product_id,sephora_2,number of colors,0.3847396075725555,numerical,False
30,sephora_1,Price,ulta_1,number of colors/scent,0.3827110826969147,textual,False
31,amazon_1,Description,sephora_2,rating,0.3771442174911499,textual,False
32,sephora_2,brand,ulta_1,price,0.3673780858516693,textual,False
33,sephora_1,Price,ulta_1,brand,0.3576907217502594,textual,False
34,sephora_1,Product_id,ulta_1,number of colors/scent,0.3519758284091949,numerical,False
35,sephora_2,_id,ulta_1,number of colors/scent,0.3492412567138672,numerical,False
36,amazon_1,Color,sephora_1,Price,0.3445703089237213,textual,False
37,amazon_1,Description,sephora_1,Description,0.3440929651260376,textual,True
38,sephora_2,number of colors,ulta_1,_id,0.3323182463645935,numerical,False
39,amazon_1,Description,ulta_1,number of colors/scent,0.3291736543178558,textual,False
40,amazon_1,Description,sephora_1,Price,0.3290518820285797,textual,False
41,sephora_1,Color,sephora_2,brand,0.3247926831245422,textual,False
42,sephora_2,rating,ulta_1,product name,0.3246969878673553,textual,False
43,amazon_1,Price,sephora_1,Description,0.3218563199043274,textual,False
44,amazon_1,Color,sephora_1,Product_id,0.3205451369285583,textual,False
45,amazon_1,Description,sephora_2,number of colors,0.3203434944152832,textual,False
46,sephora_2,product name,ulta_1,rating,0.3170860409736633,textual,False
47,amazon_1,ID,sephora_1,Price,0.3155390322208404,mixed,False
48,sephora_1,Description,ulta_1,brand,0.315055251121521,textual,False
49,sephora_1,Color,ulta_1,brand,0.3133782744407654,textual,False
50,sephora_1,Color,sephora_2,product name,0.3125172853469848,textual,False
51,amazon_1,Color,sephora_2,product name,0.3108930289745331,textual,False
52,sephora_1,Color,sephora_2,rating,0.3045380413532257,textual,False
53,sephora_1,Description,sephora_2,brand,0.3002490401268005,textual,False
54,amazon_1,Color,sephora_2,_id,0.2979183197021484,textual,False
55,amazon_1,ID,sephora_2,number of colors,0.2971443831920624,textual,False
56,sephora_2,number of colors,ulta_1,price,0.2970395088195801,textual,False
57,amazon_1,Description,ulta_1,rating,0.2965652644634247,textual,False
58,amazon_1,Color,ulta_1,product name,0.2876924872398376,textual,False
59,sephora_1,Price,sephora_2,_id,0.2857082486152649,textual,False
60,sephora_1,Color,sephora_2,_id,0.2807080745697021,textual,False
61,amazon_1,Color,sephora_2,price,0.2791751027107239,textual,False
62,amazon_1,ID,ulta_1,number of colors/scent,0.2759526073932647,textual,False
63,sephora_1,Price,ulta_1,_id,0.2711910009384155,textual,False
64,sephora_1,Color,ulta_1,product name,0.2691592872142792,textual,False
65,sephora_2,product name,ulta_1,brand,0.2683509886264801,textual,False
66,amazon_1,Color,ulta_1,_id,0.2674864530563354,textual,False
67,sephora_1,Description,ulta_1,number of colors/scent,0.2666749060153961,textual,False
68,sephora_2,brand,ulta_1,product name,0.2644431293010711,textual,False
69,amazon_1,Price,sephora_1,Product_id,0.2634360492229461,textual,False
70,sephora_1,Description,sephora_2,price,0.2630099356174469,textual,False
71,amazon_1,Description,sephora_2,price,0.26280078291893,textual,False
72,sephora_1,Description,ulta_1,rating,0.2604058086872101,textual,False
73,sephora_2,rating,ulta_1,price,0.2585437893867492,mixed,False
74,sephora_1,Description,sephora_2,rating,0.2581998109817505,textual,False
75,sephora_2,price,ulta_1,rating,0.2562419474124908,textual,False
76,sephora_1,Description,ulta_1,price,0.2544659972190857,textual,False
77,sephora_1,Color,ulta_1,rating,0.253448486328125,textual,False
78,amazon_1,Description,sephora_1,Product_id,0.2529440224170685,textual,False
79,sephora_2,brand,ulta_1,number of colors/scent,0.2524765133857727,textual,False
80,sephora_2,price,ulta_1,brand,0.2519761919975281,textual,False
81,amazon_1,Description,ulta_1,price,0.2503424286842346,textual,False
82,sephora_2,rating,ulta_1,number of colors/scent,0.2486720979213714,textual,False
83,sephora_2,price,ulta_1,number of colors/scent,0.2470925003290176,textual,False
84,sephora_1,Description,sephora_2,number of colors,0.247043490409851,textual,False
