,table_a,column_a,table_b,column_b,similarity,correct
0,rotten_tomatoes_3,star5,metacritic_1,Director,1.0,False
1,rotten_tomatoes_4,genre,imdb_3,Genre,1.0,True
2,tmdb_2,name,metacritic_1,Director,1.0,False
3,rotten_tomatoes_3,star1,roger_ebert_1,directors,1.0,False
4,tmdb_3,writers,rotten_tomatoes_1,Cast,1.0,False
5,imdb_1,Id,amazon_1,title,1.0,False
6,rotten_tomatoes_3,director,imdb_1,Id,1.0,False
7,rotten_tomatoes_3,star2,imdb_4,movie_name,1.0,False
8,metacritic_4,name,imdb_4,directors,1.0,False
9,rotten_tomatoes_1,Creator,metacritic_3,writers,1.0,True
10,metacritic_2,title,metacritic_1,Name,1.0,True
11,rotten_tomatoes_3,star1,imdb_1,Name,1.0,False
12,metacritic_1,Runtime,imdb_3,Duration,1.0,True
13,metacritic_1,Actors,imdb_1,Cast,1.0,True
14,rotten_tomatoes_3,director,rotten_tomatoes_1,Director,1.0,True
15,tmdb_3,title,imdb_1,Director,1.0,False
16,walmart_1,duration,metacritic_3,runtime,1.0,True
17,metacritic_4,name,amazon_1,director,1.0,False
18,rotten_tomatoes_3,star3,imdb_3,Title,1.0,False
19,tmdb_4,stars,imdb_2,actors,1.0,True
20,walmart_1,directors,amazon_1,title,1.0,False
21,tmdb_2,director,rotten_tomatoes_2,Title,1.0,False
22,tmdb_4,directors,tmdb_1,director(s),1.0,True
23,tmdb_3,genres,imdb_4,genre,1.0,True
24,rotten_tomatoes_2,Duration,imdb_4,duration,1.0,True
25,tmdb_3,title,rotten_tomatoes_3,star4,1.0,False
26,walmart_1,name,imdb_3,Title,1.0,True
27,rotten_tomatoes_3,director,metacritic_1,Director,1.0,True
28,metacritic_3,writers,metacritic_1,Actors,1.0,False
29,rotten_tomatoes_4,runtime,imdb_4,duration,1.0,True
30,walmart_1,stars,imdb_3,Cast,1.0,True
31,rotten_tomatoes_4,name,rotten_tomatoes_3,star5,1.0,False
32,rotten_tomatoes_3,star5,imdb_2,name,1.0,False
33,rotten_tomatoes_1,Duration,roger_ebert_1,duration,1.0,True
34,imdb_4,actors,imdb_2,writers,1.0,False
35,rotten_tomatoes_1,Name,imdb_1,Id,1.0,False
36,rotten_tomatoes_1,Director,imdb_4,movie_name,1.0,False
37,tmdb_2,duration,amazon_1,time,1.0,True
38,tmdb_2,stars,rotten_tomatoes_1,Cast,1.0,True
39,tmdb_2,name,imdb_2,name,1.0,True
40,rotten_tomatoes_1,Filming Locations,imdb_2,director,1.0,False
41,walmart_1,name,rotten_tomatoes_4,director,1.0,False
42,rotten_tomatoes_2,Genre,rotten_tomatoes_1,Genre,1.0,True
43,tmdb_3,title,metacritic_2,title,1.0,True
44,roger_ebert_1,movie_name,metacritic_3,title,1.0,True
45,rotten_tomatoes_3,review1,rotten_tomatoes_2,Summary,1.0,False
46,tmdb_1,actor(s),rotten_tomatoes_4,star,1.0,True
47,rotten_tomatoes_3,star3,metacritic_4,name,1.0,False
48,walmart_1,genre,tmdb_3,genres,1.0,True
49,tmdb_3,directors,imdb_2,writers,1.0,False
50,rotten_tomatoes_3,time,metacritic_3,runtime,1.0,True
51,rotten_tomatoes_2,Director,roger_ebert_1,movie_name,1.0,False
