,table_a,column_a,table_b,column_b,similarity,type,correct
0,rotten_tomatoes_2,Duration,rotten_tomatoes_3,time,0.993984580039978,textual,True
1,amazon_1,year,rotten_tomatoes_3,year,0.9937565922737122,numerical,True
2,imdb_3,Rating,rotten_tomatoes_1,RatingValue,0.9933884143829346,numerical,True
3,metacritic_3,id,metacritic_4,_id,0.9910547137260436,numerical,True
4,metacritic_3,_id,metacritic_4,_id,0.9910264015197754,numerical,True
5,imdb_2,year,roger_ebert_1,year,0.9907732605934144,numerical,True
6,amazon_1,id,imdb_4,id,0.9905920028686525,numerical,True
7,imdb_4,id,rotten_tomatoes_3,id,0.9903379678726196,numerical,True
8,metacritic_3,genres,walmart_1,genre,0.9902822375297546,textual,True
9,imdb_2,ID,tmdb_1,ID,0.9900317192077636,numerical,True
10,metacritic_1,_id,metacritic_4,_id,0.9897966384887696,numerical,True
11,tmdb_2,year,tmdb_3,year,0.9896138310432434,numerical,True
12,roger_ebert_1,id,rotten_tomatoes_3,id,0.9895021915435792,numerical,True
13,metacritic_1,_id,roger_ebert_1,id,0.9894845485687256,numerical,True
14,metacritic_4,date_released,rotten_tomatoes_2,Year,0.9893985390663148,mixed,False
15,imdb_4,id,tmdb_3,id,0.9893136620521544,numerical,True
16,imdb_4,movie_rating,metacritic_2,movie_rating,0.9892385601997375,numerical,True
17,rotten_tomatoes_4,_id,walmart_1,_id,0.9891998171806335,numerical,True
18,imdb_4,genre,metacritic_3,genres,0.9891258478164672,textual,True
19,metacritic_1,_id,rotten_tomatoes_4,_id,0.9889429211616516,numerical,True
20,metacritic_1,_id,metacritic_3,id,0.9889177680015564,numerical,True
21,imdb_2,year,tmdb_1,year,0.988900661468506,numerical,True
22,imdb_4,year,rotten_tomatoes_1,Year,0.9888598322868348,numerical,True
23,metacritic_1,_id,metacritic_3,_id,0.988858699798584,numerical,True
24,amazon_1,id,tmdb_3,id,0.9886845946311952,numerical,True
25,tmdb_4,_id,walmart_1,_id,0.988640308380127,numerical,True
26,metacritic_1,_id,walmart_1,_id,0.9884979724884032,numerical,True
27,amazon_1,id,tmdb_4,_id,0.9884490370750428,numerical,True
28,metacritic_4,_id,tmdb_2,_id,0.9882089495658876,numerical,True
29,amazon_1,id,imdb_2,ID,0.9881728291511536,numerical,True
30,metacritic_3,id,roger_ebert_1,id,0.9881568551063538,numerical,True
31,roger_ebert_1,id,walmart_1,_id,0.9881483316421508,numerical,True
32,metacritic_2,release_year,metacritic_3,release year,0.988143503665924,numerical,True
33,rotten_tomatoes_3,id,tmdb_4,_id,0.9881069660186768,numerical,True
34,roger_ebert_1,year,tmdb_1,year,0.9877238273620604,numerical,True
35,imdb_4,id,tmdb_4,_id,0.9877228140830994,numerical,True
36,imdb_3,Rating,metacritic_3,score,0.9876707792282104,numerical,True
37,rotten_tomatoes_4,_id,tmdb_3,id,0.9876560568809508,numerical,True
38,metacritic_2,movie_rating,rotten_tomatoes_1,RatingValue,0.9876486659049988,numerical,True
39,metacritic_1,ID,rotten_tomatoes_4,_id,0.987560510635376,numerical,True
40,amazon_1,id,rotten_tomatoes_3,id,0.9875047206878662,numerical,True
41,tmdb_2,_id,tmdb_3,_id,0.9874610900878906,numerical,True
42,metacritic_1,ID,roger_ebert_1,id,0.9874054789543152,numerical,True
43,metacritic_2,_id,rotten_tomatoes_4,_id,0.9873977899551392,numerical,True
44,metacritic_1,ID,metacritic_4,_id,0.987324059009552,numerical,True
45,imdb_4,id,tmdb_1,ID,0.9873104095458984,numerical,True
46,roger_ebert_1,id,tmdb_2,_id,0.9871895909309388,numerical,True
47,metacritic_1,Year,tmdb_1,year,0.9870785474777222,numerical,True
48,imdb_2,ID,imdb_4,id,0.9870489239692688,numerical,True
49,metacritic_2,movie_rating,metacritic_3,score,0.9870014786720276,numerical,True
50,tmdb_2,_id,tmdb_3,id,0.9869893193244934,numerical,True
51,metacritic_3,_id,walmart_1,_id,0.9867691397666932,numerical,True
52,imdb_4,id,roger_ebert_1,id,0.9867666959762572,numerical,True
53,metacritic_3,id,tmdb_2,_id,0.9867520928382874,numerical,True
54,imdb_4,movie_rating,metacritic_3,score,0.9866219758987428,numerical,True
55,amazon_1,id,tmdb_1,ID,0.98662006855011,numerical,True
56,amazon_1,id,tmdb_3,_id,0.9865499138832092,numerical,True
57,roger_ebert_1,id,tmdb_3,id,0.9865333437919616,numerical,True
58,metacritic_1,ID,metacritic_3,id,0.986511766910553,numerical,True
59,metacritic_3,_id,roger_ebert_1,id,0.9864721298217772,numerical,True
60,imdb_2,ID,tmdb_4,_id,0.9864501357078552,numerical,True
61,metacritic_2,_id,tmdb_4,_id,0.986324429512024,numerical,True
62,rotten_tomatoes_4,_id,tmdb_3,_id,0.9863044619560242,numerical,True
63,roger_ebert_1,id,tmdb_4,_id,0.9862676858901978,numerical,True
64,metacritic_3,id,walmart_1,_id,0.9861488342285156,numerical,True
65,metacritic_4,_id,rotten_tomatoes_4,_id,0.9861078262329102,numerical,True
66,rotten_tomatoes_3,id,tmdb_3,id,0.9860774874687196,numerical,True
67,imdb_4,id,rotten_tomatoes_4,_id,0.9860717058181764,numerical,True
68,roger_ebert_1,id,rotten_tomatoes_4,_id,0.9859368205070496,numerical,True
69,metacritic_3,_id,tmdb_2,_id,0.9859193563461304,numerical,True
70,tmdb_3,id,walmart_1,_id,0.9857088327407836,numerical,True
71,metacritic_3,id,rotten_tomatoes_4,_id,0.9856662154197692,numerical,True
72,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9856612682342528,textual,True
73,metacritic_3,_id,rotten_tomatoes_4,_id,0.9856221079826356,numerical,True
74,metacritic_1,ID,metacritic_3,_id,0.9855666160583496,numerical,True
75,metacritic_4,_id,roger_ebert_1,id,0.9854612946510316,numerical,True
76,metacritic_1,ID,walmart_1,_id,0.9854589104652404,numerical,True
77,roger_ebert_1,id,tmdb_3,_id,0.9853971004486084,numerical,True
78,metacritic_3,score,rotten_tomatoes_1,RatingValue,0.985377848148346,numerical,True
79,imdb_3,Rating,metacritic_2,movie_rating,0.9853612780570984,numerical,True
80,amazon_1,year,rotten_tomatoes_1,Year,0.9852511286735536,numerical,True
81,amazon_1,id,metacritic_2,_id,0.9852501153945924,numerical,True
