,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.8377134203910828,textual,True
1,imdb_2,director,tmdb_1,director(s),0.8338297605514526,textual,True
2,imdb_3,Rating,rotten_tomatoes_2,Rating,0.8320865035057068,textual,True
3,imdb_2,year,tmdb_1,year,0.8303622603416443,numerical,True
4,metacritic_3,id,tmdb_3,id,0.8267756700515747,numerical,True
5,imdb_3,Creators,rotten_tomatoes_2,Creators,0.8262627720832825,textual,True
6,metacritic_3,release year,tmdb_3,year,0.8069778084754944,numerical,True
7,metacritic_1,ID,rotten_tomatoes_4,movie_ind,0.8000006079673767,numerical,True
8,imdb_4,year,metacritic_3,release year,0.7994847297668457,numerical,True
9,imdb_2,name,tmdb_1,title,0.7969993948936462,textual,True
10,imdb_4,year,tmdb_3,year,0.7930956482887268,numerical,True
11,imdb_4,genre,roger_ebert_1,genre,0.7899680137634277,textual,True
12,imdb_3,Summary,rotten_tomatoes_2,Summary,0.788943886756897,textual,True
13,metacritic_1,Name,tmdb_1,title,0.7889413833618164,textual,True
14,imdb_4,movie_name,roger_ebert_1,movie_name,0.7863319516181946,textual,True
15,metacritic_1,ID,metacritic_3,id,0.7857429385185242,numerical,True
16,imdb_4,movie_name,metacritic_4,name,0.7853488922119141,textual,True
17,metacritic_3,id,rotten_tomatoes_4,movie_ind,0.7829179167747498,numerical,True
18,rotten_tomatoes_4,movie_ind,tmdb_3,id,0.7796406745910645,numerical,True
19,imdb_4,movie_name,metacritic_2,title,0.7775760889053345,textual,True
20,metacritic_3,title,rotten_tomatoes_4,name,0.7686396837234497,textual,True
21,imdb_3,Genre,rotten_tomatoes_2,Genre,0.7684760689735413,textual,True
22,imdb_4,actors,roger_ebert_1,actors,0.7662984728813171,textual,True
23,imdb_2,writers,tmdb_1,writer(s),0.7654144763946533,textual,True
24,metacritic_1,Year,tmdb_1,year,0.7653858661651611,numerical,True
25,imdb_1,Genre,imdb_4,genre,0.7651417255401611,textual,True
26,metacritic_2,title,tmdb_1,title,0.7632692456245422,textual,True
27,imdb_1,YearRange,imdb_4,year,0.7604276537895203,textual,True
