,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.8877308964729309,textual,True
1,imdb_3,Genre,rotten_tomatoes_2,Genre,0.8836924433708191,textual,True
2,imdb_3,Creators,rotten_tomatoes_2,Creators,0.8826805949211121,textual,True
3,metacritic_3,id,tmdb_3,id,0.8786691427230835,numerical,True
4,metacritic_1,ID,metacritic_3,id,0.8780179619789124,numerical,True
5,imdb_2,name,tmdb_1,title,0.8737553954124451,textual,True
6,imdb_3,Rating,rotten_tomatoes_2,Rating,0.8722178339958191,textual,True
7,metacritic_1,ID,rotten_tomatoes_4,movie_ind,0.8703182935714722,numerical,True
8,imdb_2,director,tmdb_1,director(s),0.86943519115448,textual,True
9,imdb_2,year,tmdb_1,year,0.8677511811256409,numerical,True
10,imdb_4,movie_name,metacritic_2,title,0.8643287420272827,textual,True
11,imdb_4,movie_name,roger_ebert_1,movie_name,0.8610112071037292,textual,True
12,imdb_4,actors,roger_ebert_1,actors,0.8581528663635254,textual,True
13,metacritic_3,release year,tmdb_3,year,0.8562203645706177,numerical,True
14,imdb_4,movie_name,metacritic_4,name,0.8556153178215027,textual,True
15,imdb_4,year,metacritic_3,release year,0.8488314747810364,numerical,True
16,imdb_3,Summary,rotten_tomatoes_2,Summary,0.8488155603408813,textual,True
17,metacritic_3,id,rotten_tomatoes_4,movie_ind,0.848381757736206,numerical,True
18,imdb_2,name,metacritic_1,Name,0.8437135815620422,textual,True
19,metacritic_1,ID,tmdb_3,id,0.8419522047042847,numerical,True
20,metacritic_3,genres,rotten_tomatoes_4,genre,0.8416591882705688,textual,True
21,imdb_4,genre,roger_ebert_1,genre,0.8395349383354187,textual,True
22,metacritic_1,Name,tmdb_1,title,0.8376579284667969,textual,True
23,imdb_4,year,tmdb_3,year,0.837319016456604,numerical,True
24,metacritic_4,name,roger_ebert_1,movie_name,0.8334741592407227,textual,True
25,metacritic_3,title,rotten_tomatoes_4,name,0.832921028137207,textual,True
26,imdb_3,Director,rotten_tomatoes_2,Director,0.8327693939208984,textual,True
27,imdb_3,Creators,metacritic_3,starring,0.8321254253387451,textual,False
28,rotten_tomatoes_4,movie_ind,tmdb_3,id,0.8305681943893433,numerical,True
29,imdb_1,Genre,imdb_4,genre,0.8271077275276184,textual,True
30,imdb_2,writers,tmdb_1,writer(s),0.826758623123169,textual,True
31,metacritic_3,release year,tmdb_2,year,0.8181759715080261,numerical,True
32,imdb_3,Cast,rotten_tomatoes_2,Cast,0.8178078532218933,textual,True
33,metacritic_3,title,tmdb_3,title,0.817274272441864,textual,True
34,imdb_3,Duration,imdb_4,duration,0.8148716688156128,textual,True
35,metacritic_2,title,tmdb_1,title,0.8143582344055176,textual,True
36,imdb_4,movie_name,metacritic_1,Name,0.8119643330574036,textual,True
37,imdb_4,actors,metacritic_3,starring,0.809879720211029,textual,True
