,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_2,phone,zomato_2,phone,0.994038224220276,mixed,True
1,yellow_pages_1,phone,yelp_2,phone,0.992185354232788,mixed,True
2,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9920079708099364,mixed,True
3,yellow_pages_1,phone,zomato_2,phone,0.9917291402816772,mixed,True
4,yellow_pages_1,phone,yellow_pages_2,phone,0.9910529851913452,mixed,True
5,yellow_pages_2,phone,zomato_2,phone,0.9900777339935304,mixed,True
6,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.988338589668274,mixed,True
7,yellow_pages_1,website,yellow_pages_2,website,0.9882270097732544,textual,True
8,yellow_pages_2,phone,yelp_2,phone,0.988186240196228,mixed,True
9,yelp_5,Name,zomato_3,Name,0.9858523607254028,textual,True
10,yelp_2,zip,zomato_2,zip,0.985792636871338,numerical,True
11,yelp_3,name,zagats_1,name,0.9850590229034424,textual,True
12,yellow_pages_2,zipcode,yelp_4,zipcode,0.9844543933868408,numerical,True
13,yelp_2,name,zomato_2,name,0.9842697381973268,textual,True
14,yellow_pages_2,phone,yelp_4,phone,0.983505129814148,mixed,True
15,yellow_pages_1,name,yelp_3,name,0.9833189249038696,textual,True
16,yellow_pages_2,address,yelp_2,address,0.9817792177200316,textual,True
17,yellow_pages_1,name,zagats_1,name,0.9815521240234376,textual,True
18,yellow_pages_1,phone,yelp_4,phone,0.98150634765625,mixed,True
19,yelp_4,phone,zomato_2,phone,0.9813958406448364,mixed,True
20,yellow_pages_1,priceRange,yelp_3,priceRange,0.9810401201248168,textual,True
21,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9804670810699464,textual,True
22,fodors_1,phone,zagats_1,phone,0.9801169633865356,mixed,True
23,fodors_1,addr,zagats_1,addr,0.9800387620925904,textual,True
24,yelp_2,phone,yelp_4,phone,0.9798420667648317,mixed,True
25,yellow_pages_2,name,yelp_2,name,0.9798072576522828,textual,True
26,fodors_1,name,zagats_1,name,0.9792463779449464,textual,True
27,yellow_pages_2,address,yelp_4,address,0.9788382053375244,textual,True
28,fodors_1,name,yelp_3,name,0.9783343076705932,textual,True
29,yellow_pages_1,state,yelp_3,state,0.9768893718719482,textual,True
30,yellow_pages_1,city,yelp_3,city,0.9755805730819702,textual,True
31,yelp_3,id,yelp_4,id,0.9738861322402954,numerical,True
32,yellow_pages_2,state,yelp_4,state,0.9734508991241456,textual,True
33,yellow_pages_2,state,yelp_3,state,0.9731510877609252,textual,True
34,yelp_4,name,zomato_2,name,0.9724053144454956,textual,True
35,fodors_1,name,yellow_pages_1,name,0.9721875190734864,textual,True
36,yelp_1,NAME,zomato_1,NAME,0.972080945968628,textual,True
37,yellow_pages_2,name,zomato_2,name,0.9715964794158936,textual,True
