,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_7,Council Directorate,stockport_contracts_8,Council Directorate,0.9202061891555786,textual,True
1,stockport_contracts_1,unnamed,stockport_contracts_8,Council Directorate,0.9161108136177064,textual,True
2,stockport_contracts_8,Council Directorate,stockport_contracts_9,Council Directorate,0.915486216545105,textual,True
3,stockport_contracts_2,Council Directorate,stockport_contracts_8,Council Directorate,0.9144814610481262,textual,True
4,stockport_contracts_6,Council Directorate,stockport_contracts_8,Council Directorate,0.9124602675437928,textual,True
5,stockport_contracts_0,unnamed18,stockport_contracts_8,Council Directorate,0.9080424308776855,textual,True
6,stockport_contracts_7,Council Directorate,stockport_contracts_9,Council Directorate,0.9076034426689148,textual,True
7,stockport_contracts_11,nan19,stockport_contracts_8,Council Directorate,0.9063366055488586,textual,True
8,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.9054321646690368,textual,True
9,stockport_contracts_3,Council Directorate,stockport_contracts_9,Council Directorate,0.9038463234901428,textual,True
10,stockport_contracts_5,Council Directorate,stockport_contracts_9,Council Directorate,0.9009547233581544,textual,True
11,stockport_contracts_11,nan19,stockport_contracts_9,Council Directorate,0.9008560180664062,textual,True
12,stockport_contracts_5,Contract Term (Months),stockport_contracts_8,Contract Term (Months),0.899852991104126,numerical,True
13,stockport_contracts_0,unnamed18,stockport_contracts_7,Council Directorate,0.8985129594802856,textual,True
14,stockport_contracts_8,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.8984070420265198,mixed,True
15,stockport_contracts_11,nan19,stockport_contracts_7,Council Directorate,0.8968866467475891,textual,True
16,stockport_contracts_1,unnamed,stockport_contracts_2,Council Directorate,0.8961482644081116,textual,True
17,stockport_contracts_5,Council Directorate,stockport_contracts_7,Council Directorate,0.8944711089134216,textual,True
18,stockport_contracts_2,Contract Term (Months),stockport_contracts_7,Contract Term (Months),0.8938764333724976,numerical,True
19,stockport_contracts_2,Council Directorate,stockport_contracts_6,Council Directorate,0.8931115865707397,textual,True
20,stockport_contracts_5,Council Directorate,stockport_contracts_8,Council Directorate,0.892263650894165,textual,True
21,stockport_contracts_3,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.8912758231163025,numerical,True
22,stockport_contracts_3,Council Directorate,stockport_contracts_8,Council Directorate,0.8911926746368408,textual,True
23,stockport_contracts_6,Council Directorate,stockport_contracts_9,Council Directorate,0.8904349207878113,textual,True
24,stockport_contracts_1,unnamed,stockport_contracts_3,Council Directorate,0.8903719186782837,textual,True
25,stockport_contracts_0,unnamed18,stockport_contracts_2,Council Directorate,0.8899290561676025,textual,True
26,stockport_contracts_11,nan19,stockport_contracts_2,Council Directorate,0.8893004655838013,textual,True
27,stockport_contracts_1,unnamed,stockport_contracts_9,Council Directorate,0.8889600038528442,textual,True
28,stockport_contracts_0,unnamed18,stockport_contracts_3,Council Directorate,0.8887081146240234,textual,True
29,stockport_contracts_3,UID,stockport_contracts_6,UID,0.8883607983589172,numerical,True
30,stockport_contracts_3,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.8882595300674438,mixed,True
31,stockport_contracts_3,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.8867107629776001,mixed,True
32,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.8863374590873718,mixed,True
33,stockport_contracts_1,Estimated Annual Value,stockport_contracts_8,Estimated Annual Value,0.886112630367279,mixed,True
34,stockport_contracts_11,nan19,stockport_contracts_3,Council Directorate,0.8850564360618591,textual,True
35,stockport_contracts_11,nan19,stockport_contracts_6,Council Directorate,0.8849061131477356,textual,True
36,stockport_contracts_0,unnamed18,stockport_contracts_9,Council Directorate,0.8848060965538025,textual,True
37,stockport_contracts_1,Contract Term (Months),stockport_contracts_5,Contract Term (Months),0.8846340775489807,numerical,True
38,stockport_contracts_0,unnamed18,stockport_contracts_11,nan19,0.8845211267471313,textual,True
39,stockport_contracts_1,Contract Term (Months),stockport_contracts_2,Contract Term (Months),0.8843293786048889,numerical,True
40,stockport_contracts_11,nan8,stockport_contracts_6,Maximum Duration of Contract (Months),0.8837509155273438,numerical,True
41,stockport_contracts_8,Client,stockport_contracts_9,Client,0.8837121725082397,textual,True
42,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_2,Ext. Applied to Contract,0.8833540678024292,textual,True
43,stockport_contracts_7,Client,stockport_contracts_8,Client,0.8832279443740845,textual,True
44,stockport_contracts_2,Council Directorate,stockport_contracts_9,Council Directorate,0.8825989961624146,textual,True
45,stockport_contracts_1,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.8820632696151733,numerical,True
46,stockport_contracts_11,nan7,stockport_contracts_6,Contract Term (Months),0.8819295167922974,numerical,True
47,stockport_contracts_3,Council Directorate,stockport_contracts_5,Council Directorate,0.8816492557525635,textual,True
