,table_a,column_a,table_b,column_b,similarity,type,correct
0,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.9999998807907104,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.9999998807907104,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,0.9999998807907104,textual,True
4,1007ipopayments,Entity,1009ipopayments,Entity,0.9999998807907104,textual,True
5,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.9999998807907104,textual,True
6,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.9999998807907104,textual,True
7,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.9999997615814208,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.9984501600265504,numerical,True
9,1006ipopayments,Expense type,1007ipopayments,Expense type,0.995144248008728,textual,True
10,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9950737953186036,textual,True
11,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9949060678482056,textual,True
12,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.994354486465454,mixed,True
13,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9941622018814088,mixed,True
14,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9940061569213868,textual,True
15,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.993576169013977,mixed,True
16,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9922449588775636,mixed,True
17,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9917031526565552,textual,True
18,1008ipopayments,Supplier,1009ipopayments,Supplier,0.987983465194702,textual,True
19,1006ipopayments,Date,1007ipopayments,Date,0.9867082834243774,mixed,True
20,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9863147735595704,textual,True
21,1005ipopayments,Date,1007ipopayments,Date,0.9856274127960204,mixed,True
22,1008ipopayments,Date,1009ipopayments,Date,0.984768271446228,mixed,True
23,1006ipopayments,Expense area,1009ipopayments,Expense area,0.984256625175476,textual,True
24,1005ipopayments,Date,1006ipopayments,Date,0.984001398086548,mixed,True
25,1006ipopayments,Date,1008ipopayments,Date,0.9831136465072632,mixed,True
26,1007ipopayments,Date,1008ipopayments,Date,0.9828263521194458,mixed,True
27,1007ipopayments,Date,1009ipopayments,Date,0.980597972869873,mixed,True
28,1006ipopayments,Date,1009ipopayments,Date,0.979549527168274,mixed,True
29,1005ipopayments,Date,1008ipopayments,Date,0.9786155223846436,mixed,True
30,1007ipopayments,Amount,1008ipopayments,Amount,0.9770218133926392,numerical,True
31,1008ipopayments,Amount,1009ipopayments,Amount,0.9767677783966064,numerical,True
32,1005ipopayments,Date,1009ipopayments,Date,0.9757287502288818,mixed,True
33,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.95477694272995,numerical,True
34,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.9114396572113036,textual,True
35,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.8788375854492188,textual,True
36,1005ipopayments,Vendor,1009ipopayments,Supplier,0.8743000030517578,textual,True
37,1005ipopayments,Vendor,1008ipopayments,Supplier,0.8706760406494141,textual,True
38,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.8697509765625,textual,True
39,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.8682972192764282,textual,True
40,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.8501259088516235,numerical,True
41,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.8497216701507568,numerical,True
42,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.8445345163345337,textual,True
43,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.8435252904891968,textual,True
44,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.8424224257469177,textual,True
45,1009ipopayments,Expense type,1010ipopayments,Expense Category,0.8423396944999695,textual,True
46,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.8422344326972961,textual,True
47,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8415541052818298,textual,True
48,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8411361575126648,textual,True
49,1006ipopayments,Expense type,1010ipopayments,Expense Category,0.8402628898620605,textual,True
50,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.8374481201171875,textual,True
51,1004ipopayments,Transaction Total,1007ipopayments,Amount,0.8370397090911865,numerical,True
52,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.8368250131607056,numerical,True
53,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.8291418552398682,textual,True
54,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.8291417360305786,textual,True
55,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.8291417360305786,textual,True
56,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.8291417360305786,textual,True
57,1008ipopayments,Amount,1010ipopayments,Transaction Amount,0.8286371231079102,numerical,True
58,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.8269420862197876,textual,True
59,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.82477867603302,textual,True
60,1004ipopayments,Transaction Total,1008ipopayments,Amount,0.8164584636688232,numerical,True
61,1009ipopayments,Transaction number,1010ipopayments,Transaction ID,0.81505286693573,mixed,True
62,1008ipopayments,Transaction number,1010ipopayments,Transaction ID,0.8138564825057983,mixed,True
63,1004ipopayments,Transaction ID,1009ipopayments,Transaction number,0.812980055809021,mixed,True
64,1004ipopayments,Transaction ID,1008ipopayments,Transaction number,0.8129527568817139,mixed,True
65,1006ipopayments,Transaction number,1010ipopayments,Transaction ID,0.8124678134918213,mixed,True
66,1004ipopayments,Transaction ID,1006ipopayments,Transaction number,0.8117104768753052,mixed,True
67,1005ipopayments,Expense,1006ipopayments,Expense type,0.7915445566177368,textual,True
68,1005ipopayments,Expense,1007ipopayments,Expense type,0.7891397476196289,textual,True
69,1005ipopayments,DeptName,1008ipopayments,Department Category,0.7886455059051514,textual,True
70,1004ipopayments,Title,1009ipopayments,Expense type,0.7878897190093994,textual,True
71,1004ipopayments,Title,1007ipopayments,Expense type,0.7874342203140259,textual,True
72,1005ipopayments,Expense,1009ipopayments,Expense type,0.7873209714889526,textual,True
73,1004ipopayments,Title,1006ipopayments,Expense type,0.7868099808692932,textual,True
74,1004ipopayments,Supplier Name,1008ipopayments,Supplier,0.7863227128982544,textual,True
75,1006ipopayments,Vendor Name,1009ipopayments,Supplier,0.7849834561347961,textual,True
76,1004ipopayments,Supplier Name,1009ipopayments,Supplier,0.7825107574462891,textual,True
77,1006ipopayments,Vendor Name,1008ipopayments,Supplier,0.7811854481697083,textual,True
78,1007ipopayments,Entity,1008ipopayments,Entity Category,0.7790875434875488,textual,True
79,1008ipopayments,Entity Category,1009ipopayments,Entity,0.779087483882904,textual,True
80,1007ipopayments,Department family,1008ipopayments,Department Category,0.7762851715087891,textual,True
