,table_a,column_a,table_b,column_b,similarity,type,correct
0,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.9033362865447998,textual,True
1,1009ipopayments,Entity,1010ipopayments,Department Primary,0.898811399936676,textual,True
2,1005ipopayments,OfficeName,1009ipopayments,Entity,0.898810625076294,textual,True
3,1008ipopayments,Entity Category,1009ipopayments,Entity,0.8930272459983826,textual,True
4,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.8922327756881714,textual,True
5,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.8881790041923523,textual,True
6,1005ipopayments,OfficeName,1007ipopayments,Entity,0.8863835334777832,textual,True
7,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8806819915771484,textual,True
8,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.880657434463501,textual,True
9,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8804380893707275,textual,True
10,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.8782700896263123,textual,True
11,1007ipopayments,Entity,1009ipopayments,Entity,0.8767275214195251,textual,True
12,1007ipopayments,Entity,1008ipopayments,Entity Category,0.8747959136962891,textual,True
13,1005ipopayments,OfficeName,1010ipopayments,Department Primary,0.8742616176605225,textual,True
14,1007ipopayments,Department family,1009ipopayments,Department family,0.8711085915565491,textual,True
15,1005ipopayments,DeptName,1009ipopayments,Department family,0.8704872727394104,textual,True
16,1009ipopayments,Department family,1010ipopayments,Department Secondary,0.8670055866241455,textual,True
17,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8620558977127075,textual,True
18,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.8620181679725647,textual,True
19,1005ipopayments,DeptName,1010ipopayments,Department Secondary,0.8576056957244873,textual,True
20,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.8527551889419556,textual,True
21,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.8473591804504395,textual,True
22,1005ipopayments,DeptName,1007ipopayments,Department family,0.8471107482910156,textual,True
23,1007ipopayments,Entity,1010ipopayments,Department Primary,0.8460012674331665,textual,True
24,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.8365705609321594,textual,True
25,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.8322808146476746,textual,True
26,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.8206321001052856,textual,True
27,1007ipopayments,Department family,1010ipopayments,Department Secondary,0.8162063956260681,textual,True
28,1008ipopayments,Date,1009ipopayments,Date,0.8056633472442627,mixed,True
29,1006ipopayments,Expense area,1009ipopayments,Expense area,0.7945786714553833,textual,True
30,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.7865200638771057,textual,True
31,1007ipopayments,Department family,1008ipopayments,Department Category,0.7732706069946289,textual,True
32,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.7514539361000061,textual,True
33,1008ipopayments,Supplier,1009ipopayments,Supplier,0.7512074708938599,textual,True
34,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.7377461194992065,mixed,True
35,1007ipopayments,Expense area,1009ipopayments,Expense area,0.7267993092536926,textual,True
36,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.7248441576957703,textual,True
37,1006ipopayments,Vendor Name,1009ipopayments,Supplier,0.718909502029419,textual,True
38,1009ipopayments,Expense type,1010ipopayments,Expense Category,0.717307984828949,textual,True
39,1008ipopayments,Department Category,1009ipopayments,Department family,0.7130204439163208,textual,True
40,1005ipopayments,Expense,1007ipopayments,Expense type,0.7110373973846436,textual,True
41,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.7064763903617859,textual,True
42,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.7023806571960449,textual,True
43,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.702272891998291,textual,True
44,1007ipopayments,Amount,1008ipopayments,Amount,0.7002056837081909,numerical,True
45,1008ipopayments,Amount,1009ipopayments,Amount,0.6931300759315491,numerical,True
46,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.6925092935562134,textual,True
47,1004ipopayments,Category,1006ipopayments,Expense area,0.684813380241394,textual,True
48,1006ipopayments,Vendor Name,1008ipopayments,Supplier,0.6812186241149902,textual,True
49,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.6800441741943359,mixed,True
50,1004ipopayments,Category,1005ipopayments,ExpenseCategory,0.6786635518074036,textual,True
51,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.6769540905952454,numerical,True
52,1006ipopayments,Expense area,1007ipopayments,Expense area,0.6764369010925293,textual,True
53,1004ipopayments,Category,1007ipopayments,Expense area,0.6759567260742188,textual,True
54,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.6664110422134399,textual,True
55,1007ipopayments,Amount,1009ipopayments,Amount,0.6652090549468994,numerical,True
56,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.6609062552452087,numerical,True
57,1005ipopayments,DeptName,1008ipopayments,Department Category,0.6590021252632141,textual,True
58,1004ipopayments,Category,1009ipopayments,Expense area,0.6394659280776978,textual,True
59,1007ipopayments,Date,1009ipopayments,Date,0.6385865211486816,mixed,True
60,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.6353622674942017,textual,True
61,1008ipopayments,Department Category,1010ipopayments,Department Secondary,0.6260608434677124,textual,True
62,1006ipopayments,Expense type,1009ipopayments,Expense type,0.6256111264228821,textual,True
63,1006ipopayments,Expense type,1010ipopayments,Expense Category,0.6184521317481995,textual,True
64,1004ipopayments,Category,1008ipopayments,Expense Office,0.6134935021400452,textual,True
65,1007ipopayments,Date,1008ipopayments,Date,0.6122257113456726,mixed,True
66,1007ipopayments,Expense type,1009ipopayments,Expense type,0.6120752096176147,textual,True
67,1004ipopayments,Title,1006ipopayments,Expense type,0.6080042123794556,textual,True
68,1005ipopayments,Date,1007ipopayments,Date,0.6068347096443176,mixed,True
69,1004ipopayments,Transaction ID,1008ipopayments,Transaction number,0.6026652455329895,mixed,True
