,table_a,column_a,table_b,column_b,similarity,type,correct
0,1007ipopayments,Entity,1009ipopayments,Entity,0.9825360774993896,textual,True
1,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.9757025837898254,textual,True
2,1008ipopayments,Entity Category,1009ipopayments,Entity,0.962705373764038,textual,True
3,1007ipopayments,Entity,1008ipopayments,Entity Category,0.9529281854629515,textual,True
4,1005ipopayments,OfficeName,1009ipopayments,Entity,0.9460766315460204,textual,True
5,1005ipopayments,OfficeName,1007ipopayments,Entity,0.945880889892578,textual,True
6,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9372423887252808,textual,True
7,1008ipopayments,Date,1009ipopayments,Date,0.9204813241958618,mixed,True
8,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.9057855606079102,textual,True
9,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.9036749601364136,textual,True
10,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9030661582946776,textual,True
11,1008ipopayments,Department Category,1009ipopayments,Department family,0.8993813395500183,textual,True
12,1007ipopayments,Department family,1009ipopayments,Department family,0.8861048221588135,textual,True
13,1009ipopayments,Entity,1010ipopayments,Department Primary,0.8858988285064697,textual,True
14,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.8817701935768127,textual,True
15,1007ipopayments,Expense type,1009ipopayments,Expense type,0.879913330078125,textual,True
16,1007ipopayments,Date,1009ipopayments,Date,0.8787510395050049,mixed,True
17,1008ipopayments,Amount,1009ipopayments,Amount,0.8766608834266663,numerical,True
18,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.876174807548523,textual,True
19,1005ipopayments,Date,1007ipopayments,Date,0.874141275882721,mixed,True
20,1005ipopayments,OfficeName,1010ipopayments,Department Primary,0.8698093295097351,textual,True
21,1007ipopayments,Entity,1010ipopayments,Department Primary,0.8638791441917419,textual,True
22,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.8568933010101318,textual,True
23,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8551841974258423,textual,True
24,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.8499760031700134,textual,True
25,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.8499363660812378,textual,True
26,1007ipopayments,Department family,1008ipopayments,Department Category,0.8409173488616943,textual,True
27,1007ipopayments,Date,1008ipopayments,Date,0.8331459760665894,mixed,True
