,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,1.0,textual,True
4,1007ipopayments,Entity,1009ipopayments,Entity,1.0,textual,True
5,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
6,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
7,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.9971342086791992,numerical,True
9,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.9942318201065063,mixed,True
10,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9938092231750488,textual,True
11,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9923783540725708,textual,True
12,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9919000864028932,mixed,True
13,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9913434982299804,textual,True
14,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9912997484207152,mixed,True
15,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9902973175048828,textual,True
16,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9890990257263184,textual,True
17,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9889779090881348,mixed,True
18,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9873769283294678,textual,True
19,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9869704246520996,textual,True
20,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9832830429077148,textual,True
21,1006ipopayments,Date,1007ipopayments,Date,0.982946276664734,mixed,True
22,1007ipopayments,Date,1008ipopayments,Date,0.9813241958618164,mixed,True
23,1005ipopayments,Date,1007ipopayments,Date,0.9808049201965332,mixed,True
24,1005ipopayments,Date,1006ipopayments,Date,0.9806419610977172,mixed,True
25,1006ipopayments,Date,1008ipopayments,Date,0.9790719747543336,mixed,True
26,1008ipopayments,Date,1009ipopayments,Date,0.9789501428604126,mixed,True
27,1005ipopayments,Date,1008ipopayments,Date,0.9785546064376832,mixed,True
28,1007ipopayments,Amount,1008ipopayments,Amount,0.976471781730652,numerical,True
29,1008ipopayments,Amount,1009ipopayments,Amount,0.9757862091064452,numerical,True
30,1007ipopayments,Date,1009ipopayments,Date,0.9754189252853394,mixed,True
31,1006ipopayments,Date,1009ipopayments,Date,0.974089741706848,mixed,True
32,1005ipopayments,Date,1009ipopayments,Date,0.9693866968154908,mixed,True
33,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9099075198173524,numerical,True
34,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.8890666961669922,textual,True
35,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.8890666961669922,textual,True
36,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.8890666961669922,textual,True
37,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.8890666961669922,textual,True
38,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.8853772878646851,textual,True
39,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8633458614349365,textual,True
40,1009ipopayments,Expense type,1010ipopayments,Expense Category,0.8633257746696472,textual,True
41,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.8631563782691956,textual,True
42,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8629938960075378,textual,True
43,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.8622043132781982,textual,True
44,1006ipopayments,Expense type,1010ipopayments,Expense Category,0.8582009673118591,textual,True
45,1005ipopayments,Vendor,1009ipopayments,Supplier,0.8577823042869568,textual,True
46,1005ipopayments,Vendor,1008ipopayments,Supplier,0.8511984944343567,textual,True
