,table_a,column_a,table_b,column_b,similarity,type,correct
0,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.9087744951248168,textual,True
1,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.883845865726471,textual,True
2,1008ipopayments,Date,1009ipopayments,Date,0.8770812749862671,mixed,True
3,1008ipopayments,Entity Category,1009ipopayments,Entity,0.8724750280380249,textual,True
4,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.8696225881576538,textual,True
5,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.8655630946159363,textual,True
6,1007ipopayments,Entity,1008ipopayments,Entity Category,0.8637714385986328,textual,True
7,1005ipopayments,Expense,1009ipopayments,Expense type,0.8431037068367004,textual,True
8,1008ipopayments,Department Category,1009ipopayments,Department family,0.8382578492164612,textual,True
9,1005ipopayments,OfficeName,1009ipopayments,Entity,0.8357808589935303,textual,True
10,1007ipopayments,Entity,1009ipopayments,Entity,0.8324406147003174,textual,True
11,1005ipopayments,OfficeName,1007ipopayments,Entity,0.8290283679962158,textual,True
12,1008ipopayments,Supplier,1009ipopayments,Supplier,0.8274760246276855,textual,True
13,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.8245375156402588,textual,True
14,1005ipopayments,Expense,1008ipopayments,Expense Category,0.8222304582595825,textual,True
15,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.8222203254699707,textual,True
16,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8177288770675659,textual,True
17,1007ipopayments,Expense type,1009ipopayments,Expense type,0.8170011043548584,textual,True
18,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.8156683444976807,textual,True
19,1006ipopayments,Expense type,1007ipopayments,Expense type,0.8145800232887268,textual,True
20,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8107727766036987,textual,True
21,1005ipopayments,Date,1007ipopayments,Date,0.8107045292854309,mixed,True
22,1009ipopayments,Entity,1010ipopayments,Department Primary,0.810163676738739,textual,True
23,1007ipopayments,Date,1009ipopayments,Date,0.8080081343650818,mixed,True
24,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.8074133396148682,textual,True
25,1005ipopayments,Date,1009ipopayments,Date,0.8044686913490295,mixed,True
26,1007ipopayments,Date,1008ipopayments,Date,0.8039032816886902,mixed,True
27,1006ipopayments,Expense type,1009ipopayments,Expense type,0.8026468753814697,textual,True
28,1008ipopayments,Amount,1009ipopayments,Amount,0.8007107973098755,numerical,True
29,1005ipopayments,Expense,1006ipopayments,Expense type,0.797675609588623,textual,True
30,1006ipopayments,Expense area,1009ipopayments,Expense area,0.7927045822143555,textual,True
31,1005ipopayments,OfficeName,1010ipopayments,Department Primary,0.7906834483146667,textual,True
32,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.7903064489364624,textual,True
33,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.7874478697776794,mixed,True
34,1005ipopayments,Date,1008ipopayments,Date,0.7850831151008606,mixed,True
35,1005ipopayments,Expense,1007ipopayments,Expense type,0.7800348997116089,textual,True
36,1007ipopayments,Entity,1010ipopayments,Department Primary,0.7734221816062927,textual,True
37,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.76417475938797,textual,True
38,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.7614631652832031,textual,True
39,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.759781002998352,textual,True
40,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.7474320530891418,textual,True
41,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.747290849685669,textual,True
42,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.7440811395645142,textual,True
43,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.7405096292495728,textual,True
44,1007ipopayments,Department family,1008ipopayments,Department Category,0.7390453219413757,textual,True
45,1006ipopayments,Date,1008ipopayments,Department Category,0.7331560254096985,textual,False
46,1004ipopayments,Transaction ID,1009ipopayments,Transaction number,0.729267418384552,mixed,True
47,1004ipopayments,Category,1010ipopayments,Expense Category,0.7260849475860596,textual,False
48,1004ipopayments,Title,1008ipopayments,Department Category,0.7239599227905273,textual,False
49,1005ipopayments,ExpenseCategory,1009ipopayments,Supplier,0.7233997583389282,textual,False
50,1004ipopayments,Title,1009ipopayments,Department family,0.72021484375,textual,False
51,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.7194625735282898,numerical,True
52,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.7166278958320618,textual,True
53,1006ipopayments,Date,1009ipopayments,Department family,0.7142605781555176,textual,False
54,1006ipopayments,Expense area,1009ipopayments,Supplier,0.7130085229873657,textual,False
55,1007ipopayments,Expense area,1009ipopayments,Supplier,0.7103762626647949,textual,False
56,1004ipopayments,Transaction Total,1008ipopayments,Amount,0.7073526978492737,numerical,True
57,1006ipopayments,Expense area,1007ipopayments,Expense area,0.6960095763206482,textual,True
58,1004ipopayments,Supplier Name,1008ipopayments,Supplier,0.6945757269859314,textual,True
59,1004ipopayments,Supplier Name,1009ipopayments,Supplier,0.6930574178695679,textual,True
60,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.6858373284339905,textual,True
61,1004ipopayments,Category,1008ipopayments,Expense Office,0.6814969778060913,textual,True
62,1005ipopayments,DeptName,1006ipopayments,Date,0.6694276928901672,textual,False
63,1006ipopayments,Vendor Name,1008ipopayments,Supplier,0.6685827970504761,textual,True
64,1008ipopayments,Expense Office,1009ipopayments,Supplier,0.6662513613700867,textual,False
65,1005ipopayments,ExpenseCategory,1008ipopayments,Supplier,0.664856493473053,textual,False
66,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.6630969643592834,textual,True
67,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.6622160077095032,textual,True
68,1004ipopayments,Category,1010ipopayments,Department Primary,0.6611260175704956,textual,False
69,1004ipopayments,Supplier Name,1008ipopayments,Expense Office,0.6609503030776978,textual,False
70,1006ipopayments,Expense area,1008ipopayments,Supplier,0.6604804992675781,textual,False
71,1005ipopayments,DeptName,1008ipopayments,Department Category,0.6590741872787476,textual,True
72,1004ipopayments,Category,1007ipopayments,Entity,0.6588640213012695,textual,False
73,1006ipopayments,Vendor Name,1009ipopayments,Supplier,0.6587586402893066,textual,True
74,1005ipopayments,DeptName,1007ipopayments,Department family,0.651843249797821,textual,True
75,1004ipopayments,Category,1006ipopayments,Expense area,0.6514452695846558,textual,True
76,1004ipopayments,Category,1009ipopayments,Expense area,0.6444346904754639,textual,True
77,1004ipopayments,Transaction ID,1008ipopayments,Transaction number,0.6430202722549438,mixed,True
78,1007ipopayments,Department family,1009ipopayments,Department family,0.6412511467933655,textual,True
79,1007ipopayments,Expense area,1008ipopayments,Entity Category,0.6328051686286926,textual,False
80,1007ipopayments,Expense area,1009ipopayments,Expense area,0.6315889358520508,textual,True
81,1005ipopayments,ExpenseCategory,1006ipopayments,Vendor Name,0.6315231323242188,textual,False
82,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.6314731240272522,mixed,True
83,1004ipopayments,Supplier Name,1009ipopayments,Expense area,0.6306169629096985,textual,False
84,1004ipopayments,Category,1005ipopayments,ExpenseCategory,0.6304922103881836,textual,True
85,1006ipopayments,Date,1007ipopayments,Department family,0.6300666332244873,textual,False
86,1004ipopayments,Category,1008ipopayments,Entity Category,0.6298754215240479,textual,False
87,1004ipopayments,Category,1005ipopayments,OfficeName,0.6279246211051941,textual,False
88,1004ipopayments,Title,1007ipopayments,Department family,0.6256791949272156,textual,False
89,1005ipopayments,OfficeName,1010ipopayments,Expense Category,0.6228106617927551,textual,False
90,1004ipopayments,Category,1009ipopayments,Entity,0.6227651834487915,textual,False
91,1005ipopayments,DeptName,1009ipopayments,Department family,0.6186152100563049,textual,True
92,1004ipopayments,Title,1010ipopayments,Department Secondary,0.6150121688842773,textual,False
93,1007ipopayments,Entity,1010ipopayments,Expense Category,0.6133720278739929,textual,False
94,1005ipopayments,OfficeName,1007ipopayments,Expense area,0.6131078004837036,textual,False
95,1006ipopayments,Expense area,1007ipopayments,Entity,0.6111785173416138,textual,False
96,1008ipopayments,Entity Category,1010ipopayments,Expense Category,0.6045173406600952,textual,False
97,1007ipopayments,Entity,1008ipopayments,Expense Office,0.603225588798523,textual,False
98,1007ipopayments,Expense area,1008ipopayments,Supplier,0.6016128063201904,textual,False
99,1008ipopayments,Expense Office,1009ipopayments,Entity,0.5979411005973816,textual,False
100,1007ipopayments,Expense area,1009ipopayments,Entity,0.5978866219520569,textual,False
101,1005ipopayments,ExpenseCategory,1007ipopayments,Entity,0.5961432456970215,textual,False
102,1005ipopayments,ExpenseCategory,1010ipopayments,Department Primary,0.5935621857643127,textual,False
103,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.5898013710975647,numerical,True
104,1009ipopayments,Department family,1010ipopayments,Department Secondary,0.5883611440658569,textual,True
105,1006ipopayments,Vendor Name,1007ipopayments,Expense area,0.5876504182815552,textual,False
106,1004ipopayments,Supplier Name,1005ipopayments,ExpenseCategory,0.586504340171814,textual,False
