,table_a,column_a,table_b,column_b,similarity,correct
0,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.97427166,True
1,1007ipopayments,Department family,1009ipopayments,Department family,0.97309524,True
2,1007ipopayments,Expense area,1009ipopayments,Expense area,0.97256887,True
3,1007ipopayments,Entity,1009ipopayments,Entity,0.97109526,True
4,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9660133,True
5,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9194509,True
6,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9149424,True
7,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9144168,True
8,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9056877,True
9,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.90374213,True
10,1008ipopayments,Supplier,1009ipopayments,Supplier,0.8993397,True
11,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.89742386,True
12,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8922968,True
13,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.89185315,True
14,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.8771502,True
15,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.84794885,True
16,1007ipopayments,Amount,1009ipopayments,Amount,0.78423375,True
17,1007ipopayments,Date,1009ipopayments,Date,0.77085036,True
18,1008ipopayments,Department Category,1009ipopayments,Department family,0.75695944,True
19,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.75668114,True
20,1008ipopayments,Amount,1009ipopayments,Amount,0.75161916,True
21,1005ipopayments,Expense,1006ipopayments,Expense type,0.75037247,True
22,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.7461881,True
23,1008ipopayments,Entity Category,1009ipopayments,Entity,0.74581265,True
24,1008ipopayments,Date,1009ipopayments,Date,0.74044335,True
25,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.7392347,True
26,1007ipopayments,Department family,1008ipopayments,Department Category,0.7341101,True
27,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.7338318,True
