,table_a,column_a,table_b,column_b,similarity,type,correct
0,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.9184334874153136,textual,True
1,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.8955142498016357,textual,True
2,1008ipopayments,Entity Category,1009ipopayments,Entity,0.8935925960540771,textual,True
3,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.8791474103927612,textual,True
4,1007ipopayments,Entity,1008ipopayments,Entity Category,0.8713394999504089,textual,True
5,1008ipopayments,Date,1009ipopayments,Date,0.8633561134338379,mixed,True
6,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8618189692497253,textual,True
7,1007ipopayments,Entity,1009ipopayments,Entity,0.86024409532547,textual,True
8,1007ipopayments,Expense type,1009ipopayments,Expense type,0.8592143058776855,textual,True
9,1005ipopayments,OfficeName,1009ipopayments,Entity,0.8558305501937866,textual,True
10,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.8519424796104431,textual,True
11,1005ipopayments,OfficeName,1007ipopayments,Entity,0.8415864706039429,textual,True
12,1008ipopayments,Supplier,1009ipopayments,Supplier,0.8351572751998901,textual,True
13,1005ipopayments,Expense,1007ipopayments,Expense type,0.8279867172241211,textual,True
14,1005ipopayments,Expense,1008ipopayments,Expense Category,0.827736496925354,textual,True
15,1007ipopayments,Date,1008ipopayments,Date,0.8265488743782043,mixed,True
16,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.8222984075546265,textual,True
17,1005ipopayments,Date,1008ipopayments,Date,0.8220528364181519,mixed,True
18,1008ipopayments,Department Category,1009ipopayments,Department family,0.8199861645698547,textual,True
19,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.8166027665138245,textual,True
20,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.8151708245277405,textual,True
21,1005ipopayments,Expense,1006ipopayments,Expense type,0.813305675983429,textual,True
22,1005ipopayments,Expense,1009ipopayments,Expense type,0.8124591112136841,textual,True
23,1007ipopayments,Date,1009ipopayments,Date,0.8118056058883667,mixed,True
24,1006ipopayments,Expense type,1007ipopayments,Expense type,0.8105350732803345,textual,True
25,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.8052803874015808,textual,True
26,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8047481775283813,textual,True
27,1009ipopayments,Entity,1010ipopayments,Department Primary,0.7974290251731873,textual,True
28,1005ipopayments,Date,1007ipopayments,Date,0.7948750257492065,mixed,True
29,1005ipopayments,OfficeName,1010ipopayments,Department Primary,0.7938290238380432,textual,True
30,1006ipopayments,Expense type,1009ipopayments,Expense type,0.7906886339187622,textual,True
31,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.7860315442085266,textual,True
32,1005ipopayments,Date,1009ipopayments,Date,0.78424471616745,mixed,True
33,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.7827560901641846,textual,True
34,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.782355010509491,textual,True
35,1008ipopayments,Amount,1009ipopayments,Amount,0.7796861529350281,numerical,True
36,1006ipopayments,Expense area,1009ipopayments,Expense area,0.776984453201294,textual,True
37,1004ipopayments,Transaction ID,1009ipopayments,Transaction number,0.7742517590522766,mixed,True
38,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.7719464302062988,textual,True
39,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.7706108689308167,mixed,True
40,1007ipopayments,Department family,1009ipopayments,Department family,0.7671017646789551,textual,True
41,1006ipopayments,Date,1009ipopayments,Department family,0.7662465572357178,textual,False
42,1007ipopayments,Entity,1010ipopayments,Department Primary,0.7611591815948486,textual,True
43,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.7597813010215759,numerical,True
44,1006ipopayments,Vendor Name,1009ipopayments,Supplier,0.7593940496444702,textual,True
45,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.7562708258628845,textual,True
46,1005ipopayments,DeptName,1007ipopayments,Department family,0.7552571892738342,textual,True
47,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.7528201937675476,textual,True
48,1006ipopayments,Date,1008ipopayments,Department Category,0.7516372799873352,textual,False
49,1004ipopayments,Transaction Total,1008ipopayments,Amount,0.7510160803794861,numerical,True
50,1004ipopayments,Category,1010ipopayments,Expense Category,0.7384366393089294,textual,False
51,1004ipopayments,Supplier Name,1008ipopayments,Supplier,0.7316623330116272,textual,True
52,1005ipopayments,ExpenseCategory,1009ipopayments,Supplier,0.7315511703491211,textual,False
53,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.7312102913856506,textual,True
54,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.7309064269065857,textual,True
55,1004ipopayments,Transaction ID,1008ipopayments,Transaction number,0.7257471084594727,mixed,True
56,1005ipopayments,ExpenseCategory,1006ipopayments,Vendor Name,0.7231664657592773,textual,False
57,1004ipopayments,Title,1009ipopayments,Department family,0.723150908946991,textual,False
58,1007ipopayments,Expense area,1009ipopayments,Supplier,0.7163234949111938,textual,False
59,1005ipopayments,DeptName,1006ipopayments,Date,0.7143608927726746,textual,False
60,1007ipopayments,Department family,1008ipopayments,Department Category,0.7096855640411377,textual,True
61,1004ipopayments,Supplier Name,1009ipopayments,Supplier,0.7029380798339844,textual,True
62,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.7008196711540222,textual,True
63,1004ipopayments,Title,1008ipopayments,Department Category,0.6977502703666687,textual,False
64,1005ipopayments,DeptName,1009ipopayments,Department family,0.6969717144966125,textual,True
65,1004ipopayments,Category,1009ipopayments,Expense area,0.6893091201782227,textual,True
66,1006ipopayments,Expense area,1009ipopayments,Supplier,0.6874317526817322,textual,False
67,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.6868071556091309,textual,True
68,1004ipopayments,Supplier Name,1009ipopayments,Expense area,0.6753780245780945,textual,False
69,1004ipopayments,Supplier Name,1008ipopayments,Expense Office,0.6733503937721252,textual,False
70,1006ipopayments,Vendor Name,1008ipopayments,Supplier,0.6701502203941345,textual,True
71,1008ipopayments,Expense Office,1009ipopayments,Supplier,0.6671779751777649,textual,False
72,1005ipopayments,DeptName,1008ipopayments,Department Category,0.6646568179130554,textual,True
73,1004ipopayments,Category,1010ipopayments,Department Primary,0.6584158539772034,textual,False
74,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.651941180229187,textual,True
75,1009ipopayments,Department family,1010ipopayments,Department Secondary,0.6480264663696289,textual,True
76,1006ipopayments,Vendor Name,1007ipopayments,Expense area,0.6455324292182922,textual,False
77,1007ipopayments,Expense area,1008ipopayments,Entity Category,0.6444251537322998,textual,False
78,1004ipopayments,Category,1005ipopayments,OfficeName,0.639665424823761,textual,False
79,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.6387437582015991,textual,True
80,1004ipopayments,Category,1006ipopayments,Expense area,0.6383336782455444,textual,True
81,1004ipopayments,Category,1008ipopayments,Expense Office,0.6375972628593445,textual,True
82,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.6353840827941895,mixed,True
83,1006ipopayments,Date,1007ipopayments,Department family,0.6338310837745667,textual,False
84,1004ipopayments,Category,1005ipopayments,ExpenseCategory,0.6297156810760498,textual,True
85,1005ipopayments,ExpenseCategory,1008ipopayments,Supplier,0.6283952593803406,textual,False
86,1006ipopayments,Expense area,1008ipopayments,Supplier,0.6282256841659546,textual,False
87,1005ipopayments,OfficeName,1007ipopayments,Expense area,0.6274515390396118,textual,False
88,1007ipopayments,Expense area,1009ipopayments,Expense area,0.6268036365509033,textual,True
89,1004ipopayments,Title,1007ipopayments,Department family,0.6240750551223755,textual,False
90,1004ipopayments,Category,1008ipopayments,Entity Category,0.6231666803359985,textual,False
91,1004ipopayments,Category,1007ipopayments,Entity,0.6229701638221741,textual,False
92,1007ipopayments,Expense area,1009ipopayments,Entity,0.6195790767669678,textual,False
93,1004ipopayments,Supplier Name,1005ipopayments,ExpenseCategory,0.6163065433502197,textual,False
94,1005ipopayments,OfficeName,1008ipopayments,Expense Office,0.6157373189926147,textual,False
95,1005ipopayments,OfficeName,1009ipopayments,Expense area,0.6154584884643555,textual,False
96,1004ipopayments,Category,1009ipopayments,Entity,0.6154365539550781,textual,False
97,1005ipopayments,Vendor,1006ipopayments,Vendor Name,0.6139096617698669,textual,True
98,1006ipopayments,Expense area,1007ipopayments,Expense area,0.6116016507148743,textual,True
99,1005ipopayments,OfficeName,1006ipopayments,Expense area,0.6064808368682861,textual,False
100,1004ipopayments,Supplier Name,1006ipopayments,Expense area,0.6051495671272278,textual,False
101,1009ipopayments,Expense area,1010ipopayments,Expense Category,0.6024715900421143,textual,False
102,1004ipopayments,Title,1010ipopayments,Department Secondary,0.6002485156059265,textual,False
103,1007ipopayments,Department family,1010ipopayments,Department Secondary,0.5942784547805786,textual,True
104,1007ipopayments,Expense area,1008ipopayments,Supplier,0.5910406112670898,textual,False
105,1007ipopayments,Expense area,1010ipopayments,Department Primary,0.5869033932685852,textual,False
106,1005ipopayments,ExpenseCategory,1010ipopayments,Expense Category,0.5856239795684814,textual,False
107,1005ipopayments,ExpenseCategory,1010ipopayments,Department Primary,0.5853517055511475,textual,False
108,1004ipopayments,Title,1006ipopayments,Date,0.5773367285728455,textual,False
