,table_a,column_a,table_b,column_b,similarity,type,correct
0,25koct11,Department family,25ksep11,Department family,0.9963114261627196,textual,True
1,25kjun11,Department family,25kmay10,Department family,0.9961470365524292,textual,True
2,25knov10,Department family,25koct11,Department family,0.9960888624191284,textual,True
3,25kjul12,Department family,25kjun11,Department family,0.995714783668518,textual,True
4,25knov10,Entity,25koct11,Entity,0.9943789839744568,textual,True
5,25knov10,Department family,25ksep11,Department family,0.9935924410820008,textual,True
6,25kjul12,Entity,25kjun11,Entity,0.9934993386268616,textual,True
7,25kjul12,Department family,25koct10,Department family,0.9932928681373596,textual,True
8,25koct11,Entity,25ksep11,Entity,0.9928566217422484,textual,True
9,25kjul12,Department family,25ksep11,Department family,0.992803692817688,textual,True
10,25kjul12,Department family,25kmay10,Department family,0.9926103353500366,textual,True
11,25kjun11,Entity,25kmay10,Entity,0.9925946593284608,textual,True
12,25kjun11,Department family,25koct11,Department family,0.9915511012077332,textual,True
13,25kjul12,Department family,25koct11,Department family,0.9914337992668152,textual,True
14,25kjun11,Department family,25ksep11,Department family,0.9913318753242492,textual,True
15,25kmay10,Department family,25koct10,Department family,0.9907976388931274,textual,True
16,25knov10,Entity,25ksep11,Entity,0.9897511005401612,textual,True
17,25kjun11,Department family,25koct10,Department family,0.9894840121269226,textual,True
18,25kjun11,Expense area,25kmay10,Expense area,0.9894277453422546,textual,True
19,25kjul12,Entity,25ksep11,Entity,0.9891759157180786,textual,True
20,25kjul12,Entity,25koct11,Entity,0.9878376722335817,textual,True
21,25kmar11,Transaction number,25kmar12,Transaction number,0.987576961517334,numerical,True
22,25knov10,Expense area,25koct11,Expense area,0.986264705657959,textual,True
23,25kjul12,Entity,25kmay10,Entity,0.9857702255249025,textual,True
24,25kjul12,Department family,25knov10,Department family,0.985708236694336,textual,True
25,25kjun11,Expense area,25knov10,Expense area,0.9856796264648438,textual,True
26,25kmay10,Expense area,25knov10,Expense area,0.9854709506034852,textual,True
27,25kjun11,Department family,25knov10,Department family,0.9848703145980836,textual,True
28,25kjun11,Entity,25ksep11,Entity,0.9842900633811952,textual,True
29,25kjun11,Entity,25koct11,Entity,0.9831790328025818,textual,True
30,25kmay10,Department family,25ksep11,Department family,0.9830154180526732,textual,True
31,25kmay10,Department family,25koct11,Department family,0.9828428030014038,textual,True
32,25kjul12,Entity,25knov10,Entity,0.9825688004493712,textual,True
33,25kmay10,Expense type,25knov10,Expense type,0.9815951585769652,textual,True
34,25kjun12,Expense area,25koct11,Expense area,0.9815924763679504,textual,True
35,25knov10,Expense type,25koct11,Expense type,0.9804440140724182,textual,True
36,25koct10,Department family,25ksep11,Department family,0.980437397956848,textual,True
37,25kmar11,Amount,25knov10,Amount,0.9797738194465636,numerical,True
38,25kjun12,Expense area,25knov10,Expense area,0.9793919324874878,textual,True
39,25kmar11,Amount,25kmar12,Amount,0.9785853028297424,numerical,True
40,25kjun11,Expense area,25koct10,Expense area,0.976831555366516,textual,True
41,25koct10,Department family,25koct11,Department family,0.9765699505805968,textual,True
42,25kjun11,Expense area,25koct11,Expense area,0.976552963256836,textual,True
43,25kmay10,Expense type,25koct11,Expense type,0.9764715433120728,textual,True
44,25kmar11,Transaction number,25knov10,Transaction number,0.9764513969421388,numerical,True
45,25kjun11,Entity,25knov10,Entity,0.976350963115692,textual,True
46,25kmar11,Date,25kmar12,Date,0.9761982560157776,mixed,True
47,25kmar12,Amount,25knov10,Amount,0.9754663705825806,numerical,True
48,25kmay10,Expense area,25koct11,Expense area,0.9752600789070128,textual,True
49,25kjul12,Expense type,25kmay10,Expense type,0.9745132327079772,textual,True
50,25kmay10,Expense area,25koct10,Expense area,0.9741511940956116,textual,True
51,25kmay10,Department family,25knov10,Department family,0.9739139080047609,textual,True
52,25kmay10,Entity,25koct11,Entity,0.9731887578964232,textual,True
53,25kjun12,Expense type,25kmay10,Expense type,0.9727542400360109,textual,True
54,25kmar11,Expense Category,25ksep11,Expense Category,0.972585380077362,textual,True
55,25kmay10,Entity,25ksep11,Entity,0.9725353121757508,textual,True
56,25kjun12,Expense area,25kmay10,Expense area,0.9716496467590332,textual,True
57,25kmar12,Transaction number,25knov10,Transaction number,0.9711974263191224,numerical,True
58,25kmay10,Expense type,25koct10,Expense type,0.9708518981933594,textual,True
59,25kjul12,Expense type,25kjun12,Expense type,0.9708290100097656,textual,True
60,25kjun12,Expense type,25knov10,Expense type,0.9706048369407654,textual,True
61,25kjul12,Expense area,25kmay10,Expense area,0.969519317150116,textual,True
62,25knov10,Expense type,25koct10,Expense type,0.9693671464920044,textual,True
63,25knov10,Expense area,25koct10,Expense area,0.9686220288276672,textual,True
64,25knov10,Department family,25koct10,Department family,0.967818796634674,textual,True
65,25kjun11,Expense area,25kjun12,Expense area,0.9671750068664552,textual,True
66,25kmar12,Expense area,25knov10,Expense area,0.967154324054718,textual,True
67,25koct11,Supplier,25ksep11,Supplier,0.9670441746711732,textual,True
68,25kjun11,Expense type,25koct11,Expense type,0.964849293231964,textual,True
69,25kjun12,Expense type,25koct10,Expense type,0.9647542238235474,textual,True
70,25kjul12,Expense area,25kjun11,Expense area,0.9647392630577089,textual,True
71,25kmay10,Entity,25knov10,Entity,0.9640483856201172,textual,True
72,25kjun12,Expense type,25koct11,Expense type,0.964002013206482,textual,True
73,25kjun11,Expense type,25koct10,Expense type,0.9638900756835938,textual,True
74,25koct10,Expense type,25koct11,Expense type,0.9619377851486206,textual,True
75,25kjun12,Expense area,25koct10,Expense area,0.9619357585906982,textual,True
76,25kjul12,Expense area,25koct10,Expense area,0.9615489840507508,textual,True
77,25kjul12,Expense area,25knov10,Expense area,0.9600725173950196,textual,True
78,25kjun11,Expense type,25kmay10,Expense type,0.9596418142318726,textual,True
79,25knov10,Date,25ksep11,Date,0.959231972694397,mixed,True
80,25kmar11,Date,25knov10,Date,0.95911705493927,mixed,True
81,25koct10,Expense area,25koct11,Expense area,0.958731472492218,textual,True
82,25kjun11,Supplier,25ksep11,Supplier,0.958382487297058,textual,True
83,25kjul12,Expense type,25knov10,Expense type,0.9576255083084106,textual,True
84,25kmar12,Date,25knov10,Date,0.9561356902122498,mixed,True
85,25kmar12,Expense area,25koct11,Expense area,0.9560987949371338,textual,True
86,25kjul12,Expense type,25koct10,Expense type,0.9553070068359376,textual,True
87,25kmay10,Supplier,25koct10,Supplier,0.9541765451431274,textual,True
88,25kjun11,Expense type,25knov10,Expense type,0.9541747570037842,textual,True
89,25knov10,Supplier,25ksep11,Supplier,0.9525614976882936,textual,True
90,25kjul12,Supplier,25kmay10,Supplier,0.9508341550827026,textual,True
91,25kjul12,Expense type,25koct11,Expense type,0.9506614208221436,textual,True
92,25kmar11,Date,25ksep11,Date,0.9489301443099976,mixed,True
93,25kjun11,Expense area,25kmar12,Expense area,0.9486209154129028,textual,True
94,25kjun11,Supplier,25knov10,Supplier,0.9478632807731628,textual,True
95,25kjun11,Expense type,25kjun12,Expense type,0.9477012157440186,textual,True
96,25kjun12,Expense area,25kmar12,Expense area,0.9465012550354004,textual,True
97,25knov10,Supplier,25koct11,Supplier,0.9456684589385986,textual,True
98,25kmar12,Entity,25knov10,Entity,0.9449924826622008,textual,True
99,25kjun10,Vendor,25koct11,Supplier,0.9438323974609376,textual,True
100,25knov10,Supplier,25koct10,Supplier,0.9434693455696106,textual,True
101,25kjul12,Expense area,25kjun12,Expense area,0.9403945207595824,textual,True
102,25kmar12,Expense area,25kmay10,Expense area,0.939179301261902,textual,True
103,25kmay10,Supplier,25knov10,Supplier,0.9383095502853394,textual,True
104,25kmar12,Entity,25koct11,Entity,0.9379991292953492,textual,True
105,25kjul12,Expense area,25koct11,Expense area,0.9377277493476868,textual,True
106,25kmar12,Date,25ksep11,Date,0.9377264380455016,mixed,True
107,25kjun10,Vendor,25ksep11,Supplier,0.9374987483024596,textual,True
108,25kjul12,Supplier,25koct10,Supplier,0.936357855796814,textual,True
109,25koct11,Expense type,25ksep11,Expense Title,0.936054825782776,textual,True
110,25kjul12,Expense type,25kjun11,Expense type,0.9354239106178284,textual,True
111,25kjun11,Supplier,25kmay10,Supplier,0.9330302476882936,textual,True
112,25kmar12,Entity,25ksep11,Entity,0.930387794971466,textual,True
113,25kjun11,Supplier,25koct11,Supplier,0.9277181625366212,textual,True
114,25kmar12,Expense area,25koct10,Expense area,0.9245500564575196,textual,True
115,25kmar11,Vendor,25knov10,Supplier,0.9175863265991212,textual,True
116,25kmay10,Supplier,25ksep11,Supplier,0.917482852935791,textual,True
117,25kmar12,Expense type,25koct11,Expense type,0.916370689868927,textual,True
118,25kjun11,Supplier,25koct10,Supplier,0.9157140254974364,textual,True
119,25kjun11,Expense type,25ksep11,Expense Title,0.9153642654418944,textual,True
120,25koct10,Supplier,25ksep11,Supplier,0.91462504863739,textual,True
121,25kjul12,Expense area,25kmar12,Expense area,0.9137386679649352,textual,True
122,25kjul12,Expense type,25kmar12,Expense type,0.9135077595710754,textual,True
123,25kjul12,Supplier,25knov10,Supplier,0.910140872001648,textual,True
124,25knov10,Expense type,25ksep11,Expense Title,0.9090722799301147,textual,True
125,25kmar12,Expense type,25kmay10,Expense type,0.9089438319206238,textual,True
126,25kjul12,Entity,25kmar12,Entity,0.9068886637687684,textual,True
127,25kjun10,Vendor,25knov10,Supplier,0.9043044447898864,textual,True
128,25kjun11,Entity,25kmar12,Entity,0.9038205146789552,textual,True
129,25koct10,Supplier,25koct11,Supplier,0.9019445776939392,textual,True
130,25kmar12,Expense type,25knov10,Expense type,0.9002363085746765,textual,True
131,25kmar11,Vendor,25kmar12,Supplier,0.9001272916793823,textual,True
132,25kmay10,Expense type,25ksep11,Expense Title,0.8987634181976318,textual,True
133,25kmar11,Vendor,25koct10,Supplier,0.8961649537086487,textual,True
134,25kjun12,Expense type,25kmar12,Expense type,0.8944106101989746,textual,True
135,25kmar11,Expense Category,25kmar12,Expense area,0.8931682705879211,textual,True
136,25kmar12,Department family,25knov10,Department family,0.8921093344688416,textual,True
137,25kjun10,Vendor,25kjun11,Supplier,0.8913642168045044,textual,True
138,25kjun11,Expense type,25kmar12,Expense type,0.8907138109207153,textual,True
139,25kjun12,Description,25kmar12,Description,0.8904335498809814,textual,True
140,25kjun12,Expense type,25ksep11,Expense Title,0.8885067105293274,textual,True
141,25kmay10,Expense area,25ksep11,Expense Category,0.8876080513000488,textual,True
142,25koct10,Expense type,25ksep11,Expense Title,0.8869304656982422,textual,True
143,25knov10,Expense area,25ksep11,Expense Category,0.8868200778961182,textual,True
144,25kmar11,Expense Category,25knov10,Expense area,0.8857370615005493,textual,True
145,25kjul12,Supplier,25kjun11,Supplier,0.8846285343170166,textual,True
146,25kmar12,Department family,25koct11,Department family,0.8843684792518616,textual,True
147,25kjun12,Expense area,25kmar11,Expense Category,0.8837932348251343,textual,True
148,25kmar12,Supplier,25knov10,Supplier,0.8830363750457764,textual,True
149,25kmar12,Entity,25kmay10,Entity,0.8822245597839355,textual,True
150,25kmay10,Supplier,25koct11,Supplier,0.8814992904663086,textual,True
151,25kmar12,Supplier,25koct11,Supplier,0.8813629150390625,textual,True
152,25kjul12,Expense area,25ksep11,Expense Category,0.8810410499572754,textual,True
153,25kmar11,Vendor,25kmay10,Supplier,0.8806425333023071,textual,True
154,25kmar11,Vendor,25koct11,Supplier,0.8805241584777832,textual,True
155,25koct11,Expense area,25ksep11,Expense Category,0.8798097372055054,textual,True
156,25kjul12,Supplier,25ksep11,Supplier,0.8786945939064026,textual,True
157,25kmar12,Expense area,25ksep11,Expense Category,0.8783203363418579,textual,True
158,25kjun11,Expense area,25ksep11,Expense Category,0.8776484727859497,textual,True
159,25kmar11,Expense Category,25koct11,Expense area,0.8776050806045532,textual,True
160,25kjun12,Expense area,25ksep11,Expense Category,0.8768749237060547,textual,True
161,25kmar12,Expense type,25ksep11,Expense Title,0.8766930103302002,textual,True
162,25kmar11,Vendor,25ksep11,Supplier,0.8759130835533142,textual,True
163,25kjul12,Expense type,25ksep11,Expense Title,0.8756361603736877,textual,True
164,25kmar11,Expense Category,25kmay10,Expense area,0.8756116628646851,textual,True
165,25kmar12,Department family,25ksep11,Department family,0.8746392130851746,textual,True
166,25koct10,Expense area,25ksep11,Expense Category,0.874311089515686,textual,True
167,25kmar11,Expense Category,25koct10,Expense area,0.8720688223838806,textual,True
168,25kjun10,Vendor,25kmar11,Vendor,0.8701525330543518,textual,True
169,25kmar12,Supplier,25koct10,Supplier,0.8694491982460022,textual,True
170,25kjun11,Supplier,25kmar11,Vendor,0.8684068918228149,textual,True
171,25kmar12,Expense type,25koct10,Expense type,0.8654825687408447,textual,True
172,25kjun11,Expense area,25kmar11,Expense Category,0.8644102811813354,textual,True
173,25kjun10,Description,25ksep10,unnamed3,0.8627623319625854,textual,True
174,25kmar12,Supplier,25ksep11,Supplier,0.8576781749725342,textual,True
175,25kmar12,Supplier,25kmay10,Supplier,0.8572885394096375,textual,True
176,25kjul12,Expense area,25kmar11,Expense Category,0.8561939597129822,textual,True
177,25kjun10,Dept,25kmar12,Department family,0.8556878566741943,textual,True
