,table_a,column_a,table_b,column_b,similarity,type,correct
0,25koct11,Department family,25ksep11,Department family,0.9958176016807556,textual,True
1,25kjun11,Department family,25kmay10,Department family,0.9957100749015808,textual,True
2,25knov10,Department family,25koct11,Department family,0.9955823421478271,textual,True
3,25kjul12,Department family,25kjun11,Department family,0.995004951953888,textual,True
4,25knov10,Entity,25koct11,Entity,0.9940826892852784,textual,True
5,25kjul12,Entity,25kjun11,Entity,0.9931235313415528,textual,True
6,25knov10,Department family,25ksep11,Department family,0.9927986860275269,textual,True
7,25koct11,Entity,25ksep11,Entity,0.9923814535140992,textual,True
8,25kjun11,Entity,25kmay10,Entity,0.9923723340034484,textual,True
9,25kjul12,Department family,25koct10,Department family,0.9922696948051452,textual,True
10,25kjul12,Department family,25kmay10,Department family,0.9919534921646118,textual,True
11,25kjul12,Department family,25ksep11,Department family,0.9919016361236572,textual,True
12,25kjun11,Department family,25koct11,Department family,0.9911012649536132,textual,True
13,25kjun11,Department family,25ksep11,Department family,0.9905800819396972,textual,True
14,25kjul12,Department family,25koct11,Department family,0.990487575531006,textual,True
15,25kjun11,Expense area,25kmay10,Expense area,0.9895562529563904,textual,True
16,25knov10,Entity,25ksep11,Entity,0.9891400337219238,textual,True
17,25kmay10,Department family,25koct10,Department family,0.9891340136528016,textual,True
18,25kjul12,Entity,25ksep11,Entity,0.9888617396354676,textual,True
19,25kjul12,Entity,25koct11,Entity,0.9877618551254272,textual,True
20,25kmar11,Transaction number,25kmar12,Transaction number,0.9875658750534058,numerical,True
21,25kjun11,Department family,25koct10,Department family,0.9872028231620787,textual,True
22,25knov10,Expense area,25koct11,Expense area,0.9863891005516052,textual,True
23,25kjul12,Entity,25kmay10,Entity,0.9856164455413818,textual,True
24,25kjun11,Expense area,25knov10,Expense area,0.9854141473770142,textual,True
25,25kmay10,Expense area,25knov10,Expense area,0.9851585626602172,textual,True
26,25kjun11,Entity,25ksep11,Entity,0.9840487837791444,textual,True
27,25kjul12,Department family,25knov10,Department family,0.9839887619018556,textual,True
28,25kjun11,Department family,25knov10,Department family,0.9836292862892152,textual,True
29,25kjun11,Entity,25koct11,Entity,0.9832074642181396,textual,True
30,25kjul12,Entity,25knov10,Entity,0.9825887084007264,textual,True
31,25kmay10,Expense type,25knov10,Expense type,0.9819616079330444,textual,True
32,25kmay10,Department family,25koct11,Department family,0.981916606426239,textual,True
33,25kmay10,Department family,25ksep11,Department family,0.9816755056381226,textual,True
34,25kjun12,Expense area,25koct11,Expense area,0.9815229773521424,textual,True
35,25knov10,Expense type,25koct11,Expense type,0.980728030204773,textual,True
36,25kmar11,Amount,25knov10,Amount,0.9796059727668762,numerical,True
37,25kjun12,Expense area,25knov10,Expense area,0.9788381457328796,textual,True
38,25kmar11,Amount,25kmar12,Amount,0.9785529375076294,numerical,True
39,25koct10,Department family,25ksep11,Department family,0.9775024056434632,textual,True
40,25kjun11,Entity,25knov10,Entity,0.9765862226486206,textual,True
41,25kmay10,Expense type,25koct11,Expense type,0.9765133857727052,textual,True
42,25kjun11,Expense area,25koct10,Expense area,0.9764717221260072,textual,True
43,25kmar11,Date,25kmar12,Date,0.976337194442749,mixed,True
44,25kjun11,Expense area,25koct11,Expense area,0.9762747883796692,textual,True
45,25kmar11,Transaction number,25knov10,Transaction number,0.9762167930603028,numerical,True
46,25kmar12,Amount,25knov10,Amount,0.9753878712654114,numerical,True
47,25kjul12,Expense type,25kmay10,Expense type,0.975180208683014,textual,True
48,25kmay10,Expense area,25koct11,Expense area,0.9744666814804076,textual,True
49,25kmay10,Expense area,25koct10,Expense area,0.9742660522460938,textual,True
50,25kmay10,Entity,25koct11,Entity,0.9741244912147522,textual,True
51,25kjun12,Expense type,25kmay10,Expense type,0.9734283685684204,textual,True
52,25koct10,Department family,25koct11,Department family,0.9731936454772948,textual,True
53,25kmay10,Entity,25ksep11,Entity,0.9728798866271972,textual,True
54,25kmay10,Department family,25knov10,Department family,0.9720615148544312,textual,True
55,25kmay10,Expense type,25koct10,Expense type,0.9720433950424194,textual,True
56,25kmar11,Expense Category,25ksep11,Expense Category,0.971687912940979,textual,True
57,25kjul12,Expense type,25kjun12,Expense type,0.9716711044311525,textual,True
58,25kmar12,Transaction number,25knov10,Transaction number,0.9712289571762084,numerical,True
59,25kjun12,Expense type,25knov10,Expense type,0.9711897373199464,textual,True
60,25kjun12,Expense area,25kmay10,Expense area,0.9706246256828308,textual,True
61,25kjul12,Expense area,25kmay10,Expense area,0.9697442054748536,textual,True
62,25knov10,Expense type,25koct10,Expense type,0.969512403011322,textual,True
63,25knov10,Expense area,25koct10,Expense area,0.9675031900405884,textual,True
64,25koct11,Supplier,25ksep11,Supplier,0.9670571088790894,textual,True
65,25kmar12,Expense area,25knov10,Expense area,0.966965913772583,textual,True
66,25kjun12,Expense type,25koct10,Expense type,0.9661313891410828,textual,True
67,25kjun11,Expense area,25kjun12,Expense area,0.9660885334014891,textual,True
68,25kjun11,Expense type,25koct10,Expense type,0.96558678150177,textual,True
69,25kjun11,Expense type,25koct11,Expense type,0.9652912020683287,textual,True
70,25kmay10,Entity,25knov10,Entity,0.9652661681175232,textual,True
71,25kjul12,Expense area,25kjun11,Expense area,0.9644882678985596,textual,True
72,25kjun12,Expense type,25koct11,Expense type,0.9637686610221864,textual,True
73,25knov10,Department family,25koct10,Department family,0.9630179405212402,textual,True
74,25koct10,Expense type,25koct11,Expense type,0.962199330329895,textual,True
75,25kjun11,Expense type,25kmay10,Expense type,0.9617128372192384,textual,True
76,25kjul12,Expense area,25koct10,Expense area,0.9608559012413024,textual,True
77,25kjun12,Expense area,25koct10,Expense area,0.9606242179870604,textual,True
78,25knov10,Date,25ksep11,Date,0.9591604471206664,mixed,True
79,25kjul12,Expense type,25knov10,Expense type,0.9590822458267212,textual,True
80,25kjul12,Expense area,25knov10,Expense area,0.9588921666145324,textual,True
81,25kmar11,Date,25knov10,Date,0.9588777422904968,mixed,True
82,25kjun11,Supplier,25ksep11,Supplier,0.9583325386047364,textual,True
83,25koct10,Expense area,25koct11,Expense area,0.9576016068458556,textual,True
84,25kjul12,Expense type,25koct10,Expense type,0.9571636915206908,textual,True
85,25kmar12,Expense area,25koct11,Expense area,0.9563583135604858,textual,True
86,25kjun11,Expense type,25knov10,Expense type,0.9562302827835084,textual,True
87,25kmar12,Date,25knov10,Date,0.9560145139694214,mixed,True
88,25kmay10,Supplier,25koct10,Supplier,0.9540588855743408,textual,True
89,25knov10,Supplier,25ksep11,Supplier,0.9522429704666138,textual,True
90,25kjul12,Expense type,25koct11,Expense type,0.9515207409858704,textual,True
91,25kjul12,Supplier,25kmay10,Supplier,0.9509550333023072,textual,True
92,25kjun11,Expense type,25kjun12,Expense type,0.949865698814392,textual,True
93,25kmar12,Entity,25knov10,Entity,0.948921799659729,textual,True
94,25kmar11,Date,25ksep11,Date,0.9488131403923036,mixed,True
95,25kjun11,Expense area,25kmar12,Expense area,0.9472296833992004,textual,True
96,25kjun11,Supplier,25knov10,Supplier,0.947058081626892,textual,True
97,25kjun12,Expense area,25kmar12,Expense area,0.9455819129943848,textual,True
98,25knov10,Supplier,25koct11,Supplier,0.945553183555603,textual,True
99,25kjun10,Vendor,25koct11,Supplier,0.9446693062782288,textual,True
100,25knov10,Supplier,25koct10,Supplier,0.9434974789619446,textual,True
101,25kmar12,Entity,25koct11,Entity,0.9428496360778807,textual,True
102,25koct11,Expense type,25ksep11,Expense Title,0.9388715028762816,textual,True
103,25kjun10,Vendor,25ksep11,Supplier,0.938420295715332,textual,True
104,25kjul12,Expense type,25kjun11,Expense type,0.9379613399505616,textual,True
105,25kmar12,Expense area,25kmay10,Expense area,0.9379557967185974,textual,True
106,25kmay10,Supplier,25knov10,Supplier,0.9378379583358764,textual,True
107,25kmar12,Date,25ksep11,Date,0.9377571940422058,mixed,True
108,25kjul12,Expense area,25kjun12,Expense area,0.9373652935028076,textual,True
109,25kjul12,Supplier,25koct10,Supplier,0.9366920590400696,textual,True
110,25kjul12,Expense area,25koct11,Expense area,0.9364641904830932,textual,True
111,25kmar12,Entity,25ksep11,Entity,0.9352622032165528,textual,True
112,25kjun11,Supplier,25kmay10,Supplier,0.93228280544281,textual,True
113,25kjun11,Supplier,25koct11,Supplier,0.9278417229652404,textual,True
114,25kmar12,Expense area,25koct10,Expense area,0.9208196401596068,textual,True
115,25kjun11,Expense type,25ksep11,Expense Title,0.9186420440673828,textual,True
116,25kmay10,Supplier,25ksep11,Supplier,0.917026162147522,textual,True
117,25kmar11,Vendor,25knov10,Supplier,0.91660875082016,textual,True
118,25kmar12,Expense type,25koct11,Expense type,0.9152359366416932,textual,True
119,25kjun11,Supplier,25koct10,Supplier,0.9149836301803588,textual,True
120,25kjul12,Entity,25kmar12,Entity,0.9146260023117064,textual,True
121,25koct10,Supplier,25ksep11,Supplier,0.9144407510757446,textual,True
122,25kjul12,Expense type,25kmar12,Expense type,0.9137473106384276,textual,True
123,25knov10,Expense type,25ksep11,Expense Title,0.912790060043335,textual,True
124,25kjun11,Entity,25kmar12,Entity,0.9125940799713136,textual,True
125,25kjul12,Supplier,25knov10,Supplier,0.9101654887199402,textual,True
126,25kjul12,Expense area,25kmar12,Expense area,0.9097965955734252,textual,True
127,25kmar12,Expense type,25kmay10,Expense type,0.9075677394866944,textual,True
128,25kjun10,Vendor,25knov10,Supplier,0.9048439860343932,textual,True
129,25kmay10,Expense type,25ksep11,Expense Title,0.9024968147277832,textual,True
130,25koct10,Supplier,25koct11,Supplier,0.9020341038703918,textual,True
131,25kmar12,Expense type,25knov10,Expense type,0.9004212617874146,textual,True
132,25kmar11,Vendor,25kmar12,Supplier,0.8986491560935974,textual,True
133,25kmar11,Vendor,25koct10,Supplier,0.8940907716751099,textual,True
134,25kmar11,Expense Category,25kmar12,Expense area,0.8930254578590393,textual,True
135,25kmar12,Entity,25kmay10,Entity,0.8927977085113525,textual,True
136,25kjun12,Expense type,25ksep11,Expense Title,0.8926618099212646,textual,True
137,25kjun10,Vendor,25kjun11,Supplier,0.8923216462135315,textual,True
138,25kjun12,Description,25kmar12,Description,0.8920116424560547,textual,True
139,25kmay10,Expense area,25ksep11,Expense Category,0.8913335800170898,textual,True
140,25koct10,Expense type,25ksep11,Expense Title,0.891149640083313,textual,True
141,25knov10,Expense area,25ksep11,Expense Category,0.8907651901245117,textual,True
142,25kjun12,Expense type,25kmar12,Expense type,0.8902838230133057,textual,True
