,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kjun10,Ent,25ksep10,unnamed1,0.8904762864112854,textual,True
1,25kjun10,Description,25ksep10,unnamed3,0.8790996670722961,textual,True
2,25kjun10,Description,25kjun11,Expense area,0.8755528926849365,textual,True
3,25kjun11,Expense area,25koct11,Expense area,0.8746951818466187,textual,True
4,25kjul12,Entity,25kjun10,Ent,0.8720314502716064,textual,True
5,25knov11,nan2,25ksep11,Entity,0.8707442879676819,textual,True
6,25kjun11,Expense area,25ksep10,unnamed3,0.8702312707901001,textual,True
7,25kmay10,Entity,25ksep10,unnamed1,0.8678199052810669,textual,True
8,25kmar11,Primary Organization,25ksep11,Entity,0.8667566180229187,textual,True
9,25kjul12,Entity,25ksep10,unnamed1,0.865524172782898,textual,True
10,25kjul12,Expense area,25kjun10,Description,0.8651384711265564,textual,True
11,25knov11,nan5,25ksep11,Expense Category,0.8641753196716309,textual,True
12,25kjun10,Description,25koct11,Expense area,0.8637450933456421,textual,True
13,25kjun10,Dept,25ksep10,unnamed0,0.8634424209594727,textual,True
14,25kjun10,Dept,25koct11,Department family,0.8609506487846375,textual,True
15,25kjun11,Department family,25ksep10,unnamed0,0.8586471080780029,textual,True
16,25kjun10,Summary,25ksep10,unnamed2,0.8572204113006592,textual,True
17,25kjul12,Expense area,25kjun11,Expense area,0.856674075126648,textual,True
18,25kjul12,Expense area,25ksep10,unnamed3,0.8557326793670654,textual,True
19,25kjul12,Supplier,25ksep10,unnamed4,0.8554700613021851,textual,True
20,25kjun11,Entity,25ksep10,unnamed1,0.8550944328308105,textual,True
21,25koct10,Department family,25koct11,Department family,0.8547849655151367,textual,True
22,25kjun10,Ent,25kmay10,Entity,0.8545287847518921,textual,True
23,25koct11,Entity,25ksep10,unnamed1,0.8538137674331665,textual,True
24,25kjul12,Expense area,25koct10,Expense area,0.8523026704788208,textual,True
25,25koct11,Department family,25ksep10,unnamed0,0.8521321415901184,textual,True
26,25koct11,Expense area,25ksep10,unnamed3,0.8515114784240723,textual,True
27,25kjul12,Expense area,25koct11,Expense area,0.8514008522033691,textual,True
28,25kjun10,Dept,25koct10,Department family,0.8506369590759277,textual,True
29,25kjul12,Expense area,25kmay10,Expense area,0.8505675196647644,textual,True
30,25kjun10,Description,25koct10,Expense area,0.8501720428466797,textual,True
31,25kjun10,Summary,25koct11,Expense type,0.8490742444992065,textual,True
32,25kjul12,Department family,25kmay10,Department family,0.8489900827407837,textual,True
33,25kjul12,Department family,25koct10,Department family,0.8489132523536682,textual,True
34,25koct10,Department family,25ksep10,unnamed0,0.8479849696159363,textual,True
35,25koct10,Expense area,25ksep10,unnamed3,0.8470481038093567,textual,True
36,25kjun11,Expense type,25koct11,Expense type,0.8468413352966309,textual,True
37,25kmar11,Expense Category,25knov11,nan5,0.8466873168945312,textual,True
38,25kjul12,Department family,25kjun10,Dept,0.8464304208755493,textual,True
39,25kjul12,Department family,25koct11,Department family,0.8448559641838074,textual,True
40,25kmay10,Expense area,25koct11,Expense area,0.8447184562683105,textual,True
41,25kjul12,Entity,25koct11,Entity,0.8435269594192505,textual,True
42,25kjul12,Entity,25kmay10,Entity,0.8432316184043884,textual,True
43,25kmay10,Entity,25koct11,Entity,0.8426546454429626,textual,True
44,25koct11,Expense type,25ksep10,unnamed2,0.8425248861312866,textual,True
45,25kjun10,Vendor,25ksep10,unnamed4,0.8414924144744873,textual,True
46,25kmay10,Department family,25koct10,Department family,0.8409318327903748,textual,True
47,25kmar11,Vendor,25knov11,nan6,0.8407309651374817,textual,True
48,25kjul12,Department family,25ksep10,unnamed0,0.8404459357261658,textual,True
49,25kmar11,Expense Category,25ksep11,Expense Category,0.8401994705200195,textual,True
50,25kjun11,Department family,25koct11,Department family,0.8394074440002441,textual,True
51,25kjun11,Entity,25koct11,Entity,0.8388842940330505,textual,True
52,25kjun10,Ent,25koct11,Entity,0.8388515710830688,textual,True
53,25kjul12,Expense type,25kjun10,Summary,0.838474690914154,textual,True
54,25kmar11,Expense Category,25knov10,Expense area,0.8378398418426514,textual,True
55,25kjun10,Vendor,25kjun11,Supplier,0.837769091129303,textual,True
56,25kjul12,Expense type,25ksep10,unnamed2,0.8366183042526245,textual,True
57,25kjun11,Expense area,25koct10,Expense area,0.8347315788269043,textual,True
58,25kjun10,Dept,25kjun11,Department family,0.8339962959289551,textual,True
59,25kmar11,Amount,25knov10,Amount,0.8339895606040955,numerical,True
60,25kmay10,Expense area,25ksep10,unnamed3,0.8336251974105835,textual,True
61,25koct10,Expense area,25koct11,Expense area,0.8324184417724609,textual,True
62,25kmay10,Department family,25ksep10,unnamed0,0.8320748805999756,textual,True
63,25knov11,nan4,25ksep11,Expense Title,0.8316854238510132,textual,True
64,25kjul12,Expense type,25koct11,Expense type,0.8309992551803589,textual,True
65,25kmay10,Supplier,25ksep10,unnamed4,0.8303946256637573,textual,True
66,25kjun10,Ent,25kjun11,Entity,0.8298608064651489,textual,True
67,25kmar11,Primary Organization,25knov11,nan2,0.8295853137969971,textual,True
68,25kjun11,Expense area,25knov10,Expense area,0.8287468552589417,textual,True
69,25kjul12,Supplier,25kmay10,Supplier,0.8271623849868774,textual,True
70,25kmar11,Expense Category,25ksep10,unnamed3,0.8266646862030029,textual,True
71,25knov10,Expense area,25knov11,nan5,0.8259701728820801,textual,True
72,25kmar11,Expense Summary,25ksep11,Expense Title,0.8245459198951721,textual,True
73,25kjun10,Description,25kmar11,Expense Category,0.8231856226921082,textual,True
74,25kjun10,Description,25kmay10,Expense area,0.8223304152488708,textual,True
75,25kjun11,Supplier,25ksep10,unnamed4,0.8214084506034851,textual,True
76,25knov11,nan3,25ksep11,Date,0.819416344165802,mixed,True
77,25kmay10,Expense area,25koct10,Expense area,0.8189101219177246,textual,True
