,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kjun10,Description,25koct10,Expense area,0.8965311050415039,textual,True
1,25kjun11,Expense area,25ksep10,unnamed3,0.8912057876586914,textual,True
2,25kjul12,Expense area,25ksep10,unnamed3,0.8900140523910522,textual,True
3,25koct10,Expense area,25ksep10,unnamed3,0.8886792659759521,textual,True
4,25kjul12,Entity,25ksep10,unnamed1,0.8856540322303772,textual,True
5,25kjul12,Department family,25ksep10,unnamed0,0.8815358281135559,textual,True
6,25kjun10,Dept,25ksep10,unnamed0,0.8815178275108337,textual,True
7,25kjun11,Department family,25ksep10,unnamed0,0.8782240152359009,textual,True
8,25kjun10,Description,25ksep10,unnamed3,0.8758952021598816,textual,True
9,25kjun11,Department family,25koct11,Department family,0.8753436803817749,textual,True
10,25kjun10,Dept,25koct10,Department family,0.8743914365768433,textual,True
11,25kjun10,Summary,25ksep10,unnamed2,0.8713499307632446,textual,True
12,25kjun10,Dept,25kjun11,Department family,0.8697466254234314,textual,True
13,25kjul12,Department family,25kjun11,Department family,0.8693792819976807,textual,True
14,25kjun11,Expense type,25ksep10,unnamed2,0.8689336180686951,textual,True
15,25kjul12,Entity,25kjun10,Ent,0.8673754930496216,textual,True
16,25kjun11,Expense area,25koct10,Expense area,0.8664152026176453,textual,True
17,25koct10,Department family,25koct11,Department family,0.8656761050224304,textual,True
18,25kjun10,Dept,25koct11,Department family,0.8652111887931824,textual,True
19,25kjul12,Expense area,25kjun11,Expense area,0.8650251626968384,textual,True
20,25kjul12,Expense type,25ksep10,unnamed2,0.8645403385162354,textual,True
21,25kjun10,Ent,25ksep10,unnamed1,0.8626372218132019,textual,True
22,25kjun11,Entity,25ksep10,unnamed1,0.8623276948928833,textual,True
23,25kmar11,Expense Category,25ksep11,Expense Category,0.862178385257721,textual,True
24,25kjul12,Department family,25koct11,Department family,0.8607224225997925,textual,True
25,25kjun10,Description,25kjun11,Expense area,0.8599187135696411,textual,True
26,25kjun11,Expense area,25koct11,Expense area,0.8595795631408691,textual,True
27,25kjul12,Expense area,25koct10,Expense area,0.8591751456260681,textual,True
28,25kjul12,Department family,25kjun10,Dept,0.8543823957443237,textual,True
29,25kjul12,Supplier,25ksep10,unnamed4,0.8541803359985352,textual,True
30,25kjul12,Expense type,25kjun10,Summary,0.8539974689483643,textual,True
31,25kmar11,Vendor,25knov11,nan6,0.8536899089813232,textual,True
32,25kjul12,Entity,25kjun11,Entity,0.8529812097549438,textual,True
33,25koct10,Supplier,25ksep10,unnamed4,0.8518563508987427,textual,True
34,25kjul12,Department family,25koct10,Department family,0.8515374660491943,textual,True
35,25knov10,Expense area,25ksep11,Expense Category,0.8514789938926697,textual,True
36,25kjun11,Entity,25koct11,Entity,0.8513146042823792,textual,True
37,25kjun11,Entity,25kmay10,Entity,0.8507800698280334,textual,True
38,25koct11,Department family,25ksep10,unnamed0,0.8504665493965149,textual,True
39,25koct11,Entity,25ksep10,unnamed1,0.8486272096633911,textual,True
40,25kmay10,Expense area,25ksep10,unnamed3,0.848607063293457,textual,True
41,25kmar11,Primary Organization,25ksep11,Entity,0.84844970703125,textual,True
42,25knov11,nan2,25ksep11,Entity,0.8483022451400757,textual,True
43,25kmay10,Department family,25ksep10,unnamed0,0.8478847146034241,textual,True
44,25knov10,Expense area,25knov11,nan5,0.8478764891624451,textual,True
45,25kjun10,Description,25kmay10,Expense area,0.847528338432312,textual,True
46,25kmar11,Amount,25knov10,Amount,0.8468852639198303,numerical,True
47,25kjul12,Expense area,25kjun10,Description,0.8464229106903076,textual,True
