,table_a,column_a,table_b,column_b,similarity,correct
0,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.905475,True
1,500spend_may2016,Description,500spend_sep2015,Description,0.90378,True
2,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.8792981,True
3,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.876544,True
4,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.8710688,True
5,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.8483866,True
6,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.83229846,True
7,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.8225565,True
8,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.8136411,True
9,500spend_nov2015,Service,500spend_oct2015,Service Name,0.80441093,True
10,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.7818485,True
11,500spend_nov2015,Service,500spend_sep2015,Service Name,0.7813362,True
12,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.7810131,True
13,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.7786766,False
14,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.7718518,True
15,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.7496186,True
16,500spend_nov2015,Date,500spend_oct2015,Date,0.7375546,True
17,500spend_jul2016,Service Name,500spend_nov2015,Service,0.71974105,True
18,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.7184049,True
19,500spend_may2016,Amount,500spend_sep2015,Amount,0.7169286,True
20,500spend_nov2015,Date,500spend_sep2015,Date,0.71418166,True
21,500spend_may2016,Date,500spend_sep2015,Date,0.70674473,True
22,500spend_oct2015,Date,500spend_sep2015,Date,0.70458233,True
23,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.70239174,True
24,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.6954299,True
25,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.67084754,True
