,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.991823673248291,numerical,True
1,500spend_may2016,Amount,500spend_sep2015,Amount,0.9911693334579468,numerical,True
2,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9906892776489258,numerical,True
3,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9898595809936525,numerical,True
4,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9858788251876832,textual,True
5,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.985808253288269,numerical,True
6,500spend_may2016,Description,500spend_sep2015,Description,0.9833132028579712,textual,True
7,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.981315851211548,textual,True
8,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.967815637588501,textual,True
9,500spend_oct2015,Date,500spend_sep2015,Date,0.9672558307647704,mixed,True
10,500spend_nov2015,Date,500spend_oct2015,Date,0.966029405593872,mixed,True
11,500spend_nov2015,Date,500spend_sep2015,Date,0.9650148153305054,mixed,True
12,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.9584555625915528,textual,True
13,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9552733898162842,textual,True
14,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9536533355712892,textual,True
15,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9511786699295044,textual,True
16,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.945250391960144,textual,True
17,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.9414420127868652,textual,True
18,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.936651349067688,textual,True
19,500spend_may2016,Date,500spend_oct2015,Date,0.8587415814399719,mixed,True
20,500spend_may2016,Date,500spend_nov2015,Date,0.8572859764099121,mixed,True
21,500spend_may2016,Date,500spend_sep2015,Date,0.8572300672531128,mixed,True
22,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.8054990768432617,textual,True
23,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.7935993671417236,textual,True
24,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.7868186235427856,textual,True
25,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.7843382358551025,textual,True
26,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.7732081413269043,textual,True
27,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.7674939632415771,textual,True
28,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.764870822429657,textual,True
