,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9989128112792968,textual,True
1,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9919834733009338,numerical,True
2,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9908562302589417,numerical,True
3,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9895673990249634,numerical,True
4,500spend_oct2015,Date,500spend_sep2015,Date,0.9885427951812744,mixed,True
5,500spend_nov2015,Date,500spend_oct2015,Date,0.9882505536079408,mixed,True
6,500spend_nov2015,Date,500spend_sep2015,Date,0.9855029582977296,mixed,True
7,500spend_may2016,Date,500spend_sep2015,Date,0.9844636917114258,mixed,True
8,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9836369752883912,numerical,True
9,500spend_may2016,Date,500spend_nov2015,Date,0.982319712638855,mixed,True
10,500spend_may2016,Amount,500spend_sep2015,Amount,0.98110032081604,numerical,True
11,500spend_may2016,Date,500spend_oct2015,Date,0.9806534647941588,mixed,True
12,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.97719407081604,textual,True
13,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9660004377365112,textual,True
14,500spend_nov2015,Service,500spend_sep2015,Service Name,0.965071976184845,textual,True
15,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9642054438591005,textual,True
16,500spend_may2016,Description,500spend_sep2015,Description,0.9638395309448242,textual,True
17,500spend_jun2016,Details,500spend_sep2015,Description,0.9609205722808838,textual,True
18,500spend_jun2016,Details,500spend_may2016,Description,0.9594358205795288,textual,True
19,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.9586412906646729,textual,True
20,500spend_nov2015,Service,500spend_oct2015,Service Name,0.9577289819717408,textual,True
21,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9544680118560792,textual,True
22,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.9488581418991088,textual,True
23,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.942266583442688,textual,True
24,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.939173936843872,textual,True
25,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.937977969646454,textual,True
26,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.9343379139900208,textual,True
27,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.9250936508178712,numerical,True
28,500spend_may2016,Amount,500spend_sep2016,net_amount,0.9244955778121948,numerical,True
29,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.9241819977760316,numerical,True
30,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.919155478477478,numerical,True
31,500spend_may2016,Amount,500spend_oct2015,net_amount,0.914270043373108,numerical,True
32,500spend_may2016,Amount,500spend_nov2015,net_amount,0.9079123735427856,numerical,True
33,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8949278593063354,textual,True
34,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.8889116048812866,textual,True
35,500spend_jul2016,Service Name,500spend_nov2015,Service,0.8879518508911133,textual,True
36,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.880649209022522,textual,True
37,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.8765585422515869,textual,True
38,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.870437502861023,textual,True
39,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.8700557351112366,textual,True
40,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.867514967918396,textual,True
41,500spend_jul2016,Supplier,500spend_jun2016,Name,0.844014048576355,textual,True
42,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8408528566360474,textual,True
43,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.8394103050231934,textual,False
44,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.8380193710327148,textual,True
45,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.8337264060974121,textual,True
46,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.8260049819946289,textual,True
47,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8221002817153931,textual,True
48,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.82191401720047,textual,True
49,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8216738104820251,textual,True
50,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8208413124084473,textual,True
51,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.819291889667511,textual,True
52,500spend_jul2016,Service Name,500spend_jun2016,Primary Service,0.8145219683647156,textual,False
53,500spend_jul2016,Expense Category,500spend_may2016,Description,0.8114853501319885,textual,True
54,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.8108108043670654,textual,True
55,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.8095861673355103,textual,False
56,500spend_jul2016,Expense Category,500spend_nov2015,Service Category,0.8043879866600037,textual,False
57,500spend_jun2016,Name,500spend_may2016,Merchant,0.7989747524261475,textual,True
58,500spend_jun2016,Primary Service,500spend_oct2015,Service Name,0.7963881492614746,textual,False
59,500spend_jun2016,Primary Service,500spend_sep2015,Service Name,0.795125424861908,textual,False
60,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.789031445980072,textual,True
61,500spend_nov2015,Service Category,500spend_oct2015,Service Name,0.7817164659500122,textual,False
62,500spend_jul2016,Expense Category,500spend_nov2015,Merchant Category,0.7804796695709229,textual,False
63,500spend_jul2016,Category Name,500spend_nov2015,Service Category,0.7766343355178833,textual,False
64,500spend_oct2015,net_amount,500spend_sep2015,Transaction Number,0.7753762602806091,numerical,False
65,500spend_nov2015,net_amount,500spend_sep2015,Transaction Number,0.7710305452346802,numerical,False
66,500spend_nov2015,Service Category,500spend_sep2015,Service Name,0.7708549499511719,textual,False
67,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.7707988023757935,textual,True
68,500spend_sep2015,Transaction Number,500spend_sep2016,net_amount,0.7694517970085144,numerical,False
69,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.7691845893859863,textual,False
70,500spend_jun2016,Primary Service,500spend_nov2015,Service Category,0.7661965489387512,textual,False
71,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.7651066780090332,textual,True
72,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.7627449035644531,textual,True
73,500spend_may2016,Merchant,500spend_sep2015,Merchant Type,0.7573922872543335,textual,False
74,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.7570545673370361,textual,True
