,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9957668781280518,numerical,True
1,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.992685616016388,numerical,True
2,500spend_nov2015,Date,500spend_oct2015,Date,0.9924508333206176,mixed,True
3,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.990419864654541,numerical,True
4,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9891623854637146,numerical,True
5,500spend_oct2015,Date,500spend_sep2015,Date,0.9868841171264648,mixed,True
6,500spend_may2016,Amount,500spend_sep2015,Amount,0.9839443564414978,numerical,True
7,500spend_nov2015,Date,500spend_sep2015,Date,0.983641803264618,mixed,True
8,500spend_may2016,Date,500spend_sep2015,Date,0.9791336059570312,mixed,True
9,500spend_may2016,Date,500spend_oct2015,Date,0.9790536165237428,mixed,True
10,500spend_may2016,Date,500spend_nov2015,Date,0.9734950065612792,mixed,True
11,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.9656909704208374,textual,True
12,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.9637489318847656,textual,True
13,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9602451920509338,textual,True
14,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9530834555625916,textual,True
15,500spend_nov2015,Service,500spend_sep2015,Service Name,0.9510384798049928,textual,True
16,500spend_may2016,Description,500spend_sep2015,Description,0.9465165734291076,textual,True
17,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.9461921453475952,textual,True
18,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9417964816093444,textual,True
19,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.9366823434829712,textual,True
20,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.935981512069702,textual,True
21,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9350911378860474,textual,True
22,500spend_may2016,Amount,500spend_sep2016,net_amount,0.9289145469665528,numerical,True
23,500spend_may2016,Amount,500spend_nov2015,net_amount,0.9261879920959472,numerical,True
24,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9240471124649048,textual,True
25,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.9233360290527344,numerical,True
26,500spend_jul2016,Service Name,500spend_nov2015,Service,0.9211644530296326,textual,True
27,500spend_may2016,Amount,500spend_oct2015,net_amount,0.9209747314453124,numerical,True
28,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.9163069128990172,numerical,True
29,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.9151949286460876,numerical,True
30,500spend_jun2016,Details,500spend_may2016,Description,0.9065935015678406,textual,True
31,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.9041476845741272,textual,True
32,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9033620953559875,textual,True
33,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.8992551565170288,textual,True
34,500spend_jun2016,Details,500spend_sep2015,Description,0.8957462310791016,textual,True
35,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.8943495750427246,textual,True
36,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.8814811110496521,textual,True
37,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.8698028326034546,textual,True
38,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8678057789802551,textual,True
39,500spend_jun2016,Name,500spend_may2016,Merchant,0.8671815395355225,textual,True
40,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.8668485879898071,textual,True
41,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8625366687774658,textual,True
42,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.8622431755065918,textual,True
43,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.860499382019043,textual,True
44,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.859347939491272,textual,False
45,500spend_jul2016,Service Name,500spend_jun2016,Details,0.8589147925376892,textual,False
46,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.8583889603614807,textual,True
47,500spend_nov2015,Service,500spend_oct2015,Service Name,0.8544808030128479,textual,True
48,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.8528409600257874,textual,True
49,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.852819561958313,textual,True
50,500spend_nov2015,Service Category,500spend_oct2015,Service Name,0.8526848554611206,textual,False
51,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.8524763584136963,textual,True
52,500spend_jul2016,Service Name,500spend_sep2015,Description,0.8502442836761475,textual,False
53,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.8461155891418457,textual,True
54,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.8433845043182373,textual,True
55,500spend_jul2016,Service Name,500spend_may2016,Description,0.8415586948394775,textual,False
56,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.8389624357223511,textual,True
57,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.8361489772796631,textual,True
58,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.83378005027771,textual,True
59,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.8310614824295044,textual,True
60,500spend_jun2016,Primary Service,500spend_sep2015,Service Name,0.8302912712097168,textual,False
61,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.826464056968689,textual,True
62,500spend_jun2016,Details,500spend_nov2015,Service,0.8259608149528503,textual,False
63,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.820857048034668,textual,True
64,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8188390731811523,textual,True
65,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.8170500993728638,textual,True
66,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.8167439103126526,textual,True
67,500spend_oct2015,Service Name,500spend_sep2015,Description,0.8147734999656677,textual,False
68,500spend_may2016,Description,500spend_sep2015,Service Name,0.8139883279800415,textual,False
69,500spend_jun2016,Details,500spend_sep2015,Service Name,0.8072530627250671,textual,False
70,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.8030645847320557,textual,True
71,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.8009183406829834,textual,False
72,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.8008270263671875,textual,True
73,500spend_nov2015,Service,500spend_sep2015,Description,0.8001493215560913,textual,False
74,500spend_may2016,Description,500spend_nov2015,Service,0.7999738454818726,textual,False
75,500spend_jul2016,Supplier,500spend_jun2016,Name,0.7954418063163757,textual,True
76,500spend_nov2015,Transaction Number,500spend_oct2015,net_amount,0.7954152226448059,numerical,False
77,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.7949522733688354,textual,True
78,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.7931983470916748,textual,True
79,500spend_jul2016,Expense Category,500spend_may2016,Description,0.792969822883606,textual,True
80,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.790529191493988,textual,True
81,500spend_oct2015,net_amount,500spend_sep2015,Transaction Number,0.7905213832855225,numerical,False
82,500spend_jun2016,Details,500spend_oct2015,Service Name,0.7885348796844482,textual,False
83,500spend_nov2015,Service,500spend_oct2015,Service Category,0.7882952094078064,textual,False
84,500spend_nov2015,Service,500spend_oct2015,purpose of expenditure,0.7872755527496338,textual,False
85,500spend_nov2015,net_amount,500spend_sep2015,Transaction Number,0.7854693531990051,numerical,False
86,500spend_may2016,Description,500spend_oct2015,Service Name,0.7833570241928101,textual,False
87,500spend_nov2015,Service Category,500spend_sep2015,Service Name,0.7761996388435364,textual,False
88,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.7760862708091736,textual,True
89,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.7719550728797913,textual,True
90,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.7714398503303528,textual,True
91,500spend_nov2015,Transaction Number,500spend_sep2016,net_amount,0.7710413932800293,numerical,False
92,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.7704406976699829,textual,True
93,500spend_jun2016,Secondary Service,500spend_may2016,Description,0.7680366039276123,textual,False
94,500spend_may2016,Amount,500spend_nov2015,Transaction Number,0.7678961157798767,numerical,False
95,500spend_nov2015,Transaction Number,500spend_sep2015,Amount,0.7673667073249817,numerical,False
96,500spend_jun2016,Secondary Service,500spend_sep2015,Description,0.7638348340988159,textual,False
97,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.7638194561004639,textual,True
98,500spend_sep2015,Transaction Number,500spend_sep2016,net_amount,0.7634309530258179,numerical,False
99,500spend_may2016,Amount,500spend_sep2015,Transaction Number,0.7631664872169495,numerical,False
100,500spend_oct2015,Service Category,500spend_sep2015,Service Name,0.7610969543457031,textual,False
101,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.7578575611114502,textual,True
102,500spend_jul2016,Service Name,500spend_jun2016,Primary Service,0.7557024955749512,textual,False
103,500spend_jul2016,Expense Category,500spend_nov2015,Service,0.7549099922180176,textual,False
104,500spend_jun2016,Secondary Service,500spend_oct2015,purpose of expenditure,0.7547925710678101,textual,False
105,500spend_jul2016,Category Name,500spend_sep2015,Service Name,0.7520521879196167,textual,False
106,500spend_jul2016,Service Name,500spend_oct2015,purpose of expenditure,0.7507302165031433,textual,False
107,500spend_jul2016,Expense Category,500spend_sep2016,Merchant Category,0.7431390881538391,textual,False
108,500spend_oct2015,purpose of expenditure,500spend_sep2015,Service Name,0.7415315508842468,textual,False
109,500spend_jul2016,Category Name,500spend_nov2015,Service,0.7364891171455383,textual,False
110,500spend_nov2015,Organisation Name,500spend_oct2015,Service Name,0.7363768815994263,textual,False
111,500spend_jul2016,Service Name,500spend_nov2015,Summary of purpose of expenditure,0.7363535165786743,textual,False
112,500spend_jun2016,Secondary Service,500spend_nov2015,Summary of purpose of expenditure,0.736147940158844,textual,False
113,500spend_jul2016,Expense Category,500spend_nov2015,Merchant Category,0.7360419631004333,textual,False
114,500spend_jun2016,Secondary Service,500spend_oct2015,Service Category,0.7289977073669434,textual,False
115,500spend_jul2016,Expense Category,500spend_oct2015,Service Category,0.7204755544662476,textual,False
116,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.7191717624664307,textual,False
117,500spend_jul2016,Expense Category,500spend_sep2015,Service Name,0.7178515195846558,textual,False
118,500spend_nov2015,Service Category,500spend_sep2015,Description,0.7168095111846924,textual,False
119,500spend_jun2016,Primary Service,500spend_sep2015,Description,0.7131379842758179,textual,False
120,500spend_oct2015,net_amount,500spend_sep2015,Date,0.7117313146591187,textual,False
121,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Service Name,0.7101059556007385,textual,False
122,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.7094881534576416,textual,True
123,500spend_sep2015,Description,500spend_sep2016,Merchant Category,0.7083432674407959,textual,False
124,500spend_jul2016,Category Name,500spend_sep2015,Description,0.7066406607627869,textual,False
125,500spend_jul2016,Expense Category,500spend_jun2016,Secondary Service,0.7065521478652954,textual,False
126,500spend_may2016,Date,500spend_oct2015,net_amount,0.7062878012657166,textual,False
