,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.9037582874298096,textual,True
1,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8693885207176208,textual,True
2,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8639160990715027,textual,True
3,500spend_jul2016,Supplier,500spend_jun2016,Name,0.8500712513923645,textual,True
4,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.8461246490478516,textual,True
5,500spend_nov2015,Service,500spend_sep2015,Service Name,0.8313376307487488,textual,True
6,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.819226861000061,textual,True
7,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.818249523639679,numerical,True
8,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.8161401748657227,numerical,True
9,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.8161067366600037,textual,True
10,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.7972228527069092,textual,True
11,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.7876046299934387,textual,True
12,500spend_jul2016,Expense Category,500spend_oct2015,Service Category,0.7854959964752197,textual,False
13,500spend_nov2015,Service,500spend_oct2015,Service Name,0.7785066366195679,textual,True
14,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.7617948651313782,textual,True
15,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.7540915012359619,textual,True
16,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.7539460062980652,textual,True
17,500spend_jun2016,Details,500spend_oct2015,Service Category,0.7502039670944214,textual,False
18,500spend_nov2015,Date,500spend_oct2015,Date,0.7499232888221741,mixed,True
19,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.7417111992835999,numerical,True
20,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.7412490844726562,textual,True
21,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.7404477000236511,textual,True
22,500spend_oct2015,Date,500spend_sep2015,Date,0.7400676608085632,mixed,True
