,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9955137968063354,numerical,True
1,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.994935154914856,numerical,True
2,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.994494378566742,numerical,True
3,500spend_nov2015,Date,500spend_oct2015,Date,0.9914745092391968,mixed,True
4,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9908002614974976,numerical,True
5,500spend_oct2015,Date,500spend_sep2015,Date,0.9896396398544312,mixed,True
6,500spend_nov2015,Date,500spend_sep2015,Date,0.988240361213684,mixed,True
7,500spend_may2016,Amount,500spend_sep2015,Amount,0.9874492287635804,numerical,True
8,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9869511127471924,textual,True
9,500spend_may2016,Date,500spend_sep2015,Date,0.9808894991874696,mixed,True
10,500spend_may2016,Date,500spend_oct2015,Date,0.9801140427589417,mixed,True
11,500spend_may2016,Date,500spend_nov2015,Date,0.9795191884040833,mixed,True
12,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9778133630752563,textual,True
13,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.971583604812622,textual,True
14,500spend_may2016,Description,500spend_sep2015,Description,0.9692345261573792,textual,True
15,500spend_jun2016,Details,500spend_sep2015,Description,0.9685556888580322,textual,True
16,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.9602086544036864,textual,True
17,500spend_jun2016,Details,500spend_may2016,Description,0.9584596157073976,textual,True
18,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.9564756155014038,textual,True
19,500spend_nov2015,Service,500spend_oct2015,Service Name,0.9544353485107422,textual,True
20,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.9492782354354858,textual,True
21,500spend_nov2015,Service,500spend_sep2015,Service Name,0.9488046765327454,textual,True
22,500spend_may2016,Amount,500spend_sep2016,net_amount,0.9394654035568236,numerical,True
23,500spend_may2016,Amount,500spend_oct2015,net_amount,0.9385854601860046,numerical,True
24,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.9373300671577454,numerical,True
25,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.9333166480064392,textual,True
26,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.9318089485168456,numerical,True
27,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.9304080009460448,textual,True
28,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.9287200570106506,numerical,True
29,500spend_may2016,Amount,500spend_nov2015,net_amount,0.9278354644775392,numerical,True
30,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.9248278141021729,textual,True
31,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9201905727386476,textual,True
32,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.9180086851119996,textual,True
33,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9073127508163452,textual,True
34,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.9058749675750732,textual,True
35,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9047915935516356,textual,True
36,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.9028371572494508,textual,True
37,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.9010555744171144,textual,True
38,500spend_jul2016,Service Name,500spend_nov2015,Service,0.9008162021636964,textual,True
39,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.8879333734512329,textual,True
40,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.8834814429283142,textual,True
41,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.8799757957458496,textual,True
42,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.8781942129135132,textual,True
43,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8780149817466736,textual,True
44,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.8769997358322144,textual,False
45,500spend_jun2016,Name,500spend_may2016,Merchant,0.8734657168388367,textual,True
46,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.8576219081878662,textual,True
47,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.8576126098632812,textual,True
48,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.8479312658309937,textual,True
49,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.8416734933853149,textual,True
50,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8385391235351562,textual,True
51,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8384100198745728,textual,True
52,500spend_jul2016,Supplier,500spend_jun2016,Name,0.8358810544013977,textual,True
53,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.833751916885376,textual,True
54,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.8292147517204285,textual,True
55,500spend_nov2015,Service Category,500spend_oct2015,Service Name,0.8267994523048401,textual,False
56,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.8264707922935486,textual,False
57,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.825682520866394,textual,True
58,500spend_nov2015,Service Category,500spend_sep2015,Service Name,0.8256188631057739,textual,False
59,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.8239259719848633,textual,True
60,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.8224772810935974,textual,True
61,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8190122246742249,textual,True
62,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.814026951789856,textual,True
63,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.8132039904594421,textual,True
64,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.8123223185539246,textual,True
65,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.8100713491439819,textual,True
66,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.8065176010131836,textual,True
67,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.8059167265892029,textual,True
68,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8039183616638184,textual,True
69,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.8012369871139526,textual,False
70,500spend_jul2016,Expense Category,500spend_may2016,Description,0.8006404042243958,textual,True
71,500spend_jun2016,Details,500spend_oct2015,Service Name,0.799189567565918,textual,False
72,500spend_jul2016,Service Name,500spend_jun2016,Details,0.7971423864364624,textual,False
73,500spend_jun2016,Details,500spend_sep2015,Service Name,0.7968661785125732,textual,False
74,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.7902318239212036,textual,True
75,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.7851747870445251,textual,True
76,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.7850660085678101,textual,True
77,500spend_jun2016,Details,500spend_nov2015,Service,0.7846007347106934,textual,False
78,500spend_oct2015,Service Name,500spend_sep2015,Description,0.7788548469543457,textual,False
79,500spend_nov2015,net_amount,500spend_sep2015,Transaction Number,0.7770801782608032,numerical,False
80,500spend_may2016,Description,500spend_sep2015,Service Name,0.7731460332870483,textual,False
81,500spend_nov2015,Service,500spend_sep2015,Description,0.7718266248703003,textual,False
82,500spend_jun2016,Primary Service,500spend_sep2015,Service Name,0.7702851295471191,textual,False
83,500spend_oct2015,net_amount,500spend_sep2015,Transaction Number,0.7695646286010742,numerical,False
84,500spend_jul2016,Service Name,500spend_oct2015,Service Category,0.7692598104476929,textual,False
85,500spend_nov2015,Transaction Number,500spend_oct2015,net_amount,0.7686309814453125,numerical,False
86,500spend_jul2016,Service Name,500spend_sep2015,Description,0.7672848701477051,textual,False
87,500spend_jul2016,Category Name,500spend_nov2015,Service Category,0.7651321887969971,textual,False
88,500spend_may2016,Description,500spend_oct2015,Service Name,0.7637652158737183,textual,False
89,500spend_nov2015,Transaction Number,500spend_sep2015,Amount,0.762191653251648,numerical,False
90,500spend_may2016,Description,500spend_nov2015,Service,0.7620688080787659,textual,False
91,500spend_oct2015,Service Category,500spend_sep2015,Service Name,0.7588424682617188,textual,False
92,500spend_jul2016,Expense Category,500spend_sep2016,Merchant Category,0.754466712474823,textual,False
93,500spend_jul2016,Service Name,500spend_may2016,Description,0.7544665336608887,textual,False
94,500spend_sep2015,Transaction Number,500spend_sep2016,net_amount,0.7532188296318054,numerical,False
95,500spend_nov2015,Transaction Number,500spend_sep2016,net_amount,0.7525843381881714,numerical,False
96,500spend_jun2016,Primary Service,500spend_oct2015,Service Name,0.7458189725875854,textual,False
97,500spend_may2016,Amount,500spend_sep2015,Transaction Number,0.7451151609420776,numerical,False
98,500spend_may2016,Amount,500spend_nov2015,Transaction Number,0.7425085306167603,numerical,False
99,500spend_nov2015,Service,500spend_oct2015,purpose of expenditure,0.7416075468063354,textual,False
100,500spend_jul2016,Service Name,500spend_nov2015,Organisation Name,0.7387862205505371,textual,False
