,table_a,column_a,table_b,column_b,similarity,correct
0,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9065779,True
1,500spend_may2016,Description,500spend_sep2015,Description,0.9052452,True
2,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.8980627,True
3,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.88623345,True
4,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.8738886,True
5,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.84877014,True
6,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.83923495,True
7,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.83385295,True
8,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.8336235,True
9,500spend_nov2015,Service,500spend_oct2015,Service Name,0.8050848,True
10,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.8003103,True
11,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.79676235,True
12,500spend_nov2015,Service,500spend_sep2015,Service Name,0.781799,True
13,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.7813214,True
14,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.7803668,False
15,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.7588686,True
16,500spend_nov2015,Date,500spend_oct2015,Date,0.7375546,True
17,500spend_jul2016,Service Name,500spend_nov2015,Service,0.7205645,True
18,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.7184049,True
19,500spend_may2016,Amount,500spend_sep2015,Amount,0.7169286,True
20,500spend_nov2015,Date,500spend_sep2015,Date,0.71418166,True
21,500spend_may2016,Date,500spend_sep2015,Date,0.70674473,True
22,500spend_oct2015,Date,500spend_sep2015,Date,0.70458233,True
23,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.70164174,True
24,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.70142996,True
25,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.67151976,True
26,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.6530097,True
27,500spend_may2016,Date,500spend_nov2015,Date,0.6461328,True
28,500spend_may2016,Date,500spend_oct2015,Date,0.6452738,True
29,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.62343127,True
30,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.61866397,True
31,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.60488474,True
32,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.5971775,True
33,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.59375775,True
34,500spend_may2016,Merchant,500spend_sep2015,Merchant Type,0.5927003,False
35,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.5907917,True
36,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.5890284,True
37,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.5854453,True
38,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.57991564,True
39,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.57473916,True
40,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.574693,True
41,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.57232445,True
42,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.5668122,True
43,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.55421287,True
44,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.52448493,True
45,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.52391165,True
46,500spend_may2016,Merchant,500spend_sep2016,Merchant Category,0.5035305,False
47,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.4980856,True
48,500spend_may2016,Merchant,500spend_nov2015,Merchant Category,0.49149713,False
49,500spend_may2016,Amount,500spend_sep2016,net_amount,0.49081343,True
50,500spend_may2016,Amount,500spend_nov2015,net_amount,0.48775536,True
51,500spend_jul2016,Expense Category,500spend_nov2015,Service Category,0.48762426,False
52,500spend_may2016,Amount,500spend_oct2015,net_amount,0.48464638,True
53,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.46660718,True
54,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.4657495,True
55,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.46392155,True
56,500spend_jun2016,Details,500spend_sep2015,Description,0.45880222,True
57,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.45106983,True
58,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.4499895,True
59,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.4482359,True
60,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.44629312,True
61,500spend_jun2016,Details,500spend_may2016,Description,0.4440063,True
62,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.40307814,True
63,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.39782888,True
64,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.3948402,True
65,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.38908398,True
66,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.38618463,True
67,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.3807424,True
68,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.35323673,True
69,500spend_jul2016,Expense Category,500spend_may2016,Description,0.34830818,True
70,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.34745485,True
71,500spend_jun2016,Name,500spend_may2016,Merchant,0.3435859,True
72,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.27229378,True
73,500spend_jul2016,Category Name,500spend_may2016,Date,0.24581563,False
