,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8615378737449646,textual,True
1,500spend_jul2016,Supplier,500spend_jun2016,Name,0.857219398021698,textual,True
2,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8539109230041504,textual,True
3,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.8451303839683533,textual,True
4,500spend_nov2015,Service,500spend_oct2015,Service Name,0.8205236196517944,textual,True
5,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.8190094232559204,textual,True
6,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8070666790008545,textual,True
7,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.7781645655632019,textual,True
8,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.7585698366165161,textual,True
9,500spend_jul2016,Expense Category,500spend_oct2015,Service Category,0.7529571056365967,textual,False
10,500spend_nov2015,Service,500spend_sep2015,Service Name,0.7507526874542236,textual,True
11,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.7474228143692017,numerical,True
12,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.7442034482955933,textual,True
13,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.7348904013633728,textual,True
14,500spend_jun2016,Details,500spend_oct2015,Service Category,0.7334064841270447,textual,False
15,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.7230677604675293,textual,True
16,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.72126704454422,textual,True
17,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.7212513089179993,textual,True
18,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.7192459106445312,textual,True
19,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.7190900444984436,textual,True
20,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.7119686603546143,textual,True
21,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.7111612558364868,textual,True
22,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.7102031707763672,textual,True
23,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.7061033248901367,numerical,True
24,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.6994467973709106,textual,True
25,500spend_jul2016,Expense Category,500spend_sep2015,Merchant Type,0.6965895891189575,textual,False
26,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.6906752586364746,textual,True
27,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.689651370048523,textual,True
28,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.6872665882110596,numerical,True
29,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.6808916330337524,textual,True
30,500spend_jul2016,Expense Category,500spend_nov2015,Merchant Category,0.6807754039764404,textual,False
31,500spend_nov2015,Date,500spend_oct2015,Date,0.6805788278579712,mixed,True
32,500spend_oct2015,Date,500spend_sep2015,Date,0.6798113584518433,mixed,True
33,500spend_jun2016,Secondary Service,500spend_nov2015,Merchant Category,0.6791761517524719,textual,False
34,500spend_jul2016,Service Name,500spend_nov2015,Merchant Category,0.6762775778770447,textual,False
35,500spend_oct2015,Service Name,500spend_sep2016,Merchant Category,0.6731487512588501,textual,False
36,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.6610908508300781,textual,True
37,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.6584569811820984,textual,True
38,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.6551688313484192,numerical,True
39,500spend_may2016,Merchant,500spend_sep2016,Merchant Category,0.6550726890563965,textual,False
40,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.6469709277153015,textual,True
41,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.6462874412536621,textual,False
42,500spend_jul2016,Expense Category,500spend_jun2016,Secondary Service,0.644135594367981,textual,False
43,500spend_jul2016,Category Name,500spend_oct2015,Service Name,0.6392815709114075,textual,False
44,500spend_sep2015,Service Name,500spend_sep2016,Merchant Category,0.636620283126831,textual,False
45,500spend_jun2016,Details,500spend_sep2015,Merchant Type,0.6322054266929626,textual,False
46,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.6297445297241211,textual,True
47,500spend_may2016,Merchant,500spend_oct2015,Service Name,0.6288254261016846,textual,False
48,500spend_nov2015,Service,500spend_sep2016,Merchant Category,0.6214393973350525,textual,False
49,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.6209601759910583,textual,True
50,500spend_jun2016,Details,500spend_nov2015,Merchant Category,0.603939414024353,textual,False
51,500spend_jul2016,Category Name,500spend_nov2015,Service,0.5990508198738098,textual,False
52,500spend_nov2015,Date,500spend_sep2015,Date,0.5971813201904297,mixed,True
53,500spend_jul2016,Supplier,500spend_jun2016,Secondary Service,0.58992600440979,textual,False
54,500spend_jun2016,Primary Service,500spend_oct2015,Service Name,0.5899150967597961,textual,False
55,500spend_jul2016,Supplier,500spend_jun2016,Primary Service,0.5805002450942993,textual,False
56,500spend_jul2016,Category Name,500spend_sep2015,Service Name,0.580126941204071,textual,False
57,500spend_jul2016,Expense Category,500spend_nov2015,Service Category,0.5700575709342957,textual,False
58,500spend_jul2016,Service Name,500spend_jun2016,Details,0.5621964931488037,textual,False
59,500spend_jul2016,Category Name,500spend_jun2016,Name,0.5549014210700989,textual,False
60,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.548291802406311,textual,False
