,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_2,Authors,thecvf_1,Authors,0.8339850902557373,textual,True
1,arxiv_1,Title,neurips_1,Title,0.8337662220001221,textual,True
2,arxiv_2,Authors,neurips_1,Authors,0.8204129934310913,textual,True
3,arxiv_1,Authors,neurips_1,Authors,0.8107678294181824,textual,True
4,arxiv_2,Title,thecvf_1,Title,0.7960096001625061,textual,True
5,dblp_1,ID,google_scholar_1,ID,0.7923708558082581,numerical,True
6,neurips_1,Authors,thecvf_1,Authors,0.7871688008308411,textual,True
7,arxiv_1,Authors,thecvf_1,Authors,0.7847868204116821,textual,True
8,arxiv_2,Year,thecvf_1,Year,0.783071756362915,numerical,True
9,citeseer_1,title,dblp_3,title,0.7743566632270813,textual,True
10,dblp_2,authors,google_scholar_2,authors,0.771599292755127,textual,True
11,arxiv_2,Month,thecvf_1,Month,0.7689481377601624,textual,True
12,citeseer_1,title,google_scholar_1,title,0.7637724876403809,textual,True
13,arxiv_2,Month,neurips_1,Date,0.7605630159378052,textual,False
14,arxiv_1,Title,dblp_3,title,0.751218855381012,textual,True
15,arxiv_2,_id,thecvf_1,_id,0.7509126663208008,numerical,True
16,arxiv_2,JournalRef,thecvf_1,JournalRef,0.7472703456878662,textual,True
17,citeseer_1,authors,google_scholar_2,authors,0.7450454235076904,textual,True
18,dblp_3,title,neurips_1,Title,0.7444703578948975,textual,True
19,arxiv_1,Title,google_scholar_1,title,0.7396388053894043,textual,True
20,arxiv_1,_id,neurips_1,_id,0.7326446175575256,numerical,True
21,citeseer_1,journal,dblp_3,journal,0.7289370894432068,textual,True
22,dblp_3,title,google_scholar_1,title,0.7285528779029846,textual,True
23,dblp_2,venue,google_scholar_2,venue,0.7263763546943665,textual,True
24,arxiv_1,Date,thecvf_1,Month,0.7239499092102051,textual,False
25,google_scholar_1,title,neurips_1,Title,0.716178834438324,textual,True
26,arxiv_2,_id,neurips_1,_id,0.7089836597442627,numerical,True
27,arxiv_1,Authors,arxiv_2,Authors,0.7045044898986816,textual,True
28,arxiv_1,Title,citeseer_1,title,0.6991644501686096,textual,True
29,dblp_2,title,google_scholar_2,title,0.6921646595001221,textual,True
30,arxiv_1,Abstract,neurips_1,Abstract,0.6890414953231812,textual,True
31,arxiv_1,Authors,google_scholar_1,author,0.6880044341087341,textual,True
32,dblp_1,series,google_scholar_1,booktitle,0.6876481175422668,textual,False
33,dblp_1,author,google_scholar_1,author,0.6822894215583801,textual,True
34,citeseer_1,journal,google_scholar_2,venue,0.6817237138748169,textual,True
35,neurips_1,Date,thecvf_1,Month,0.6785275936126709,textual,False
36,arxiv_1,Date,neurips_1,Date,0.6772415637969971,textual,True
37,dblp_1,ID,dblp_3,id,0.6743872165679932,numerical,True
38,dblp_3,id,google_scholar_1,ID,0.6726309061050415,numerical,True
39,dblp_2,year,dblp_3,year,0.6693466305732727,numerical,True
40,arxiv_1,Date,arxiv_2,Month,0.6648265719413757,textual,False
41,arxiv_2,_id,google_scholar_1,ID,0.6609194278717041,numerical,True
42,citeseer_1,authors,dblp_3,authors,0.6592957377433777,textual,True
43,google_scholar_1,ID,thecvf_1,_id,0.6571119427680969,numerical,True
44,arxiv_2,Tag,thecvf_1,Tag,0.6549558639526367,textual,True
45,citeseer_1,title,neurips_1,Title,0.6526577472686768,textual,True
46,citeseer_1,authors,dblp_2,authors,0.6486545205116272,textual,True
47,arxiv_1,Authors,dblp_1,author,0.644371747970581,textual,True
48,arxiv_1,_id,google_scholar_1,ID,0.6440696120262146,numerical,True
49,arxiv_1,_id,arxiv_2,_id,0.641103208065033,numerical,True
50,dblp_1,number,google_scholar_1,number,0.6372248530387878,mixed,True
51,dblp_1,year,neurips_1,Date,0.6362226605415344,textual,False
52,arxiv_1,_id,thecvf_1,_id,0.6356539726257324,numerical,True
53,dblp_1,author,neurips_1,Authors,0.6341855525970459,textual,True
54,google_scholar_1,ID,neurips_1,_id,0.6338993906974792,numerical,True
55,arxiv_2,Authors,google_scholar_2,authors,0.6288318037986755,textual,True
56,dblp_2,authors,dblp_3,authors,0.6285579204559326,textual,True
57,dblp_2,id,google_scholar_2,id,0.6276021003723145,textual,True
58,dblp_3,authors,google_scholar_2,authors,0.6227142810821533,textual,True
59,google_scholar_2,authors,thecvf_1,Authors,0.6224943399429321,textual,True
60,arxiv_2,Title,google_scholar_2,title,0.6224230527877808,textual,True
61,google_scholar_1,author,neurips_1,Authors,0.6223548054695129,textual,True
62,dblp_3,authors,neurips_1,Authors,0.620903730392456,textual,True
63,dblp_1,title,dblp_2,title,0.6182419657707214,textual,True
64,citeseer_1,id,google_scholar_1,ID,0.6163390874862671,numerical,True
65,google_scholar_2,authors,neurips_1,Authors,0.6156115531921387,textual,True
66,dblp_3,journal,google_scholar_2,venue,0.6145013570785522,textual,True
67,neurips_1,_id,thecvf_1,_id,0.6141040921211243,numerical,True
68,arxiv_1,Authors,dblp_3,authors,0.6097106337547302,textual,True
69,google_scholar_2,title,thecvf_1,Title,0.6080081462860107,textual,True
70,citeseer_1,id,google_scholar_2,id,0.5963484048843384,textual,True
71,citeseer_1,id,dblp_1,ID,0.5962504744529724,numerical,True
72,dblp_3,id,thecvf_1,_id,0.5881332159042358,numerical,True
73,arxiv_2,_id,dblp_3,id,0.587745189666748,numerical,True
74,arxiv_1,Authors,citeseer_1,authors,0.5830513834953308,textual,True
75,arxiv_1,Authors,google_scholar_2,authors,0.5824463367462158,textual,True
76,arxiv_2,_id,dblp_1,ID,0.5805177688598633,numerical,True
77,citeseer_1,authors,neurips_1,Authors,0.5802932977676392,textual,True
78,citeseer_1,authors,thecvf_1,Authors,0.5790459513664246,textual,True
79,dblp_1,author,google_scholar_2,authors,0.5754953622817993,textual,True
80,arxiv_1,Title,thecvf_1,Title,0.5747818946838379,textual,True
81,arxiv_2,Authors,dblp_3,authors,0.572812020778656,textual,True
82,dblp_1,title,google_scholar_2,title,0.5722989439964294,textual,True
83,arxiv_2,Title,dblp_2,title,0.5698402523994446,textual,True
84,dblp_1,ID,thecvf_1,_id,0.5688692927360535,numerical,True
85,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.5683528780937195,textual,True
86,dblp_1,author,dblp_2,authors,0.5672400593757629,textual,True
87,dblp_1,number,dblp_3,month,0.5667282938957214,textual,False
88,arxiv_1,Authors,dblp_2,authors,0.5651156306266785,textual,True
89,dblp_2,venue,dblp_3,journal,0.5622493028640747,textual,True
90,citeseer_1,id,dblp_3,id,0.5620542168617249,numerical,True
91,citeseer_1,year,dblp_1,number,0.5609360933303833,textual,False
92,dblp_3,authors,google_scholar_1,author,0.560047447681427,textual,True
93,dblp_3,year,thecvf_1,Year,0.5597432255744934,numerical,True
94,dblp_1,title,dblp_3,title,0.5587489604949951,textual,True
95,dblp_2,title,thecvf_1,Title,0.5565162301063538,textual,True
96,arxiv_1,Title,dblp_1,publisher,0.5553148984909058,textual,False
97,arxiv_1,Date,google_scholar_1,pages,0.554351270198822,textual,False
98,arxiv_2,Year,dblp_3,year,0.5532410144805908,numerical,True
99,arxiv_2,Authors,citeseer_1,authors,0.5497206449508667,textual,True
100,arxiv_1,_id,dblp_1,ID,0.5477500557899475,numerical,True
101,dblp_3,id,neurips_1,_id,0.5468686819076538,numerical,True
102,neurips_1,Title,thecvf_1,Title,0.5466775894165039,textual,True
103,dblp_1,publisher,google_scholar_1,title,0.5459141135215759,textual,False
104,dblp_1,ID,dblp_2,id,0.5454418063163757,textual,True
105,dblp_2,id,dblp_3,id,0.5440517067909241,textual,True
106,dblp_3,authors,thecvf_1,Authors,0.5419771671295166,textual,True
107,citeseer_1,authors,dblp_1,author,0.540341317653656,textual,True
108,arxiv_2,Tag,neurips_1,Title,0.5385900735855103,textual,False
109,arxiv_2,Year,neurips_1,Date,0.5358392000198364,textual,False
110,dblp_1,ENTRYTYPE,neurips_1,Abstract,0.5334092974662781,textual,False
111,citeseer_1,id,thecvf_1,_id,0.5316018462181091,numerical,True
112,arxiv_1,Title,dblp_1,title,0.5315483808517456,textual,True
113,dblp_1,author,thecvf_1,Authors,0.5313387513160706,textual,True
114,google_scholar_1,pages,neurips_1,Date,0.5301425457000732,textual,False
115,dblp_2,title,dblp_3,title,0.5291931629180908,textual,True
116,dblp_1,title,google_scholar_1,booktitle,0.5283090472221375,textual,False
117,arxiv_1,_id,citeseer_1,id,0.5279149413108826,numerical,True
118,arxiv_2,Authors,dblp_1,author,0.5276345014572144,textual,True
119,arxiv_2,Title,dblp_1,title,0.527417004108429,textual,True
120,dblp_1,year,dblp_3,year,0.5273736119270325,numerical,True
121,dblp_1,ID,neurips_1,_id,0.5259776711463928,numerical,True
122,arxiv_1,_id,dblp_3,id,0.5257570147514343,numerical,True
123,dblp_2,authors,thecvf_1,Authors,0.5233252048492432,textual,True
124,dblp_1,author,dblp_3,authors,0.5231899619102478,textual,True
125,citeseer_1,journal,dblp_2,venue,0.522814929485321,textual,True
126,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.5218240022659302,textual,True
127,dblp_1,title,google_scholar_1,title,0.5204620361328125,textual,True
128,arxiv_2,Title,neurips_1,Title,0.5189770460128784,textual,True
129,arxiv_1,Title,arxiv_2,Tag,0.5189155340194702,textual,False
130,dblp_2,id,google_scholar_1,ID,0.514566957950592,textual,True
131,citeseer_1,id,dblp_2,id,0.5139427185058594,textual,True
132,google_scholar_1,author,google_scholar_2,authors,0.5128312110900879,textual,True
