,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Abstract,neurips_1,Abstract,0.9911441802978516,textual,True
1,arxiv_1,Authors,neurips_1,Authors,0.9900577068328856,textual,True
2,arxiv_1,_id,neurips_1,_id,0.9894660711288452,numerical,True
3,arxiv_1,Title,neurips_1,Title,0.9878236055374146,textual,True
4,citeseer_1,id,dblp_3,id,0.9853910207748412,numerical,True
5,arxiv_2,_id,neurips_1,_id,0.983856201171875,numerical,True
6,arxiv_1,_id,arxiv_2,_id,0.9834158420562744,numerical,True
7,dblp_1,number,google_scholar_1,number,0.9827826023101808,mixed,True
8,arxiv_1,Title,thecvf_1,Title,0.9823668003082277,textual,True
9,arxiv_2,Title,thecvf_1,Title,0.9819996356964112,textual,True
10,dblp_1,year,dblp_3,year,0.98036789894104,numerical,True
11,dblp_1,ID,google_scholar_1,ID,0.9775795936584472,numerical,True
12,neurips_1,Title,thecvf_1,Title,0.976121425628662,textual,True
13,arxiv_1,Title,arxiv_2,Title,0.9753952026367188,textual,True
14,arxiv_2,Title,neurips_1,Title,0.9749470949172974,textual,True
15,citeseer_1,year,google_scholar_1,year,0.973591446876526,numerical,True
16,arxiv_1,Authors,thecvf_1,Authors,0.9735444784164428,textual,True
17,neurips_1,Authors,thecvf_1,Authors,0.9720430374145508,textual,True
18,google_scholar_1,year,google_scholar_2,year,0.9678019285202026,numerical,True
19,citeseer_1,year,google_scholar_2,year,0.967782735824585,numerical,True
20,dblp_1,title,google_scholar_2,title,0.9646817445755004,textual,True
21,citeseer_1,authors,dblp_3,authors,0.9630168676376344,textual,True
22,neurips_1,_id,thecvf_1,_id,0.9628967046737672,numerical,True
23,arxiv_2,_id,thecvf_1,_id,0.9604493379592896,numerical,True
24,arxiv_1,_id,thecvf_1,_id,0.9598678350448608,numerical,True
25,dblp_3,title,google_scholar_1,title,0.958316206932068,textual,True
26,dblp_1,title,dblp_2,title,0.957849144935608,textual,True
27,dblp_2,year,dblp_3,year,0.9565229415893556,numerical,True
28,dblp_1,pages,google_scholar_1,pages,0.953231930732727,mixed,True
29,citeseer_1,title,dblp_2,title,0.9523488283157348,textual,True
30,arxiv_2,Year,thecvf_1,Year,0.951897382736206,numerical,True
31,dblp_2,authors,dblp_3,authors,0.9507131576538086,textual,True
32,citeseer_1,authors,dblp_2,authors,0.9478644132614136,textual,True
33,dblp_1,title,dblp_3,title,0.9464242458343506,textual,True
34,citeseer_1,title,google_scholar_2,title,0.9456589221954346,textual,True
35,dblp_2,authors,google_scholar_2,authors,0.9444736242294312,textual,True
36,dblp_1,year,dblp_2,year,0.943639874458313,numerical,True
37,citeseer_1,title,dblp_1,title,0.9428304433822632,textual,True
38,dblp_3,title,google_scholar_2,title,0.942057967185974,textual,True
39,dblp_2,title,google_scholar_2,title,0.9416064023971558,textual,True
40,citeseer_1,authors,google_scholar_2,authors,0.9406707286834716,textual,True
41,google_scholar_1,title,google_scholar_2,title,0.9374165534973145,textual,True
42,dblp_1,title,google_scholar_1,title,0.9359053373336792,textual,True
43,dblp_3,journal,google_scholar_1,journal,0.9339172840118408,textual,True
44,dblp_3,authors,google_scholar_2,authors,0.9333585500717164,textual,True
45,dblp_1,journal,dblp_3,journal,0.9309568405151368,textual,True
46,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.928964138031006,textual,True
47,dblp_2,title,dblp_3,title,0.924912691116333,textual,True
48,dblp_1,journal,google_scholar_1,journal,0.9132703542709352,textual,True
49,dblp_2,title,google_scholar_1,title,0.9051504135131836,textual,True
50,citeseer_1,title,dblp_3,title,0.9044063091278076,textual,True
51,citeseer_1,title,google_scholar_1,title,0.8908629417419434,textual,True
52,dblp_1,booktitle,google_scholar_1,booktitle,0.876502275466919,textual,True
53,citeseer_1,journal,google_scholar_1,journal,0.8702143430709839,textual,True
54,arxiv_2,Month,thecvf_1,Month,0.860389232635498,textual,True
55,dblp_1,publisher,google_scholar_1,publisher,0.8573529124259949,textual,True
56,citeseer_1,journal,dblp_3,journal,0.8500018119812012,textual,True
57,dblp_2,title,neurips_1,Title,0.8384426832199097,textual,True
58,arxiv_1,Title,dblp_1,title,0.8362723588943481,textual,True
59,arxiv_1,Title,dblp_2,title,0.836128830909729,textual,True
60,dblp_1,title,neurips_1,Title,0.835213303565979,textual,True
61,arxiv_2,Title,dblp_2,title,0.8349450826644897,textual,True
62,dblp_1,title,thecvf_1,Title,0.8348733186721802,textual,True
63,dblp_2,title,thecvf_1,Title,0.8346015214920044,textual,True
64,arxiv_2,Authors,thecvf_1,Authors,0.8327087163925171,textual,True
65,arxiv_1,Title,dblp_3,title,0.8324153423309326,textual,True
66,dblp_3,title,thecvf_1,Title,0.8294086456298828,textual,True
67,dblp_3,title,neurips_1,Title,0.8267045021057129,textual,True
68,arxiv_2,Title,dblp_1,title,0.8266443014144897,textual,True
69,arxiv_2,Authors,google_scholar_1,author,0.8250343799591064,textual,True
70,arxiv_2,Title,dblp_3,title,0.8184990882873535,textual,True
71,arxiv_2,JournalRef,thecvf_1,JournalRef,0.8182467222213745,textual,True
72,arxiv_1,Authors,arxiv_2,Authors,0.8174586296081543,textual,True
73,dblp_3,month,thecvf_1,Month,0.816847562789917,textual,True
74,arxiv_1,Title,google_scholar_2,title,0.8158160448074341,textual,True
75,citeseer_1,journal,dblp_1,journal,0.8156911134719849,textual,True
76,google_scholar_2,title,neurips_1,Title,0.8154382705688477,textual,True
77,arxiv_2,Authors,neurips_1,Authors,0.8153318762779236,textual,True
78,google_scholar_2,title,thecvf_1,Title,0.812640905380249,textual,True
79,citeseer_1,title,neurips_1,Title,0.8111450672149658,textual,True
80,arxiv_1,Title,google_scholar_1,title,0.8084852695465088,textual,True
81,arxiv_1,Title,citeseer_1,title,0.8065352439880371,textual,True
82,arxiv_2,Year,dblp_1,year,0.8064489364624023,numerical,True
83,google_scholar_1,title,thecvf_1,Title,0.8063884973526001,textual,True
84,arxiv_2,Title,google_scholar_2,title,0.8049677610397339,textual,True
85,arxiv_2,Year,dblp_3,year,0.8045592308044434,numerical,True
86,citeseer_1,title,thecvf_1,Title,0.8041305541992188,textual,True
87,google_scholar_1,title,neurips_1,Title,0.8040179014205933,textual,True
88,arxiv_2,Title,citeseer_1,title,0.8036284446716309,textual,True
89,dblp_2,id,google_scholar_2,id,0.8012572526931763,textual,True
90,arxiv_2,Title,google_scholar_1,title,0.794858455657959,textual,True
91,arxiv_1,Date,neurips_1,Date,0.7894622683525085,textual,True
92,dblp_1,author,google_scholar_1,author,0.7835111618041992,textual,True
93,arxiv_2,Year,dblp_2,year,0.7832425832748413,numerical,True
94,arxiv_1,Authors,dblp_3,authors,0.7824734449386597,textual,True
95,dblp_1,year,thecvf_1,Year,0.7799948453903198,numerical,True
96,dblp_3,authors,neurips_1,Authors,0.7795075178146362,textual,True
97,dblp_2,venue,google_scholar_2,venue,0.7780846357345581,textual,True
98,dblp_3,year,thecvf_1,Year,0.7774512767791748,numerical,True
99,citeseer_1,id,thecvf_1,_id,0.7668430805206299,numerical,True
100,arxiv_1,Authors,dblp_2,authors,0.765763521194458,textual,True
101,dblp_2,authors,neurips_1,Authors,0.7638033628463745,textual,True
102,arxiv_1,Authors,dblp_1,author,0.762696385383606,textual,True
103,arxiv_1,Authors,citeseer_1,authors,0.761481761932373,textual,True
104,dblp_1,author,neurips_1,Authors,0.7613985538482666,textual,True
105,dblp_2,year,thecvf_1,Year,0.7609851360321045,numerical,True
106,dblp_3,id,thecvf_1,_id,0.7598507404327393,numerical,True
107,citeseer_1,authors,neurips_1,Authors,0.7577085494995117,textual,True
108,dblp_3,authors,thecvf_1,Authors,0.7575510740280151,textual,True
109,dblp_2,authors,thecvf_1,Authors,0.7564008235931396,textual,True
110,dblp_1,author,dblp_3,authors,0.7524057030677795,textual,True
111,citeseer_1,authors,dblp_1,author,0.7469445466995239,textual,True
112,citeseer_1,id,neurips_1,_id,0.743476390838623,numerical,True
113,citeseer_1,authors,thecvf_1,Authors,0.7426223754882812,textual,True
114,dblp_1,author,thecvf_1,Authors,0.7410818338394165,textual,True
115,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.7407907247543335,textual,True
116,arxiv_2,_id,citeseer_1,id,0.7404788732528687,numerical,True
117,arxiv_1,_id,citeseer_1,id,0.7386713027954102,numerical,True
118,dblp_3,id,neurips_1,_id,0.7382849454879761,numerical,True
