,table_a,column_a,table_b,column_b,similarity,correct
0,arxiv_2,Year,thecvf_1,Year,0.9082941,True
1,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9043166,True
2,dblp_1,number,google_scholar_1,number,0.8913437,True
3,arxiv_2,Month,thecvf_1,Month,0.8763218,True
4,dblp_1,year,dblp_3,year,0.87390816,True
5,dblp_2,venue,google_scholar_2,venue,0.8667799,True
6,dblp_2,year,dblp_3,year,0.8449135,True
7,citeseer_1,year,google_scholar_1,year,0.8277265,True
8,arxiv_1,Date,neurips_1,Date,0.8217341,True
9,google_scholar_1,year,google_scholar_2,year,0.8137353,True
10,arxiv_1,Title,neurips_1,Title,0.8072828,True
11,arxiv_2,Title,thecvf_1,Title,0.8054245,True
12,dblp_1,year,dblp_2,year,0.8010707,True
13,arxiv_1,Authors,neurips_1,Authors,0.80101854,True
14,dblp_2,authors,google_scholar_2,authors,0.8006404,True
15,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.79939085,True
16,citeseer_1,year,google_scholar_2,year,0.79678094,True
17,arxiv_1,Abstract,neurips_1,Abstract,0.79551995,True
18,arxiv_2,JournalRef,thecvf_1,JournalRef,0.7933601,True
19,arxiv_2,Authors,thecvf_1,Authors,0.79335314,True
20,dblp_1,journal,google_scholar_1,journal,0.7920064,True
21,dblp_1,publisher,google_scholar_1,publisher,0.78999174,True
22,dblp_1,journal,dblp_3,journal,0.7880406,True
23,dblp_1,booktitle,google_scholar_1,booktitle,0.78800297,True
24,dblp_2,title,google_scholar_2,title,0.7871782,True
25,arxiv_1,_id,neurips_1,_id,0.7759048,True
26,citeseer_1,title,dblp_3,title,0.7717726,True
27,citeseer_1,authors,dblp_3,authors,0.7679209,True
28,dblp_1,pages,google_scholar_1,pages,0.7664924,True
29,dblp_1,author,google_scholar_1,author,0.76397955,True
30,dblp_1,title,google_scholar_1,title,0.76343477,True
31,arxiv_2,_id,thecvf_1,_id,0.7612168,True
32,dblp_2,title,dblp_3,title,0.75558364,True
33,arxiv_2,Tag,thecvf_1,Tag,0.75421685,True
34,dblp_2,year,google_scholar_2,year,0.7521739,True
35,dblp_2,authors,dblp_3,authors,0.7511769,True
36,dblp_2,id,google_scholar_2,id,0.75,True
37,arxiv_1,Title,arxiv_2,Title,0.7494977,True
38,citeseer_1,publication_type,dblp_3,publication_type,0.74825174,True
39,citeseer_1,journal,dblp_3,journal,0.7460797,True
40,arxiv_1,Authors,arxiv_2,Authors,0.742387,True
41,dblp_3,month,thecvf_1,Month,0.74195564,True
42,arxiv_2,Title,dblp_3,title,0.74102277,True
43,arxiv_2,Authors,dblp_3,authors,0.74064267,True
44,dblp_3,authors,thecvf_1,Authors,0.73902863,True
45,dblp_3,title,thecvf_1,Title,0.73833025,True
46,citeseer_1,year,dblp_3,year,0.73810375,True
47,citeseer_1,id,dblp_3,id,0.7358349,True
48,citeseer_1,authors,dblp_2,authors,0.734933,True
49,citeseer_1,title,dblp_2,title,0.73424166,True
50,dblp_1,ID,google_scholar_1,ID,0.72990966,True
51,arxiv_1,Title,thecvf_1,Title,0.72815263,True
52,dblp_1,title,dblp_3,title,0.7269298,True
53,arxiv_1,_id,arxiv_2,_id,0.72670156,True
54,dblp_1,volume,google_scholar_1,volume,0.72507447,True
55,google_scholar_1,title,google_scholar_2,title,0.72481,True
56,neurips_1,Title,thecvf_1,Title,0.72333384,True
57,dblp_2,id,dblp_3,id,0.721663,True
58,dblp_1,year,google_scholar_1,year,0.7206277,True
59,arxiv_1,Authors,thecvf_1,Authors,0.7206207,True
60,citeseer_1,title,thecvf_1,Title,0.72045815,True
61,arxiv_2,Title,dblp_2,title,0.7186273,True
62,citeseer_1,authors,google_scholar_2,authors,0.718571,True
63,dblp_3,journal,google_scholar_1,journal,0.7185242,True
64,dblp_1,title,dblp_2,title,0.71844673,True
65,citeseer_1,title,google_scholar_2,title,0.7182199,True
66,citeseer_1,authors,thecvf_1,Authors,0.71796894,True
67,neurips_1,Authors,thecvf_1,Authors,0.71747553,True
68,arxiv_2,Title,neurips_1,Title,0.71696794,True
69,arxiv_2,Authors,dblp_2,authors,0.7148588,True
70,arxiv_2,Authors,citeseer_1,authors,0.7120137,True
71,arxiv_2,Title,citeseer_1,title,0.71199715,True
72,citeseer_1,title,google_scholar_1,title,0.7115407,True
73,arxiv_2,Month,dblp_3,month,0.71114284,True
74,citeseer_1,title,dblp_1,title,0.7104605,True
75,arxiv_2,Authors,neurips_1,Authors,0.71042955,True
76,arxiv_2,Year,dblp_3,year,0.71017903,True
77,dblp_3,title,google_scholar_2,title,0.709818,True
78,dblp_3,year,thecvf_1,Year,0.7082857,True
79,dblp_3,authors,google_scholar_2,authors,0.7080403,True
80,dblp_2,title,thecvf_1,Title,0.70662415,True
81,dblp_2,authors,thecvf_1,Authors,0.70493203,True
82,citeseer_1,year,dblp_2,year,0.7029948,True
83,arxiv_1,Title,citeseer_1,title,0.70185935,True
84,citeseer_1,id,dblp_2,id,0.700726,True
85,arxiv_1,Authors,citeseer_1,authors,0.6998496,True
86,citeseer_1,title,neurips_1,Title,0.6984565,True
87,dblp_3,title,google_scholar_1,title,0.6983429,True
88,citeseer_1,authors,neurips_1,Authors,0.69735473,True
89,arxiv_2,Title,google_scholar_2,title,0.6970691,True
90,arxiv_2,Authors,google_scholar_2,authors,0.6967269,True
91,google_scholar_1,ID,google_scholar_2,id,0.69368225,True
92,arxiv_1,_id,thecvf_1,_id,0.69319105,True
93,arxiv_1,Authors,dblp_3,authors,0.6922183,True
94,dblp_1,ID,dblp_3,id,0.69211024,True
95,arxiv_1,Title,dblp_3,title,0.69188136,True
96,citeseer_1,year,thecvf_1,Year,0.6910909,True
