,table_a,column_a,table_b,column_b,similarity,type,correct
0,citeseer_1,id,dblp_3,id,0.9911078214645386,numerical,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9907283782958984,textual,True
2,arxiv_1,Authors,neurips_1,Authors,0.989083766937256,textual,True
3,arxiv_1,_id,arxiv_2,_id,0.988288164138794,numerical,True
4,neurips_1,Authors,thecvf_1,Authors,0.987196683883667,textual,True
5,arxiv_1,Title,neurips_1,Title,0.9871820211410522,textual,True
6,arxiv_1,_id,neurips_1,_id,0.987096667289734,numerical,True
7,arxiv_2,_id,neurips_1,_id,0.9865275621414183,numerical,True
8,arxiv_1,Authors,thecvf_1,Authors,0.9840478897094728,textual,True
9,dblp_1,ID,google_scholar_1,ID,0.983834147453308,numerical,True
10,arxiv_1,Title,thecvf_1,Title,0.9837478399276732,textual,True
11,arxiv_2,Title,thecvf_1,Title,0.9831030368804932,textual,True
12,neurips_1,Title,thecvf_1,Title,0.9813733100891112,textual,True
13,citeseer_1,year,google_scholar_1,year,0.981208562850952,numerical,True
14,arxiv_2,Title,neurips_1,Title,0.9771664142608644,textual,True
15,arxiv_1,_id,thecvf_1,_id,0.9764317274093628,numerical,True
16,arxiv_1,Title,arxiv_2,Title,0.974175214767456,textual,True
17,citeseer_1,year,google_scholar_2,year,0.9736037254333496,numerical,True
18,google_scholar_1,year,google_scholar_2,year,0.9735389947891236,numerical,True
19,dblp_2,authors,dblp_3,authors,0.9734992980957032,textual,True
20,neurips_1,_id,thecvf_1,_id,0.9726400375366212,numerical,True
21,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9724459648132324,textual,True
22,citeseer_1,authors,dblp_3,authors,0.9717358350753784,textual,True
23,dblp_1,title,dblp_2,title,0.9714545011520386,textual,True
24,arxiv_2,_id,thecvf_1,_id,0.9710255861282348,numerical,True
25,citeseer_1,authors,dblp_2,authors,0.965843915939331,textual,True
26,dblp_3,title,google_scholar_1,title,0.9640737771987916,textual,True
27,dblp_1,title,google_scholar_2,title,0.963893175125122,textual,True
28,dblp_1,number,google_scholar_1,number,0.9615695476531982,mixed,True
29,citeseer_1,title,google_scholar_2,title,0.960128903388977,textual,True
30,dblp_2,title,google_scholar_2,title,0.958510398864746,textual,True
31,dblp_1,journal,dblp_3,journal,0.9579012393951416,textual,True
32,citeseer_1,title,dblp_1,title,0.9559807777404784,textual,True
33,citeseer_1,title,dblp_2,title,0.9558426141738892,textual,True
34,dblp_1,year,dblp_3,year,0.953432321548462,numerical,True
35,dblp_2,authors,google_scholar_2,authors,0.949855089187622,textual,True
36,arxiv_2,Authors,thecvf_1,Authors,0.9496990442276,textual,True
37,arxiv_2,Authors,neurips_1,Authors,0.947178840637207,textual,True
38,citeseer_1,authors,google_scholar_2,authors,0.944028615951538,textual,True
39,arxiv_1,Authors,arxiv_2,Authors,0.9436503648757936,textual,True
40,arxiv_2,Year,thecvf_1,Year,0.94297993183136,numerical,True
41,dblp_2,year,dblp_3,year,0.940666675567627,numerical,True
42,dblp_3,authors,google_scholar_2,authors,0.9401819705963136,textual,True
43,dblp_1,pages,google_scholar_1,pages,0.9362558126449584,mixed,True
44,dblp_1,title,dblp_3,title,0.9359183311462402,textual,True
45,dblp_1,title,google_scholar_1,title,0.935447096824646,textual,True
46,dblp_1,author,google_scholar_1,author,0.9313664436340332,textual,True
47,google_scholar_1,title,google_scholar_2,title,0.930971622467041,textual,True
48,dblp_3,title,google_scholar_2,title,0.9291565418243408,textual,True
49,dblp_2,title,dblp_3,title,0.9244322776794434,textual,True
50,dblp_2,title,google_scholar_1,title,0.9240171909332277,textual,True
51,dblp_1,year,dblp_2,year,0.916491150856018,numerical,True
52,dblp_3,journal,google_scholar_1,journal,0.9126652479171752,textual,True
53,dblp_1,journal,google_scholar_1,journal,0.912204384803772,textual,True
54,citeseer_1,title,google_scholar_1,title,0.9048916101455688,textual,True
55,citeseer_1,title,dblp_3,title,0.9030654430389404,textual,True
56,arxiv_2,Month,thecvf_1,Month,0.8844257593154907,textual,True
57,dblp_1,booktitle,google_scholar_1,booktitle,0.8771991729736328,textual,True
58,arxiv_2,JournalRef,thecvf_1,JournalRef,0.8681315779685974,textual,True
59,arxiv_1,Title,google_scholar_1,title,0.8590120673179626,textual,True
60,google_scholar_1,title,neurips_1,Title,0.8527790904045105,textual,True
61,google_scholar_1,title,thecvf_1,Title,0.8512541055679321,textual,True
62,arxiv_1,Title,dblp_3,title,0.846187174320221,textual,True
63,dblp_2,title,neurips_1,Title,0.8442315459251404,textual,True
64,arxiv_1,Title,dblp_1,title,0.8439158201217651,textual,True
65,dblp_1,title,neurips_1,Title,0.8437080383300781,textual,True
66,arxiv_1,Title,dblp_2,title,0.8414725065231323,textual,True
