,table_a,column_a,table_b,column_b,similarity,correct
0,arxiv_2,Year,thecvf_1,Year,0.91529405,True
1,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.90823114,True
2,dblp_1,number,google_scholar_1,number,0.8927698,True
3,arxiv_2,Month,thecvf_1,Month,0.8743218,True
4,dblp_1,year,dblp_3,year,0.86586076,True
5,dblp_2,venue,google_scholar_2,venue,0.8409208,True
6,dblp_2,year,dblp_3,year,0.8364135,True
7,arxiv_1,Date,neurips_1,Date,0.82209224,True
8,citeseer_1,year,google_scholar_1,year,0.8125264,True
9,arxiv_2,Title,thecvf_1,Title,0.8011637,True
10,arxiv_1,Title,neurips_1,Title,0.80084914,True
11,google_scholar_1,year,google_scholar_2,year,0.80082905,True
12,dblp_2,authors,google_scholar_2,authors,0.7975727,True
13,arxiv_1,Authors,neurips_1,Authors,0.7947169,True
14,arxiv_1,Abstract,neurips_1,Abstract,0.7936463,True
15,arxiv_2,JournalRef,thecvf_1,JournalRef,0.789927,True
16,arxiv_2,Authors,thecvf_1,Authors,0.7890437,True
17,dblp_1,journal,google_scholar_1,journal,0.7852595,True
18,dblp_2,title,google_scholar_2,title,0.7835659,True
19,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.7820349,True
20,dblp_1,booktitle,google_scholar_1,booktitle,0.7802527,True
21,dblp_1,year,dblp_2,year,0.7778761,True
22,citeseer_1,year,google_scholar_2,year,0.7773291,True
23,dblp_1,journal,dblp_3,journal,0.7715236,True
24,citeseer_1,title,dblp_3,title,0.7687358,True
25,dblp_1,publisher,google_scholar_1,publisher,0.7668946,True
26,citeseer_1,authors,dblp_3,authors,0.7644335,True
27,arxiv_1,_id,neurips_1,_id,0.76390475,True
28,arxiv_2,_id,thecvf_1,_id,0.76021683,True
29,dblp_1,author,google_scholar_1,author,0.75706893,True
30,dblp_1,title,google_scholar_1,title,0.7565524,True
31,arxiv_2,Tag,thecvf_1,Tag,0.75421685,True
32,dblp_2,year,google_scholar_2,year,0.7521739,True
33,dblp_2,title,dblp_3,title,0.751179,True
34,dblp_2,authors,dblp_3,authors,0.750884,True
35,dblp_2,id,google_scholar_2,id,0.75,True
36,citeseer_1,publication_type,dblp_3,publication_type,0.74825174,True
37,citeseer_1,journal,dblp_3,journal,0.74643934,True
38,arxiv_1,Title,arxiv_2,Title,0.74604815,True
39,dblp_1,pages,google_scholar_1,pages,0.74497163,True
40,citeseer_1,year,dblp_3,year,0.73810375,True
41,arxiv_1,Authors,arxiv_2,Authors,0.7373773,True
42,arxiv_2,Authors,dblp_3,authors,0.73662853,True
43,arxiv_2,Title,dblp_3,title,0.7364768,True
44,citeseer_1,id,dblp_3,id,0.7358349,True
45,dblp_3,authors,thecvf_1,Authors,0.7349116,True
46,citeseer_1,authors,dblp_2,authors,0.73455846,True
47,dblp_3,title,thecvf_1,Title,0.73368245,True
48,citeseer_1,title,dblp_2,title,0.7302419,True
49,dblp_1,ID,google_scholar_1,ID,0.7243362,True
50,arxiv_1,Title,thecvf_1,Title,0.7229478,True
51,dblp_1,title,dblp_3,title,0.72276086,True
52,dblp_1,volume,google_scholar_1,volume,0.7226205,True
53,dblp_2,id,dblp_3,id,0.721663,True
54,dblp_1,year,google_scholar_1,year,0.7206277,True
55,google_scholar_1,title,google_scholar_2,title,0.7201885,True
56,neurips_1,Title,thecvf_1,Title,0.71771026,True
57,citeseer_1,authors,google_scholar_2,authors,0.7170556,True
58,arxiv_1,Authors,thecvf_1,Authors,0.71622723,True
59,dblp_3,journal,google_scholar_1,journal,0.7159699,True
60,arxiv_2,Authors,dblp_2,authors,0.7159519,True
61,dblp_3,month,thecvf_1,Month,0.715223,True
62,citeseer_1,title,thecvf_1,Title,0.71487397,True
63,citeseer_1,authors,thecvf_1,Authors,0.7148448,True
64,arxiv_2,Title,dblp_2,title,0.7134465,True
65,neurips_1,Authors,thecvf_1,Authors,0.71255744,True
66,arxiv_1,_id,arxiv_2,_id,0.7117015,True
67,citeseer_1,title,google_scholar_2,title,0.7116496,True
68,arxiv_2,Month,dblp_3,month,0.71114284,True
69,dblp_1,title,dblp_2,title,0.71098644,True
70,arxiv_2,Title,neurips_1,Title,0.71091664,True
71,arxiv_2,Year,dblp_3,year,0.71017903,True
72,dblp_3,year,thecvf_1,Year,0.7082857,True
73,arxiv_2,Authors,citeseer_1,authors,0.70655584,True
74,dblp_3,title,google_scholar_2,title,0.70621896,True
75,arxiv_2,Title,citeseer_1,title,0.7062022,True
76,dblp_3,authors,google_scholar_2,authors,0.70618564,True
77,citeseer_1,title,google_scholar_1,title,0.70501673,True
78,arxiv_2,Authors,neurips_1,Authors,0.7040839,True
79,dblp_2,authors,thecvf_1,Authors,0.7038523,True
80,citeseer_1,year,dblp_2,year,0.7029948,True
81,citeseer_1,title,dblp_1,title,0.70245457,True
82,dblp_2,title,thecvf_1,Title,0.70215595,True
83,citeseer_1,id,dblp_2,id,0.700726,True
84,arxiv_1,Authors,citeseer_1,authors,0.69732565,True
85,arxiv_1,Title,citeseer_1,title,0.69622,True
86,dblp_3,title,google_scholar_1,title,0.69606954,True
87,arxiv_2,Authors,google_scholar_2,authors,0.69595003,True
88,citeseer_1,authors,neurips_1,Authors,0.6944261,True
89,google_scholar_1,ID,google_scholar_2,id,0.69368225,True
90,arxiv_2,Title,google_scholar_2,title,0.6921716,True
91,dblp_1,ID,dblp_3,id,0.69211024,True
92,citeseer_1,title,neurips_1,Title,0.6911984,True
93,citeseer_1,year,thecvf_1,Year,0.6910909,True
94,arxiv_2,Year,dblp_2,year,0.69050014,True
95,arxiv_1,_id,thecvf_1,_id,0.6901911,True
96,neurips_1,_id,thecvf_1,_id,0.68833566,True
97,arxiv_1,Title,dblp_3,title,0.6876324,True
98,citeseer_1,journal,google_scholar_1,journal,0.68743277,True
99,arxiv_2,_id,neurips_1,_id,0.6867166,True
100,arxiv_1,Authors,dblp_3,authors,0.6863581,True
101,dblp_3,title,neurips_1,Title,0.68592465,True
102,citeseer_1,id,google_scholar_2,id,0.6842891,True
103,dblp_3,authors,neurips_1,Authors,0.68406934,True
104,dblp_1,title,thecvf_1,Title,0.6840198,True
105,arxiv_2,Year,citeseer_1,year,0.6837241,True
106,dblp_2,title,google_scholar_1,title,0.68362993,True
107,google_scholar_2,authors,thecvf_1,Authors,0.68216425,True
108,citeseer_1,journal,dblp_1,journal,0.6817083,True
109,arxiv_1,Authors,dblp_2,authors,0.6816214,True
110,arxiv_1,Title,dblp_2,title,0.6815629,True
111,dblp_2,authors,neurips_1,Authors,0.68131936,True
112,dblp_3,year,google_scholar_2,year,0.6805259,True
113,google_scholar_2,title,thecvf_1,Title,0.6803921,True
114,dblp_2,title,neurips_1,Title,0.6794607,True
115,dblp_2,year,thecvf_1,Year,0.67896825,True
116,dblp_1,ID,dblp_2,id,0.6781256,True
117,dblp_3,id,google_scholar_2,id,0.6779567,True
118,citeseer_1,id,google_scholar_1,ID,0.67595255,True
119,citeseer_1,year,dblp_1,year,0.67540437,True
120,arxiv_2,Title,dblp_1,title,0.67383516,True
121,citeseer_1,id,dblp_1,ID,0.6735893,True
122,arxiv_2,Year,google_scholar_2,year,0.67236304,True
123,google_scholar_1,title,thecvf_1,Title,0.6720986,True
124,arxiv_2,Title,google_scholar_1,title,0.6674891,True
125,arxiv_1,Title,dblp_1,title,0.6667724,True
126,dblp_1,title,neurips_1,Title,0.6660049,True
127,dblp_3,year,google_scholar_1,year,0.6648612,True
128,dblp_1,title,google_scholar_2,title,0.6638378,True
129,arxiv_1,Authors,google_scholar_2,authors,0.6631402,True
130,dblp_3,id,google_scholar_1,ID,0.66229206,True
131,google_scholar_2,year,thecvf_1,Year,0.66225094,True
132,google_scholar_2,authors,neurips_1,Authors,0.6614338,True
133,arxiv_1,Title,google_scholar_2,title,0.6612657,True
134,google_scholar_2,title,neurips_1,Title,0.6582461,True
135,arxiv_2,Year,dblp_1,year,0.6574137,True
136,google_scholar_1,title,neurips_1,Title,0.65717995,True
137,arxiv_1,Title,google_scholar_1,title,0.6571687,True
138,dblp_1,year,thecvf_1,Year,0.6530442,True
139,dblp_2,year,google_scholar_1,year,0.64940536,True
140,dblp_2,id,google_scholar_1,ID,0.6468362,True
141,google_scholar_1,year,thecvf_1,Year,0.64476573,True
142,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.6398579,True
143,arxiv_2,Year,google_scholar_1,year,0.63776505,True
144,dblp_1,year,google_scholar_2,year,0.6369885,True
145,dblp_1,ID,google_scholar_2,id,0.6344193,True
146,arxiv_2,JournalRef,neurips_1,Journal-ref,0.63351625,True
147,neurips_1,Journal-ref,thecvf_1,JournalRef,0.62414634,True
148,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.61559165,True
149,google_scholar_1,author,google_scholar_2,authors,0.59509915,True
150,arxiv_2,JournalRef,citeseer_1,journal,0.59098816,True
151,dblp_1,author,dblp_3,authors,0.5904855,True
152,arxiv_2,JournalRef,dblp_3,journal,0.5831868,True
153,citeseer_1,authors,google_scholar_1,author,0.5803149,True
154,dblp_1,author,dblp_2,authors,0.5776362,True
155,dblp_3,journal,thecvf_1,JournalRef,0.57283103,True
156,citeseer_1,authors,dblp_1,author,0.572025,True
157,dblp_3,authors,google_scholar_1,author,0.5687114,True
158,dblp_2,authors,google_scholar_1,author,0.5556047,True
159,citeseer_1,journal,thecvf_1,JournalRef,0.55394906,True
160,dblp_1,author,thecvf_1,Authors,0.549611,True
161,google_scholar_1,author,thecvf_1,Authors,0.5446123,True
162,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.54327554,True
163,arxiv_2,Authors,google_scholar_1,author,0.5412389,True
164,arxiv_2,Authors,dblp_1,author,0.5408853,True
165,dblp_1,author,google_scholar_2,authors,0.53730845,True
166,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.53500944,True
167,arxiv_1,Authors,dblp_1,author,0.5347167,True
168,arxiv_2,JournalRef,google_scholar_1,journal,0.5338777,True
169,dblp_1,author,neurips_1,Authors,0.5320435,True
170,arxiv_1,Authors,google_scholar_1,author,0.52857,True
171,google_scholar_1,author,neurips_1,Authors,0.52386117,True
172,dblp_1,journal,thecvf_1,JournalRef,0.5189568,True
173,google_scholar_1,journal,thecvf_1,JournalRef,0.5150037,True
174,arxiv_1,Journal-ref,citeseer_1,journal,0.51459783,True
175,arxiv_1,Journal-ref,dblp_3,journal,0.51337135,True
176,arxiv_2,JournalRef,dblp_1,journal,0.51240516,True
177,citeseer_1,journal,neurips_1,Journal-ref,0.5115988,True
178,arxiv_2,_id,dblp_3,id,0.50114286,True
179,dblp_3,journal,neurips_1,Journal-ref,0.5008711,True
180,dblp_3,id,thecvf_1,_id,0.49929103,True
181,arxiv_1,Journal-ref,dblp_1,journal,0.49342424,True
182,arxiv_1,Journal-ref,google_scholar_1,journal,0.48753127,True
183,citeseer_1,id,thecvf_1,_id,0.4778824,True
184,arxiv_2,_id,dblp_2,id,0.4768254,True
185,dblp_1,journal,neurips_1,Journal-ref,0.47663313,True
186,arxiv_2,_id,citeseer_1,id,0.47485715,True
187,google_scholar_1,journal,neurips_1,Journal-ref,0.4728636,True
188,dblp_2,id,thecvf_1,_id,0.46997356,True
189,arxiv_2,_id,google_scholar_2,id,0.45960316,True
190,arxiv_1,_id,citeseer_1,id,0.45921788,True
191,citeseer_1,id,neurips_1,_id,0.4557849,True
192,google_scholar_2,id,thecvf_1,_id,0.45369354,True
193,arxiv_1,_id,dblp_3,id,0.45301428,True
194,arxiv_1,_id,dblp_2,id,0.44988576,True
195,dblp_3,id,neurips_1,_id,0.44935578,True
196,dblp_2,id,neurips_1,_id,0.44622722,True
197,arxiv_2,_id,dblp_1,ID,0.44029912,True
198,dblp_1,ID,thecvf_1,_id,0.439464,True
199,arxiv_2,_id,google_scholar_1,ID,0.43916288,True
200,google_scholar_1,ID,thecvf_1,_id,0.43609327,True
201,arxiv_1,_id,google_scholar_2,id,0.4332191,True
202,google_scholar_2,id,neurips_1,_id,0.43032056,True
203,arxiv_1,_id,dblp_1,ID,0.4250823,True
204,dblp_1,ID,neurips_1,_id,0.4232626,True
205,google_scholar_1,ID,neurips_1,_id,0.42225784,True
206,arxiv_1,_id,google_scholar_1,ID,0.41725308,True
207,citeseer_1,publication_type,google_scholar_1,publisher,0.3899513,False
208,citeseer_1,publication_type,dblp_1,publisher,0.38258356,False
209,google_scholar_1,volume,google_scholar_2,venue,0.38021284,False
210,arxiv_2,Year,neurips_1,Date,0.365229,False
211,neurips_1,Date,thecvf_1,Year,0.36133438,False
212,dblp_1,volume,dblp_2,venue,0.36017695,False
213,citeseer_1,publication_type,dblp_2,venue,0.34824857,False
214,dblp_2,venue,google_scholar_1,volume,0.33469906,False
215,arxiv_1,Date,thecvf_1,Year,0.33459294,False
216,arxiv_1,Date,dblp_1,volume,0.33244208,False
217,dblp_1,volume,google_scholar_2,venue,0.32376915,False
