,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_2,Authors,thecvf_1,Authors,0.8339999914169312,textual,True
1,arxiv_1,Authors,neurips_1,Authors,0.8095811009407043,textual,True
2,arxiv_2,Month,thecvf_1,Month,0.8053084015846252,textual,True
3,arxiv_1,Title,neurips_1,Title,0.797632098197937,textual,True
4,dblp_1,ID,google_scholar_1,ID,0.796442985534668,numerical,True
5,citeseer_1,title,dblp_3,title,0.7902507185935974,textual,True
6,arxiv_2,Title,thecvf_1,Title,0.7867861390113831,textual,True
7,arxiv_2,Year,thecvf_1,Year,0.7833990454673767,numerical,True
8,neurips_1,Authors,thecvf_1,Authors,0.775975227355957,textual,True
9,arxiv_1,Authors,thecvf_1,Authors,0.7716386318206787,textual,True
10,arxiv_1,_id,neurips_1,_id,0.7695829272270203,numerical,True
11,arxiv_2,Authors,neurips_1,Authors,0.7611240148544312,textual,True
12,arxiv_2,JournalRef,thecvf_1,JournalRef,0.7591184377670288,textual,True
13,arxiv_1,Date,thecvf_1,Month,0.7506665587425232,textual,False
14,arxiv_2,_id,thecvf_1,_id,0.7418703436851501,numerical,True
15,arxiv_2,_id,neurips_1,_id,0.7374842166900635,numerical,True
16,dblp_2,authors,google_scholar_2,authors,0.7335736751556396,textual,True
17,arxiv_2,Month,neurips_1,Date,0.7319573163986206,textual,False
18,arxiv_1,Title,google_scholar_1,title,0.7231254577636719,textual,True
19,citeseer_1,authors,google_scholar_2,authors,0.7224640846252441,textual,True
20,arxiv_1,_id,google_scholar_1,ID,0.7204569578170776,numerical,True
21,arxiv_2,Tag,thecvf_1,Tag,0.7160490155220032,textual,True
22,arxiv_1,Title,citeseer_1,title,0.7147496342658997,textual,True
23,google_scholar_1,ID,thecvf_1,_id,0.7131497859954834,numerical,True
24,arxiv_1,_id,thecvf_1,_id,0.7118755578994751,numerical,True
25,citeseer_1,title,google_scholar_1,title,0.710715651512146,textual,True
26,dblp_3,title,neurips_1,Title,0.7103187441825867,textual,True
27,arxiv_1,Date,neurips_1,Date,0.7051435708999634,textual,True
28,citeseer_1,id,dblp_1,ID,0.7041609287261963,numerical,True
29,neurips_1,Date,thecvf_1,Month,0.7002354860305786,textual,False
30,dblp_1,author,google_scholar_1,author,0.6972280740737915,textual,True
31,dblp_2,venue,google_scholar_2,venue,0.6947192549705505,textual,True
32,arxiv_1,Date,arxiv_2,Month,0.6928087472915649,textual,False
33,arxiv_1,Authors,arxiv_2,Authors,0.6922770142555237,textual,True
34,dblp_1,ID,dblp_3,id,0.6882908940315247,numerical,True
35,citeseer_1,title,neurips_1,Title,0.6797162294387817,textual,True
36,arxiv_1,Title,dblp_3,title,0.6785563230514526,textual,True
37,citeseer_1,journal,google_scholar_2,venue,0.67449551820755,textual,True
38,citeseer_1,journal,dblp_3,journal,0.667094886302948,textual,True
39,dblp_1,number,google_scholar_1,number,0.6649143099784851,mixed,True
40,dblp_1,series,google_scholar_1,booktitle,0.6642786264419556,textual,False
41,arxiv_1,Abstract,neurips_1,Abstract,0.6640844345092773,textual,True
42,citeseer_1,authors,dblp_3,authors,0.6598778963088989,textual,True
43,arxiv_1,_id,arxiv_2,_id,0.6591892838478088,numerical,True
44,arxiv_1,Authors,google_scholar_1,author,0.6565330028533936,textual,True
45,citeseer_1,id,google_scholar_1,ID,0.6498165130615234,numerical,True
46,dblp_3,title,google_scholar_1,title,0.6476680636405945,textual,True
47,arxiv_2,_id,google_scholar_1,ID,0.6471068263053894,numerical,True
48,dblp_2,year,dblp_3,year,0.6468212008476257,numerical,True
49,neurips_1,_id,thecvf_1,_id,0.6430339217185974,numerical,True
