,table_a,column_a,table_b,column_b,similarity,type,correct
0,citeseer_1,id,dblp_3,id,0.99775230884552,numerical,True
1,dblp_1,ID,google_scholar_1,ID,0.995725393295288,numerical,True
2,dblp_1,year,dblp_3,year,0.994644284248352,numerical,True
3,arxiv_2,_id,neurips_1,_id,0.993678331375122,numerical,True
4,arxiv_2,Year,thecvf_1,Year,0.9936667680740356,numerical,True
5,neurips_1,_id,thecvf_1,_id,0.9929027557373048,numerical,True
6,arxiv_1,_id,thecvf_1,_id,0.992816150188446,numerical,True
7,arxiv_1,_id,neurips_1,_id,0.9924511313438416,numerical,True
8,arxiv_1,_id,arxiv_2,_id,0.9891186356544496,numerical,True
9,google_scholar_1,year,google_scholar_2,year,0.9889357686042786,numerical,True
10,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.987826406955719,textual,True
11,arxiv_2,_id,thecvf_1,_id,0.9878259897232056,numerical,True
12,dblp_1,pages,google_scholar_1,pages,0.9815233945846558,mixed,True
13,google_scholar_1,ID,neurips_1,_id,0.9781724214553832,numerical,True
14,dblp_2,year,dblp_3,year,0.976937472820282,numerical,True
15,dblp_1,ID,neurips_1,_id,0.9759482741355896,numerical,True
16,dblp_1,year,dblp_2,year,0.9757038354873656,numerical,True
17,arxiv_2,_id,dblp_1,ID,0.9754534959793092,numerical,True
18,google_scholar_1,ID,thecvf_1,_id,0.9752687215805054,numerical,True
19,dblp_1,ID,thecvf_1,_id,0.9748337268829346,numerical,True
20,arxiv_2,_id,google_scholar_1,ID,0.9739123582839966,numerical,True
21,arxiv_1,_id,dblp_1,ID,0.9725815057754515,numerical,True
22,citeseer_1,year,google_scholar_1,year,0.9720050692558287,numerical,True
23,arxiv_1,_id,google_scholar_1,ID,0.9718311429023744,numerical,True
24,arxiv_1,Authors,neurips_1,Authors,0.9697535634040833,textual,True
25,arxiv_2,Month,thecvf_1,Month,0.9642467498779296,textual,True
26,arxiv_1,Authors,thecvf_1,Authors,0.9608359932899476,textual,True
27,citeseer_1,authors,neurips_1,Authors,0.9571622610092164,textual,True
28,arxiv_1,Authors,citeseer_1,authors,0.9568923115730286,textual,True
29,dblp_2,year,thecvf_1,Year,0.9552438259124756,numerical,True
30,arxiv_2,Year,dblp_2,year,0.955202043056488,numerical,True
31,citeseer_1,year,google_scholar_2,year,0.9539770483970642,numerical,True
32,citeseer_1,id,google_scholar_1,ID,0.9529855251312256,numerical,True
33,neurips_1,Authors,thecvf_1,Authors,0.952418565750122,textual,True
34,dblp_1,number,google_scholar_1,number,0.9520998001098632,mixed,True
35,dblp_3,id,google_scholar_1,ID,0.949279487133026,numerical,True
36,citeseer_1,id,dblp_1,ID,0.9489142894744872,numerical,True
37,citeseer_1,id,thecvf_1,_id,0.94722181558609,numerical,True
38,arxiv_2,Year,dblp_1,year,0.9464330673217772,numerical,True
39,dblp_1,ID,dblp_3,id,0.946009874343872,numerical,True
40,arxiv_1,_id,citeseer_1,id,0.9453592896461488,numerical,True
41,dblp_3,id,thecvf_1,_id,0.9439032673835754,numerical,True
42,arxiv_1,_id,dblp_3,id,0.9429010152816772,numerical,True
43,arxiv_1,Authors,dblp_3,authors,0.9427341222763062,textual,True
44,dblp_1,year,thecvf_1,Year,0.9418489336967468,numerical,True
