,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_2,Year,thecvf_1,Year,0.9957178831100464,numerical,True
1,arxiv_1,_id,neurips_1,_id,0.9952712059020996,numerical,True
2,arxiv_1,_id,arxiv_2,_id,0.9929274320602416,numerical,True
3,arxiv_2,_id,neurips_1,_id,0.992805540561676,numerical,True
4,dblp_1,year,dblp_3,year,0.9917023181915284,numerical,True
5,citeseer_1,id,dblp_3,id,0.9911876320838928,numerical,True
6,neurips_1,_id,thecvf_1,_id,0.990492820739746,numerical,True
7,arxiv_1,_id,thecvf_1,_id,0.9886819124221802,numerical,True
8,dblp_1,pages,google_scholar_1,pages,0.9879254102706908,mixed,True
9,arxiv_2,_id,thecvf_1,_id,0.9854618310928344,numerical,True
10,dblp_1,ID,google_scholar_1,ID,0.985383927822113,numerical,True
11,citeseer_1,year,google_scholar_2,year,0.9837873578071594,numerical,True
12,dblp_1,year,dblp_2,year,0.983365535736084,numerical,True
13,dblp_2,year,dblp_3,year,0.9802724719047546,numerical,True
14,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9774892926216124,textual,True
15,google_scholar_1,ID,neurips_1,_id,0.9724464416503906,numerical,True
16,arxiv_2,_id,google_scholar_1,ID,0.9713068008422852,numerical,True
17,arxiv_2,Year,dblp_1,year,0.9702277183532716,numerical,True
18,neurips_1,Authors,thecvf_1,Authors,0.9697241187095642,textual,True
19,arxiv_1,_id,dblp_1,ID,0.969654619693756,numerical,True
20,arxiv_1,_id,google_scholar_1,ID,0.9687216877937316,numerical,True
21,dblp_1,ID,neurips_1,_id,0.9685340523719788,numerical,True
22,arxiv_2,_id,dblp_1,ID,0.9683841466903688,numerical,True
23,google_scholar_1,ID,thecvf_1,_id,0.9670379161834716,numerical,True
24,citeseer_1,id,thecvf_1,_id,0.9666393399238586,numerical,True
25,arxiv_1,Authors,thecvf_1,Authors,0.965334177017212,textual,True
26,arxiv_2,Year,dblp_2,year,0.9644296169281006,numerical,True
27,google_scholar_1,year,google_scholar_2,year,0.9635359048843384,numerical,True
28,citeseer_1,id,google_scholar_1,ID,0.9629156589508056,numerical,True
29,arxiv_1,Authors,neurips_1,Authors,0.9616721868515016,textual,True
30,dblp_1,year,thecvf_1,Year,0.961166501045227,numerical,True
31,dblp_3,id,google_scholar_1,ID,0.9611013531684875,numerical,True
32,dblp_2,year,thecvf_1,Year,0.9604998826980592,numerical,True
33,dblp_1,ID,thecvf_1,_id,0.9561916589736938,numerical,True
34,dblp_3,authors,neurips_1,Authors,0.95538067817688,textual,True
35,citeseer_1,id,dblp_1,ID,0.9549028873443604,numerical,True
36,dblp_3,id,thecvf_1,_id,0.954562783241272,numerical,True
37,citeseer_1,id,neurips_1,_id,0.9536598920822144,numerical,True
38,dblp_1,ID,dblp_3,id,0.9528822302818298,numerical,True
39,arxiv_1,Authors,dblp_3,authors,0.9520665407180786,textual,True
40,arxiv_2,Year,dblp_3,year,0.9500585198402404,numerical,True
41,arxiv_1,_id,citeseer_1,id,0.9494022727012634,numerical,True
42,dblp_3,id,neurips_1,_id,0.9481425285339355,numerical,True
43,arxiv_2,_id,citeseer_1,id,0.9462730884552002,numerical,True
44,arxiv_2,Month,thecvf_1,Month,0.9440051317214966,textual,True
45,dblp_1,number,google_scholar_1,number,0.9439999461174012,mixed,True
46,citeseer_1,year,google_scholar_1,year,0.9426587224006652,numerical,True
47,arxiv_1,_id,dblp_3,id,0.942575454711914,numerical,True
48,dblp_1,volume,google_scholar_1,volume,0.9424789547920228,textual,True
49,dblp_3,year,thecvf_1,Year,0.9418829083442688,numerical,True
50,arxiv_2,_id,dblp_3,id,0.9404640197753906,numerical,True
51,dblp_3,year,google_scholar_2,year,0.938523292541504,numerical,True
52,dblp_3,authors,thecvf_1,Authors,0.9382723569869996,textual,True
53,dblp_3,year,google_scholar_1,year,0.9369590282440186,numerical,True
54,dblp_1,year,google_scholar_1,year,0.9367101788520812,numerical,True
55,dblp_1,year,google_scholar_2,year,0.9338374733924866,numerical,True
56,dblp_2,year,google_scholar_2,year,0.9252209663391112,numerical,True
57,arxiv_1,Authors,arxiv_2,Authors,0.9213988184928894,textual,True
58,dblp_2,year,google_scholar_1,year,0.91856586933136,numerical,True
59,arxiv_2,Authors,dblp_2,authors,0.9182597398757936,textual,True
60,arxiv_2,Year,google_scholar_1,year,0.9143168926239014,numerical,True
61,google_scholar_1,year,thecvf_1,Year,0.9105700254440308,numerical,True
62,arxiv_2,Authors,google_scholar_1,author,0.9085641503334044,textual,True
63,citeseer_1,year,dblp_1,year,0.9080066084861756,numerical,True
64,citeseer_1,year,dblp_3,year,0.9066916108131408,numerical,True
65,google_scholar_2,year,thecvf_1,Year,0.9028072357177734,numerical,True
66,arxiv_2,Year,google_scholar_2,year,0.900836944580078,numerical,True
67,arxiv_2,Authors,neurips_1,Authors,0.8979820609092712,textual,True
68,arxiv_2,Authors,thecvf_1,Authors,0.8963503837585449,textual,True
69,dblp_2,authors,google_scholar_2,authors,0.8938133120536804,textual,True
70,arxiv_1,Authors,dblp_1,author,0.8931050300598145,textual,True
71,dblp_1,author,thecvf_1,Authors,0.8864957094192505,textual,True
72,citeseer_1,year,dblp_2,year,0.8862365484237671,numerical,True
73,citeseer_1,year,thecvf_1,Year,0.8791077136993408,numerical,True
74,arxiv_2,Authors,dblp_3,authors,0.877079963684082,textual,True
75,arxiv_2,Year,citeseer_1,year,0.8758953213691711,numerical,True
76,arxiv_2,Authors,dblp_1,author,0.8749157190322876,textual,True
77,dblp_1,author,dblp_3,authors,0.8710859417915344,textual,True
78,arxiv_1,Date,neurips_1,Date,0.8697879314422607,textual,True
79,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.862650454044342,textual,True
80,dblp_1,author,neurips_1,Authors,0.8624364733695984,textual,True
81,dblp_2,id,google_scholar_1,ID,0.8553490042686462,textual,True
82,dblp_1,ID,dblp_2,id,0.8545029759407043,textual,True
83,arxiv_1,Date,thecvf_1,Month,0.8526038527488708,textual,False
84,arxiv_1,Date,arxiv_2,Month,0.8509690165519714,textual,False
85,google_scholar_1,author,google_scholar_2,authors,0.850132942199707,textual,True
86,dblp_2,id,google_scholar_2,id,0.8494464755058289,textual,True
87,arxiv_2,Authors,google_scholar_2,authors,0.8479596376419067,textual,True
88,arxiv_1,Authors,dblp_2,authors,0.8466129302978516,textual,True
89,arxiv_1,Date,google_scholar_1,year,0.8455675840377808,textual,False
90,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.8446689248085022,textual,True
91,arxiv_1,_id,dblp_2,id,0.8419510126113892,textual,True
92,citeseer_1,id,dblp_2,id,0.8417225480079651,textual,True
93,dblp_2,id,thecvf_1,_id,0.8412150740623474,textual,True
