,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9989349842071532,numerical,True
1,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9985722303390504,numerical,True
2,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.99856698513031,numerical,True
3,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.998510718345642,numerical,True
4,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.998226523399353,numerical,True
5,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9980688095092772,numerical,True
6,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9980484247207642,numerical,True
7,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9975928068161012,numerical,True
8,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9975697994232178,numerical,True
9,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.997140407562256,numerical,True
10,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.9970725774765016,numerical,True
11,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9952011108398438,numerical,True
12,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9941486120224,numerical,True
13,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9933935403823853,numerical,True
14,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9933727979660034,numerical,True
15,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.992883324623108,numerical,True
16,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.9919836521148682,textual,True
17,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.99120032787323,numerical,True
18,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9909946918487548,numerical,True
19,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9909937381744384,numerical,True
20,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9908666610717772,numerical,True
21,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.99069344997406,numerical,True
22,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9906851053237916,numerical,True
23,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.990585207939148,numerical,True
24,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.990424633026123,numerical,True
25,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9904040098190308,numerical,True
26,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9902970790863036,numerical,True
27,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9896777868270874,numerical,True
28,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.9891406297683716,numerical,True
29,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.9880154132843018,numerical,True
30,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9872175455093384,numerical,True
31,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.9831773042678832,numerical,True
32,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9818447828292848,numerical,True
33,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.98179292678833,numerical,True
34,amo-ame-2009-eng,MINC,amo-ame-2010-eng,MINC,0.9817155599594116,numerical,True
35,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9811711311340332,numerical,True
36,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.980821967124939,textual,True
37,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2017-eng,DEPT_EN_DESC,0.9804497957229614,textual,True
38,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9797617197036744,numerical,True
39,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.979604959487915,numerical,True
40,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.9790760278701782,textual,True
41,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9772943258285522,numerical,True
42,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.9760401248931884,textual,True
43,amo-ame-2009-eng,MINE,amo-ame-2010-eng,MINE,0.9718356132507324,textual,True
44,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.9717351198196412,textual,True
45,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.97107195854187,textual,True
46,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.9644674062728882,textual,True
47,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9630000591278076,textual,True
48,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9613037109375,textual,True
49,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.9575362205505372,textual,True
50,amo-ame-2018-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.95329749584198,textual,True
51,amo-ame-2011-eng,MINE,amo-ame-2018-eng,MINE,0.9443473815917968,textual,True
52,amo-ame-2011-eng,MINE,amo-ame-2017-eng,MINE,0.938889503479004,textual,True
53,amo-ame-2009-eng,MINE,amo-ame-2018-eng,MINE,0.9358232021331788,textual,True
54,amo-ame-2010-eng,MINE,amo-ame-2018-eng,MINE,0.9354400634765624,textual,True
55,amo-ame-2010-eng,MINE,amo-ame-2017-eng,MINE,0.9293785095214844,textual,True
56,amo-ame-2009-eng,MINE,amo-ame-2017-eng,MINE,0.9291335344314576,textual,True
57,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8993728160858154,mixed,True
58,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2010-eng,ï»¿FSCL_YR,0.8909525871276855,mixed,True
59,amo-ame-2011-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.8332502841949463,mixed,True
60,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8289196491241455,mixed,True
61,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2018-eng,DEPT_EN_DESC,0.8207857608795166,textual,True
