,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9997305870056152,numerical,True
1,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9996982216835022,numerical,True
2,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9996756911277772,numerical,True
3,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9996240139007568,numerical,True
4,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9995535612106324,numerical,True
5,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9994667768478394,numerical,True
6,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9988718032836914,numerical,True
7,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.998623788356781,numerical,True
8,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9981382489204408,numerical,True
9,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9980931282043456,numerical,True
10,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9978257417678832,numerical,True
11,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9977071285247804,numerical,True
12,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.9976670145988464,numerical,True
13,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.99717116355896,numerical,True
14,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.997161328792572,numerical,True
15,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.997024655342102,numerical,True
16,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.997007131576538,numerical,True
17,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.997001588344574,numerical,True
18,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9967854022979736,numerical,True
19,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9967455267906188,numerical,True
20,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9967386722564696,numerical,True
21,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9966834783554076,numerical,True
22,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.996677041053772,numerical,True
23,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9965754747390748,numerical,True
24,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9965662360191344,numerical,True
25,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9962632656097412,numerical,True
26,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.996220052242279,numerical,True
27,amo-ame-2013-eng,MINC,amo-ame-2019-eng,minc,0.9959583282470704,numerical,True
28,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.995880663394928,numerical,True
29,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9957860112190248,numerical,True
30,amo-ame-2010-eng,MINC,amo-ame-2019-eng,minc,0.995630383491516,numerical,True
31,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9948477149009703,numerical,True
32,amo-ame-2011-eng,MINC,amo-ame-2019-eng,minc,0.9947338104248048,numerical,True
33,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9945489764213562,numerical,True
34,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.994475245475769,numerical,True
35,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9943302273750304,numerical,True
36,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9942314624786376,numerical,True
37,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9941993355751038,numerical,True
38,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.993688941001892,numerical,True
