,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.8833944797515869,numerical,True
1,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.8829700946807861,textual,True
2,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2012-eng,ID,0.8619670867919922,numerical,True
3,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.8471539616584778,textual,True
4,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.8466649055480957,numerical,True
5,amo-ame-2012-eng,ID,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.8426564335823059,numerical,True
6,amo-ame-2012-eng,Description,amo-ame-2018-eng,DEPT_EN_DESC,0.8406084179878235,textual,True
7,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2012-eng,Description,0.8366422653198242,textual,True
8,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8331559896469116,mixed,True
9,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.8329643607139587,numerical,True
10,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.8321455121040344,numerical,True
11,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.8303945064544678,numerical,True
12,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.8288917541503906,numerical,True
13,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.8279716968536377,numerical,True
14,amo-ame-2008-eng,AGGREGATE,amo-ame-2017-eng,AGRG_PYMT_AMT,0.8272415995597839,numerical,True
15,amo-ame-2008-eng,ORGANIZATION,amo-ame-2018-eng,MINE,0.8240575194358826,textual,True
16,amo-ame-2012-eng,ï»¿Name,amo-ame-2018-eng,ï»¿FSCL_YR,0.8219620585441589,textual,False
17,amo-ame-2017-eng,ï»¿MINC,amo-ame-2019-eng,ï»¿Year,0.8142857551574707,textual,False
18,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2018-eng,DEPT_EN_DESC,0.8134661316871643,textual,True
