,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9998222589492798,numerical,True
1,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9997413158416748,numerical,True
2,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.9994679689407348,textual,True
3,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9994665384292604,numerical,True
4,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9993738532066344,numerical,True
5,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9991763830184937,numerical,True
6,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.9985002279281616,numerical,True
7,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.99827378988266,numerical,True
8,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9980801343917848,numerical,True
9,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9980343580245972,numerical,True
10,amo-ame-2011-eng,MINC,amo-ame-2019-eng,minc,0.9977852702140808,numerical,True
11,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9977850914001464,numerical,True
12,amo-ame-2009-eng,MINC,amo-ame-2019-eng,minc,0.9966955780982972,numerical,True
13,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9966720938682556,numerical,True
14,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.996659815311432,numerical,True
15,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9965011477470398,numerical,True
16,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.995411455631256,numerical,True
17,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.9942167401313782,numerical,True
18,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9940167665481568,numerical,True
19,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9939852356910706,numerical,True
20,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9929112792015076,numerical,True
21,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.992740511894226,numerical,True
22,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9927359819412231,numerical,True
23,amo-ame-2013-eng,MINC,amo-ame-2019-eng,minc,0.9914337396621704,numerical,True
24,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9893783330917358,numerical,True
25,amo-ame-2011-eng,MINE,amo-ame-2017-eng,MINE,0.9889227151870728,textual,True
26,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.988701105117798,numerical,True
27,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9876907467842102,numerical,True
28,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.985045313835144,mixed,True
29,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9842679500579834,numerical,True
30,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9840182662010192,numerical,True
31,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9830477237701416,numerical,True
32,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2010-eng,ï»¿FSCL_YR,0.9818203449249268,mixed,True
33,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9806259870529176,numerical,True
34,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9805633425712584,numerical,True
35,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.979852855205536,numerical,True
36,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9798240661621094,numerical,True
37,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.9793813228607178,mixed,True
38,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9767469167709352,numerical,True
39,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9727588295936584,numerical,True
40,amo-ame-2009-eng,MINE,amo-ame-2018-eng,MINE,0.9725042581558228,textual,True
