,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9977415800094604,textual,True
1,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.9962445497512816,numerical,True
2,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9934886693954468,numerical,True
3,amazon_2,ID,goodreads_4,ID,0.991528868675232,numerical,True
4,barnes_and_noble_4,ID,imsa_1,ID,0.9909628629684448,numerical,True
5,goodreads_3,_id,imsa_1,_id,0.9892208576202391,numerical,True
6,barnes_and_noble_4,ID,goodreads_3,ID,0.9884443283081056,numerical,True
7,goodreads_2,year,goodreads_3,year,0.9883389472961426,numerical,True
8,amazon_1,pages,barnes_and_noble_1,pages,0.9881134033203124,numerical,True
9,amazon_2,ID,imsa_1,ID,0.9877876043319702,numerical,True
10,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9876344203948976,numerical,True
11,amazon_2,ID,barnes_and_noble_4,ID,0.9870834350585938,numerical,True
12,goodreads_4,_id,imsa_1,_id,0.9869520664215088,numerical,True
13,amazon_5,pages,barnes_and_noble_6,pages,0.9869431257247924,numerical,True
14,goodreads_3,ID,imsa_1,ID,0.9860332012176514,numerical,True
15,goodreads_4,ID,imsa_1,ID,0.9858005046844482,numerical,True
16,amazon_5,_id,barnes_and_noble_6,_id,0.9856857061386108,numerical,True
17,barnes_and_noble_6,_id,book_depository_1,_id,0.9855602979660034,numerical,True
18,barnes_and_noble_4,ID,goodreads_4,ID,0.9853280782699584,numerical,True
19,amazon_1,id,barnes_and_noble_1,id,0.9850056171417236,numerical,True
20,book_depository_1,ID,imsa_1,ID,0.985005497932434,numerical,True
21,barnes_and_noble_2,ID,goodreads_1,ID,0.984960675239563,numerical,True
22,barnes_and_noble_2,ID,book_depository_1,ID,0.984822154045105,numerical,True
23,barnes_and_noble_4,ID,book_depository_1,ID,0.9847450256347656,numerical,True
24,amazon_1,pages,barnes_and_noble_5,pages,0.9846564531326294,numerical,True
25,goodreads_3,_id,goodreads_4,_id,0.9843082427978516,numerical,True
26,book_depository_1,_id,imsa_1,_id,0.9839329719543456,numerical,True
27,barnes_and_noble_2,ID,barnes_and_noble_4,ID,0.983252763748169,numerical,True
28,amazon_4,_id,barnes_and_noble_6,_id,0.982941508293152,numerical,True
29,amazon_2,ID,goodreads_3,ID,0.9825482368469238,numerical,True
30,amazon_2,ID,book_depository_1,ID,0.9825031757354736,numerical,True
31,barnes_and_noble_2,ID,imsa_1,ID,0.9823397397994996,numerical,True
