,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_4,format,goodreads_2,format,0.9209458827972412,textual,True
1,amazon_5,old_price,barnes_and_noble_6,old_price,0.9072152376174928,mixed,True
2,amazon_4,year,goodreads_2,year,0.9024237990379332,numerical,True
3,book_depository_1,ISBN_13,goodreads_4,ISBN_13,0.8984323143959045,numerical,True
4,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.8843364715576172,mixed,True
5,amazon_5,isbn13,barnes_and_noble_6,isbn13,0.8729401230812073,numerical,True
6,amazon_4,_id,goodreads_2,_id,0.8679013848304749,numerical,True
7,amazon_1,pages,barnes_and_noble_1,pages,0.8678746819496155,numerical,True
8,amazon_1,series,barnes_and_noble_1,series,0.8658310174942017,textual,True
9,book_depository_1,Language,goodreads_4,Language,0.8628435730934143,textual,True
10,amazon_5,_id,barnes_and_noble_6,_id,0.8621569871902466,numerical,True
11,book_depository_1,ID,goodreads_4,ID,0.8620574474334717,numerical,True
12,barnes_and_noble_2,ID,barnes_and_noble_6,_id,0.854511559009552,numerical,True
13,book_depository_1,Page,goodreads_4,Page,0.8471678495407104,numerical,True
14,book_depository_1,ISBN_10,goodreads_4,ISBN_10,0.8464741110801697,mixed,True
15,book_depository_1,_id,goodreads_4,_id,0.8422476053237915,numerical,True
16,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.8413345217704773,numerical,True
17,amazon_5,title,barnes_and_noble_6,title,0.8378334641456604,textual,True
18,amazon_4,author,goodreads_2,author,0.8358603119850159,textual,True
19,book_depository_1,Name,goodreads_4,Name,0.8354188203811646,textual,True
20,amazon_4,name,goodreads_2,name,0.8322451710700989,textual,True
21,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.8299832344055176,numerical,True
22,amazon_4,rating,goodreads_2,rating,0.8264508247375488,numerical,True
23,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.8183093070983887,numerical,True
24,amazon_1,title,barnes_and_noble_4,Title,0.8173001408576965,textual,True
25,amazon_5,book_format,barnes_and_noble_6,book_format,0.8143548369407654,textual,True
26,amazon_5,pages,barnes_and_noble_3,Pages,0.8129820823669434,numerical,True
27,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.8085581660270691,numerical,True
28,book_depository_1,Format,goodreads_4,Format,0.8065281510353088,textual,True
29,barnes_and_noble_3,Dimensions,barnes_and_noble_6,product_dimensions,0.804731547832489,textual,True
30,barnes_and_noble_3,ID,barnes_and_noble_6,_id,0.8032275438308716,textual,True
31,amazon_1,id,barnes_and_noble_4,ID,0.7933483123779297,numerical,True
32,amazon_3,Author,barnes_and_noble_5,authors,0.7905192971229553,textual,True
33,amazon_5,pages,barnes_and_noble_6,pages,0.7852989435195923,numerical,True
34,amazon_1,title,barnes_and_noble_1,title,0.7837967872619629,textual,True
35,amazon_1,authors,barnes_and_noble_1,authors,0.7837299108505249,textual,True
36,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.7818108797073364,textual,True
37,amazon_1,id,barnes_and_noble_1,id,0.7811056971549988,numerical,True
38,amazon_3,Author,barnes_and_noble_1,authors,0.7806035280227661,textual,True
39,amazon_4,name,barnes_and_noble_6,title,0.7793686985969543,textual,True
40,barnes_and_noble_3,Publisher,half_1,Publisher,0.774798572063446,textual,True
41,amazon_1,authors,barnes_and_noble_5,authors,0.770332396030426,textual,True
42,amazon_3,Author,goodreads_3,author,0.7691546678543091,textual,True
43,barnes_and_noble_2,Title,barnes_and_noble_6,title,0.7682223320007324,textual,True
44,book_depository_1,Author,goodreads_2,author,0.7663679122924805,textual,True
45,goodreads_3,ID,imsa_1,ID,0.7642374634742737,numerical,True
46,barnes_and_noble_1,authors,barnes_and_noble_5,authors,0.7622753381729126,textual,True
47,book_depository_1,ID,imsa_1,ID,0.7610036134719849,numerical,True
48,amazon_3,Pages,barnes_and_noble_6,pages,0.7607815861701965,numerical,True
49,barnes_and_noble_2,ID,barnes_and_noble_3,ID,0.759971022605896,textual,True
50,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.7582420706748962,textual,True
51,amazon_4,author,book_depository_1,Author,0.7582182288169861,textual,True
52,barnes_and_noble_1,title,barnes_and_noble_4,Title,0.7576936483383179,textual,True
53,barnes_and_noble_3,ISBN13,half_1,ISBN10,0.7537896037101746,textual,False
54,barnes_and_noble_3,Author,half_1,Author,0.7523555755615234,textual,True
55,barnes_and_noble_2,ID,half_1,ID,0.7511080503463745,textual,True
56,amazon_5,_id,barnes_and_noble_3,ID,0.7467292547225952,textual,True
57,amazon_5,publisher,barnes_and_noble_6,publisher,0.7451649308204651,textual,True
58,amazon_3,ISBN,barnes_and_noble_3,ISBN13,0.7442183494567871,numerical,True
59,barnes_and_noble_1,id,barnes_and_noble_4,ID,0.7431888580322266,numerical,True
60,barnes_and_noble_2,Ratingscount,goodreads_1,NumberofReviews,0.7420158982276917,textual,False
61,barnes_and_noble_3,Publication_Date,barnes_and_noble_6,publication_date,0.7406978011131287,mixed,True
62,amazon_5,publisher,half_1,Publisher,0.7398748993873596,textual,True
63,amazon_1,authors,amazon_3,Author,0.7389737963676453,textual,True
64,amazon_1,language,barnes_and_noble_1,language,0.7384361624717712,textual,True
