,table_a,column_a,table_b,column_b,similarity,correct
0,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.95,True
1,amazon_1,pubday,barnes_and_noble_1,pubday,0.94799995,True
2,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.94799995,True
3,amazon_4,format,goodreads_2,format,0.9440297,True
4,amazon_5,book_format,barnes_and_noble_6,book_format,0.9426979,True
5,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.9423195,True
6,amazon_4,rating,goodreads_2,rating,0.9406785,True
7,goodreads_2,year,goodreads_3,year,0.93495864,True
8,amazon_4,year,goodreads_2,year,0.9322073,True
9,book_depository_1,Language,goodreads_4,Language,0.9244553,True
10,amazon_5,old_price,barnes_and_noble_6,old_price,0.9187296,True
11,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.91417325,True
12,amazon_1,language,amazon_2,Language,0.91321963,True
13,goodreads_2,format,goodreads_4,Format,0.9046173,True
14,amazon_5,pages,barnes_and_noble_6,pages,0.8976796,True
15,amazon_1,language,barnes_and_noble_5,language,0.88728064,True
16,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.88445807,True
17,amazon_1,publisher,barnes_and_noble_1,publisher,0.8801853,True
18,goodreads_1,Format,goodreads_4,Format,0.8731632,True
19,amazon_1,publisher,amazon_2,Publisher,0.86859435,True
20,amazon_2,Language,barnes_and_noble_5,language,0.8647766,True
21,amazon_4,year,goodreads_3,year,0.85978526,True
22,goodreads_1,Language,goodreads_4,Language,0.8596877,True
23,amazon_5,pages,barnes_and_noble_3,Pages,0.8588133,True
24,amazon_4,format,goodreads_4,Format,0.85688275,True
25,barnes_and_noble_3,Pages,barnes_and_noble_5,pages,0.8559631,True
26,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.85560715,True
27,book_depository_1,Format,goodreads_4,Format,0.85346174,True
28,amazon_1,series,barnes_and_noble_1,series,0.8532236,True
29,amazon_1,publisher,amazon_3,Publisher,0.8511833,True
30,goodreads_1,Format,goodreads_2,format,0.85053426,True
31,amazon_1,language,goodreads_1,Language,0.8501832,True
32,amazon_1,language,book_depository_1,Language,0.84877336,True
33,book_depository_1,Page,goodreads_4,Page,0.8473605,True
34,barnes_and_noble_5,language,book_depository_1,Language,0.84636164,True
35,amazon_1,pages,barnes_and_noble_1,pages,0.84604436,True
36,barnes_and_noble_1,publisher,barnes_and_noble_4,Publisher,0.84466493,True
37,amazon_2,Language,book_depository_1,Language,0.84251404,True
38,barnes_and_noble_4,Pages,barnes_and_noble_6,pages,0.8408741,True
39,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.840542,True
40,barnes_and_noble_3,Publisher,half_1,Publisher,0.8364213,True
41,barnes_and_noble_5,language,goodreads_4,Language,0.8359213,True
42,amazon_2,Publisher,amazon_3,Publisher,0.835631,True
43,amazon_3,Pages,amazon_5,pages,0.8356209,True
