,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9989032745361328,textual,True
1,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.9982365369796752,numerical,True
2,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9953060150146484,numerical,True
3,book_depository_1,ID,goodreads_4,ID,0.9948315620422364,numerical,True
4,book_depository_1,_id,goodreads_4,_id,0.9944711923599244,numerical,True
5,goodreads_3,_id,goodreads_4,_id,0.9943636655807496,numerical,True
6,book_depository_1,_id,goodreads_3,_id,0.9942173957824708,numerical,True
7,goodreads_4,_id,imsa_1,_id,0.994117021560669,numerical,True
8,goodreads_3,_id,imsa_1,_id,0.992925763130188,numerical,True
9,barnes_and_noble_4,ID,book_depository_1,ID,0.9924523830413818,numerical,True
10,goodreads_2,year,goodreads_3,year,0.9924508333206176,numerical,True
11,goodreads_3,ID,goodreads_4,ID,0.9921058416366576,numerical,True
12,amazon_2,ID,imsa_1,ID,0.9919664859771729,numerical,True
13,book_depository_1,_id,imsa_1,_id,0.9918453693389891,numerical,True
14,amazon_5,_id,barnes_and_noble_6,_id,0.991729974746704,numerical,True
15,book_depository_1,ID,goodreads_3,ID,0.991562843322754,numerical,True
16,barnes_and_noble_2,ID,goodreads_1,ID,0.991429090499878,numerical,True
17,barnes_and_noble_4,ID,goodreads_3,ID,0.9912816286087036,numerical,True
18,barnes_and_noble_4,ID,goodreads_4,ID,0.9910848140716552,numerical,True
19,goodreads_4,ID,imsa_1,ID,0.9910413026809692,numerical,True
20,amazon_5,pages,barnes_and_noble_6,pages,0.9910273551940918,numerical,True
21,amazon_2,ID,barnes_and_noble_4,ID,0.9907779693603516,numerical,True
22,barnes_and_noble_6,_id,book_depository_1,_id,0.9907732009887696,numerical,True
23,barnes_and_noble_6,_id,goodreads_4,_id,0.9905178546905518,numerical,True
24,book_depository_1,ID,imsa_1,ID,0.990468978881836,numerical,True
25,amazon_2,ID,book_depository_1,ID,0.9904078245162964,numerical,True
26,amazon_1,id,barnes_and_noble_1,id,0.99024760723114,numerical,True
27,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9899041652679444,numerical,True
28,barnes_and_noble_6,_id,goodreads_3,_id,0.9896950721740724,numerical,True
29,amazon_3,Pages,barnes_and_noble_4,Pages,0.9895362854003906,numerical,True
30,barnes_and_noble_4,ID,imsa_1,ID,0.989493489265442,numerical,True
31,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.9894795417785645,numerical,True
32,amazon_2,ID,goodreads_4,ID,0.9893782138824464,numerical,True
33,amazon_5,_id,goodreads_4,_id,0.9888371229171752,numerical,True
34,amazon_1,pages,barnes_and_noble_5,pages,0.9883472919464112,numerical,True
35,goodreads_3,ID,imsa_1,ID,0.9876753091812134,numerical,True
36,amazon_2,ID,goodreads_3,ID,0.987274169921875,numerical,True
37,amazon_5,_id,goodreads_3,_id,0.9871602058410645,numerical,True
38,amazon_5,_id,book_depository_1,_id,0.9867116212844848,numerical,True
39,barnes_and_noble_6,_id,imsa_1,_id,0.9864164590835572,numerical,True
40,amazon_5,_id,imsa_1,_id,0.9859275817871094,numerical,True
41,amazon_1,pages,barnes_and_noble_1,pages,0.984205961227417,numerical,True
