,table_a,column_a,table_b,column_b,similarity,type,correct
0,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.999514639377594,numerical,True
1,barnes_and_noble_3,ISBN13,barnes_and_noble_6,isbn13,0.9988940358161926,numerical,True
2,amazon_1,language,amazon_2,Language,0.998832941055298,textual,True
3,barnes_and_noble_6,isbn13,half_1,ISBN13,0.9987364411354064,numerical,True
4,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9986621141433716,numerical,True
5,amazon_4,_id,goodreads_2,_id,0.9983817934989928,numerical,True
6,amazon_5,_id,barnes_and_noble_6,_id,0.9981518387794496,numerical,True
7,amazon_4,rating,goodreads_2,rating,0.9978775382041932,numerical,True
8,book_depository_1,ID,goodreads_1,ID,0.9977160096168518,numerical,True
9,amazon_5,_id,goodreads_3,_id,0.9976339936256408,numerical,True
10,amazon_5,old_price,barnes_and_noble_6,old_price,0.9974600672721864,mixed,True
11,book_depository_1,ID,goodreads_4,ID,0.9974300265312196,numerical,True
12,barnes_and_noble_2,ID,goodreads_1,ID,0.997304916381836,numerical,True
13,barnes_and_noble_1,id,imsa_1,ID,0.9972419142723083,numerical,True
14,amazon_2,ID,goodreads_4,ID,0.9971303939819336,numerical,True
15,amazon_1,id,barnes_and_noble_1,id,0.9970736503601074,numerical,True
16,goodreads_3,_id,goodreads_4,_id,0.997060477733612,numerical,True
17,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.9970424175262452,textual,True
18,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.9969601035118104,numerical,True
19,amazon_5,_id,book_depository_1,_id,0.9968979358673096,numerical,True
20,barnes_and_noble_6,_id,goodreads_3,_id,0.996850848197937,numerical,True
21,amazon_4,_id,book_depository_1,_id,0.996796488761902,numerical,True
22,amazon_5,pages,barnes_and_noble_6,pages,0.9967374801635742,numerical,True
23,goodreads_1,ID,goodreads_4,ID,0.9967122673988342,numerical,True
24,barnes_and_noble_2,ID,book_depository_1,ID,0.9967072010040284,numerical,True
25,barnes_and_noble_2,ID,goodreads_4,ID,0.9966608881950378,numerical,True
26,barnes_and_noble_4,ID,goodreads_3,ID,0.996628761291504,numerical,True
27,goodreads_2,_id,imsa_1,_id,0.9965941905975342,numerical,True
28,barnes_and_noble_2,ID,goodreads_3,ID,0.9965006113052368,numerical,True
29,goodreads_4,ID,imsa_1,ID,0.9965006113052368,numerical,True
30,barnes_and_noble_4,ID,imsa_1,ID,0.9964838027954102,numerical,True
31,book_depository_1,_id,goodreads_2,_id,0.996468424797058,numerical,True
32,amazon_1,id,goodreads_1,ID,0.9964504837989808,numerical,True
33,barnes_and_noble_4,ID,goodreads_4,ID,0.9963535070419312,numerical,True
