,table_a,column_a,table_b,column_b,similarity,type,correct
0,book_depository_1,Name,goodreads_4,Name,0.8736060261726379,textual,True
1,book_depository_1,ISBN_10,goodreads_4,ISBN_10,0.859498918056488,mixed,True
2,amazon_4,format,goodreads_2,format,0.8576444983482361,textual,True
3,book_depository_1,Page,goodreads_4,Page,0.8572399616241455,numerical,True
4,amazon_5,_id,barnes_and_noble_6,_id,0.8566893339157104,numerical,True
5,book_depository_1,ISBN_13,goodreads_4,ISBN_13,0.8564962148666382,numerical,True
6,book_depository_1,ID,goodreads_4,ID,0.8535636067390442,numerical,True
7,amazon_4,year,goodreads_2,year,0.8504766821861267,numerical,True
8,book_depository_1,Language,goodreads_4,Language,0.8376636505126953,textual,True
9,book_depository_1,Author,goodreads_4,Author,0.8366846442222595,textual,True
10,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.8341568112373352,mixed,True
11,amazon_5,old_price,barnes_and_noble_6,old_price,0.8324927687644958,mixed,True
12,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.8310770988464355,numerical,True
13,book_depository_1,_id,goodreads_4,_id,0.8307117223739624,numerical,True
14,amazon_5,title,barnes_and_noble_6,title,0.8177192807197571,textual,True
15,amazon_1,pages,barnes_and_noble_1,pages,0.814795970916748,numerical,True
16,amazon_1,id,barnes_and_noble_1,id,0.8092731237411499,numerical,True
17,amazon_4,rating,goodreads_2,rating,0.8063578009605408,numerical,True
18,barnes_and_noble_2,Title,goodreads_1,Title,0.8063064217567444,textual,True
19,barnes_and_noble_6,_id,half_1,ID,0.8050700426101685,textual,True
20,amazon_5,isbn13,barnes_and_noble_6,isbn13,0.804398238658905,numerical,True
21,barnes_and_noble_2,Title,barnes_and_noble_4,Title,0.8027253150939941,textual,True
22,amazon_5,book_format,barnes_and_noble_6,book_format,0.796669065952301,textual,True
23,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.7965588569641113,numerical,True
24,barnes_and_noble_2,ID,goodreads_1,ID,0.7900859117507935,numerical,True
25,amazon_4,_id,goodreads_2,_id,0.7898747324943542,numerical,True
26,amazon_4,author,goodreads_2,author,0.7871409058570862,textual,True
27,amazon_1,series,barnes_and_noble_1,series,0.7844656109809875,textual,True
