,table_a,column_a,table_b,column_b,similarity,correct
0,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.95,True
1,amazon_4,rating,goodreads_2,rating,0.94975126,True
2,amazon_1,pubday,barnes_and_noble_1,pubday,0.94799995,True
3,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.94799995,True
4,amazon_4,format,goodreads_2,format,0.9449102,True
5,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.94297427,True
6,amazon_5,book_format,barnes_and_noble_6,book_format,0.94214314,True
7,goodreads_2,year,goodreads_3,year,0.9361542,True
8,amazon_4,year,goodreads_2,year,0.93499804,True
9,book_depository_1,Language,goodreads_4,Language,0.92446554,True
10,amazon_5,old_price,barnes_and_noble_6,old_price,0.9188963,True
11,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.91714066,True
12,amazon_1,language,amazon_2,Language,0.91349125,True
13,goodreads_2,format,goodreads_4,Format,0.9045068,True
14,amazon_5,pages,barnes_and_noble_6,pages,0.90084,True
15,amazon_1,language,barnes_and_noble_5,language,0.8876902,True
16,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.8875273,True
17,amazon_1,publisher,barnes_and_noble_1,publisher,0.8838504,True
18,goodreads_1,Format,goodreads_4,Format,0.87283576,True
19,barnes_and_noble_3,Pages,barnes_and_noble_5,pages,0.8706298,True
20,amazon_1,publisher,amazon_2,Publisher,0.86784494,True
21,amazon_2,Language,barnes_and_noble_5,language,0.86576444,True
22,goodreads_1,Language,goodreads_4,Language,0.86108285,True
23,amazon_5,pages,barnes_and_noble_3,Pages,0.8592969,True
24,amazon_4,year,goodreads_3,year,0.85862553,True
25,amazon_1,pages,barnes_and_noble_1,pages,0.85807973,True
26,amazon_4,format,goodreads_4,Format,0.8580481,True
27,book_depository_1,Page,goodreads_4,Page,0.8569439,True
28,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.8557974,True
29,book_depository_1,Format,goodreads_4,Format,0.85539263,True
30,amazon_1,series,barnes_and_noble_1,series,0.8543908,True
31,amazon_1,publisher,amazon_3,Publisher,0.85256994,True
32,barnes_and_noble_5,pages,barnes_and_noble_6,pages,0.8523016,True
33,amazon_1,language,goodreads_1,Language,0.852023,True
34,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.8519815,True
35,barnes_and_noble_1,publisher,barnes_and_noble_4,Publisher,0.85151225,True
36,goodreads_1,Format,goodreads_2,format,0.85143125,True
37,amazon_1,language,book_depository_1,Language,0.8489038,True
38,amazon_3,Pages,amazon_5,pages,0.84624994,True
39,barnes_and_noble_5,language,book_depository_1,Language,0.846183,True
40,amazon_3,Pages,barnes_and_noble_3,Pages,0.8445896,True
41,barnes_and_noble_4,Pages,barnes_and_noble_6,pages,0.8433202,True
42,amazon_2,Language,book_depository_1,Language,0.84215087,True
43,barnes_and_noble_1,pages,barnes_and_noble_3,Pages,0.8402649,True
44,amazon_2,Publisher,amazon_3,Publisher,0.8377441,True
45,barnes_and_noble_3,Publisher,half_1,Publisher,0.8372205,True
46,amazon_5,publisher,barnes_and_noble_6,publisher,0.8370285,True
47,book_depository_1,Language,goodreads_1,Language,0.8367604,True
48,barnes_and_noble_5,language,goodreads_4,Language,0.8363799,True
49,amazon_2,Language,goodreads_4,Language,0.8359357,True
50,amazon_1,language,goodreads_4,Language,0.8352221,True
