,table_a,column_a,table_b,column_b,similarity,type,correct
0,barnes_and_noble_3,ISBN13,barnes_and_noble_6,isbn13,0.9989933371543884,numerical,True
1,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9987555146217346,numerical,True
2,amazon_4,rating,goodreads_2,rating,0.9982600808143616,numerical,True
3,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.9979363679885864,numerical,True
4,barnes_and_noble_4,ID,goodreads_3,ID,0.997558891773224,numerical,True
5,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9974290132522584,numerical,True
6,amazon_1,pubday,barnes_and_noble_1,pubday,0.9973663091659546,numerical,True
7,amazon_3,Pages,barnes_and_noble_5,pages,0.9973251223564148,numerical,True
8,amazon_2,ID,book_depository_1,ID,0.9972350597381592,numerical,True
9,barnes_and_noble_4,ID,book_depository_1,ID,0.9972158670425416,numerical,True
10,amazon_2,ID,barnes_and_noble_4,ID,0.9971649050712584,numerical,True
11,book_depository_1,_id,goodreads_3,_id,0.997146725654602,numerical,True
12,barnes_and_noble_4,ID,goodreads_4,ID,0.9971067905426024,numerical,True
13,amazon_2,ID,goodreads_3,ID,0.9970911145210266,numerical,True
14,barnes_and_noble_6,_id,book_depository_1,_id,0.997020959854126,numerical,True
15,amazon_2,ID,imsa_1,ID,0.9969885945320128,numerical,True
16,book_depository_1,ID,goodreads_3,ID,0.9969372749328612,numerical,True
17,amazon_1,id,barnes_and_noble_1,id,0.9968172907829284,numerical,True
18,barnes_and_noble_2,ID,goodreads_1,ID,0.9967295527458192,numerical,True
19,book_depository_1,ID,goodreads_4,ID,0.9967120885849,numerical,True
20,book_depository_1,_id,goodreads_4,_id,0.9966639280319214,numerical,True
21,barnes_and_noble_6,isbn13,half_1,ISBN13,0.9965519905090332,numerical,True
22,goodreads_3,ID,imsa_1,ID,0.9965014457702636,numerical,True
23,amazon_5,_id,goodreads_3,_id,0.9964122772216796,numerical,True
24,amazon_2,ID,goodreads_4,ID,0.9963583946228028,numerical,True
25,barnes_and_noble_2,ID,imsa_1,ID,0.9963096380233764,numerical,True
26,goodreads_1,ID,imsa_1,ID,0.9962917566299438,numerical,True
27,goodreads_3,ID,goodreads_4,ID,0.9962601661682128,numerical,True
28,amazon_4,_id,amazon_5,_id,0.9962594509124756,numerical,True
29,goodreads_1,ID,goodreads_3,ID,0.99624502658844,numerical,True
30,barnes_and_noble_6,_id,goodreads_4,_id,0.9962409734725952,numerical,True
31,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.9961617588996888,textual,True
32,goodreads_3,_id,goodreads_4,_id,0.9961479306221008,numerical,True
33,amazon_5,old_price,barnes_and_noble_6,old_price,0.996084690093994,mixed,True
34,amazon_3,price,barnes_and_noble_5,price,0.9960786700248718,mixed,True
35,barnes_and_noble_6,_id,goodreads_3,_id,0.996023952960968,numerical,True
36,goodreads_3,_id,imsa_1,_id,0.9957789778709412,numerical,True
37,amazon_5,_id,book_depository_1,_id,0.995486617088318,numerical,True
38,book_depository_1,ID,imsa_1,ID,0.9954850673675536,numerical,True
