,table_a,column_a,table_b,column_b,similarity,correct
0,Chicago_Park_District__Movies_in_the_Parks_2014,Community,Chicago_Park_District__Movies_in_the_Parks_2015,Community,0.9001462,True
1,Chicago_Park_District__Movies_in_the_Parks_2014,Rating,Chicago_Park_District__Movies_in_the_Parks_2016,Rating,0.8993536,True
2,Chicago_Park_District__Movies_in_the_Parks_2015,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2017,MovieRating,0.8987646,True
3,Chicago_Park_District__Movies_in_the_Parks_2017,Underwriter,Chicago_Park_District__Movies_in_the_Parks_2019,Underwriter,0.8607524,True
4,Chicago_Park_District__Movies_in_the_Parks_2014,Rating,Chicago_Park_District__Movies_in_the_Parks_2019,Rating,0.86062825,False
5,Chicago_Park_District__Movies_in_the_Parks_2016,Rating,Chicago_Park_District__Movies_in_the_Parks_2019,Rating,0.8554638,False
6,Chicago_Park_District__Movies_in_the_Parks_2014,Location 1,Chicago_Park_District__Movies_in_the_Parks_2015,Location 1,0.8532612,True
7,Chicago_Park_District__Movies_in_the_Parks_2017,Park Address,Chicago_Park_District__Movies_in_the_Parks_2019,Park Address,0.85303724,True
8,Chicago_Park_District__Movies_in_the_Parks_2017,Phone,Chicago_Park_District__Movies_in_the_Parks_2019,Phone,0.85225457,True
9,Chicago_Park_District__Movies_in_the_Parks_2018,Underwriter,Chicago_Park_District__Movies_in_the_Parks_2019,Underwriter,0.8482884,True
10,Chicago_Park_District__Movies_in_the_Parks_2017,Underwriter,Chicago_Park_District__Movies_in_the_Parks_2018,Underwriter,0.8388039,True
11,Chicago_Park_District__Movies_in_the_Parks_2017,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2018,Movie Rating,0.81934583,True
12,Chicago_Park_District__Movies_in_the_Parks_2015,Phone,Chicago_Park_District__Movies_in_the_Parks_2017,Phone,0.8022151,True
13,Chicago_Park_District__Movies_in_the_Parks_2015,ParkName,Chicago_Park_District__Movies_in_the_Parks_2017,ParkName,0.79892707,True
14,Chicago_Park_District__Movies_in_the_Parks_2015,Phone,Chicago_Park_District__Movies_in_the_Parks_2019,Phone,0.7847935,True
15,Chicago_Park_District__Movies_in_the_Parks_2015,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2018,Movie Rating,0.7793465,True
16,Chicago_Park_District__Movies_in_the_Parks_2014,Location 1,Chicago_Park_District__Movies_in_the_Parks_2016,Location 1,0.7669095,True
17,Chicago_Park_District__Movies_in_the_Parks_2017,MovieName,Chicago_Park_District__Movies_in_the_Parks_2019,MovieName,0.7640735,True
18,Chicago_Park_District__Movies_in_the_Parks_2015,Location 1,Chicago_Park_District__Movies_in_the_Parks_2016,Location 1,0.7603796,True
19,Chicago_Park_District__Movies_in_the_Parks_2017,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2019,Rating,0.7577879,False
20,Chicago_Park_District__Movies_in_the_Parks_2014,Park Url,Chicago_Park_District__Movies_in_the_Parks_2015,ParkUrl,0.7470539,True
21,Chicago_Park_District__Movies_in_the_Parks_2014,Rating,Chicago_Park_District__Movies_in_the_Parks_2015,MovieRating,0.7468648,True
22,Chicago_Park_District__Movies_in_the_Parks_2014,Park Name,Chicago_Park_District__Movies_in_the_Parks_2015,ParkName,0.7365147,True
23,Chicago_Park_District__Movies_in_the_Parks_2015,MovieName,Chicago_Park_District__Movies_in_the_Parks_2017,MovieName,0.73391724,True
24,Chicago_Park_District__Movies_in_the_Parks_2015,MovieName,Chicago_Park_District__Movies_in_the_Parks_2019,MovieName,0.7312304,True
25,Chicago_Park_District__Movies_in_the_Parks_2014,Event Url,Chicago_Park_District__Movies_in_the_Parks_2015,EventUrl,0.72417414,True
26,Chicago_Park_District__Movies_in_the_Parks_2014,Event Name,Chicago_Park_District__Movies_in_the_Parks_2015,EventName,0.71898204,True
27,Chicago_Park_District__Movies_in_the_Parks_2015,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2016,Rating,0.71462363,True
28,Chicago_Park_District__Movies_in_the_Parks_2018,Movie Rating,Chicago_Park_District__Movies_in_the_Parks_2019,Rating,0.7080084,False
29,Chicago_Park_District__Movies_in_the_Parks_2015,MovieRating,Chicago_Park_District__Movies_in_the_Parks_2019,Rating,0.7011145,False
30,Chicago_Park_District__Movies_in_the_Parks_2014,Rating,Chicago_Park_District__Movies_in_the_Parks_2017,MovieRating,0.7007061,True
31,Chicago_Park_District__Movies_in_the_Parks_2016,Rating,Chicago_Park_District__Movies_in_the_Parks_2017,MovieRating,0.6964013,True
32,Chicago_Park_District__Movies_in_the_Parks_2014,Movie Name,Chicago_Park_District__Movies_in_the_Parks_2015,MovieName,0.6896883,True
33,Chicago_Park_District__Movies_in_the_Parks_2014,Caption,Chicago_Park_District__Movies_in_the_Parks_2015,MovieClosedCaption,0.680597,True
34,Chicago_Park_District__Movies_in_the_Parks_2014,Park Name,Chicago_Park_District__Movies_in_the_Parks_2017,ParkName,0.67607003,True
35,Chicago_Park_District__Movies_in_the_Parks_2016,Rating,Chicago_Park_District__Movies_in_the_Parks_2018,Movie Rating,0.66918004,True
36,Chicago_Park_District__Movies_in_the_Parks_2014,Rating,Chicago_Park_District__Movies_in_the_Parks_2018,Movie Rating,0.6645671,True
37,Chicago_Park_District__Movies_in_the_Parks_2014,Start Date,Chicago_Park_District__Movies_in_the_Parks_2015,StartDate,0.6642275,True
38,Chicago_Park_District__Movies_in_the_Parks_2016,Location 1,Chicago_Park_District__Movies_in_the_Parks_2017,Location,0.6597245,False
39,Chicago_Park_District__Movies_in_the_Parks_2014,Caption,Chicago_Park_District__Movies_in_the_Parks_2016,Caption Available,0.6580415,True
40,Chicago_Park_District__Movies_in_the_Parks_2014,Zip,Chicago_Park_District__Movies_in_the_Parks_2015,ZipCode,0.6570059,True
41,Chicago_Park_District__Movies_in_the_Parks_2014,End Date,Chicago_Park_District__Movies_in_the_Parks_2015,EndDate,0.6496312,True
42,Chicago_Park_District__Movies_in_the_Parks_2015,Location 1,Chicago_Park_District__Movies_in_the_Parks_2017,Location,0.6455469,False
43,Chicago_Park_District__Movies_in_the_Parks_2017,Phone,Chicago_Park_District__Movies_in_the_Parks_2018,Event Phone,0.6266883,True
44,Chicago_Park_District__Movies_in_the_Parks_2014,Number,Chicago_Park_District__Movies_in_the_Parks_2016,Phone Number,0.6251139,True
45,Chicago_Park_District__Movies_in_the_Parks_2014,Location 1,Chicago_Park_District__Movies_in_the_Parks_2017,Location,0.62318665,False
46,Chicago_Park_District__Movies_in_the_Parks_2018,Event Phone,Chicago_Park_District__Movies_in_the_Parks_2019,Phone,0.6212957,True
47,Chicago_Park_District__Movies_in_the_Parks_2014,Movie Name,Chicago_Park_District__Movies_in_the_Parks_2017,MovieName,0.6185142,True
48,Chicago_Park_District__Movies_in_the_Parks_2014,Movie Name,Chicago_Park_District__Movies_in_the_Parks_2019,MovieName,0.6119813,True
49,Chicago_Park_District__Movies_in_the_Parks_2015,MovieName,Chicago_Park_District__Movies_in_the_Parks_2016,Movie,0.5995692,True
50,Chicago_Park_District__Movies_in_the_Parks_2015,Phone,Chicago_Park_District__Movies_in_the_Parks_2016,Phone Number,0.58659714,True
51,Chicago_Park_District__Movies_in_the_Parks_2016,Park Location,Chicago_Park_District__Movies_in_the_Parks_2018,Event Location,0.5861419,False
52,Chicago_Park_District__Movies_in_the_Parks_2015,ZipCode,Chicago_Park_District__Movies_in_the_Parks_2016,Zip code,0.57965076,False
53,Chicago_Park_District__Movies_in_the_Parks_2014,Movie Name,Chicago_Park_District__Movies_in_the_Parks_2016,Movie,0.57661384,True
54,Chicago_Park_District__Movies_in_the_Parks_2015,ContactEmail,Chicago_Park_District__Movies_in_the_Parks_2016,Email,0.56805676,True
55,Chicago_Park_District__Movies_in_the_Parks_2015,Phone,Chicago_Park_District__Movies_in_the_Parks_2018,Event Phone,0.56699616,True
56,Chicago_Park_District__Movies_in_the_Parks_2016,Movie,Chicago_Park_District__Movies_in_the_Parks_2017,MovieName,0.5579351,True
57,Chicago_Park_District__Movies_in_the_Parks_2016,Movie,Chicago_Park_District__Movies_in_the_Parks_2019,MovieName,0.55521476,True
58,Chicago_Park_District__Movies_in_the_Parks_2017,Location,Chicago_Park_District__Movies_in_the_Parks_2018,Event Location,0.5536661,False
59,Chicago_Park_District__Movies_in_the_Parks_2015,MovieClosedCaption,Chicago_Park_District__Movies_in_the_Parks_2016,Caption Available,0.5529376,True
60,Chicago_Park_District__Movies_in_the_Parks_2016,Phone Number,Chicago_Park_District__Movies_in_the_Parks_2017,Phone,0.54925984,True
61,Chicago_Park_District__Movies_in_the_Parks_2014,Park Name,Chicago_Park_District__Movies_in_the_Parks_2016,Park Location,0.5448434,False
62,Chicago_Park_District__Movies_in_the_Parks_2016,Phone Number,Chicago_Park_District__Movies_in_the_Parks_2019,Phone,0.53571653,True
63,Chicago_Park_District__Movies_in_the_Parks_2015,,Chicago_Park_District__Movies_in_the_Parks_2019,nan0,0.5290576,False
64,Chicago_Park_District__Movies_in_the_Parks_2017,Park Address,Chicago_Park_District__Movies_in_the_Parks_2018,Event Address 2,0.5273577,False
65,Chicago_Park_District__Movies_in_the_Parks_2018,Event Address 2,Chicago_Park_District__Movies_in_the_Parks_2019,Park Address,0.52290636,False
66,Chicago_Park_District__Movies_in_the_Parks_2015,ParkName,Chicago_Park_District__Movies_in_the_Parks_2016,Park Location,0.5125183,False
67,Chicago_Park_District__Movies_in_the_Parks_2015,StartDate,Chicago_Park_District__Movies_in_the_Parks_2016,Start,0.5033964,False
68,Chicago_Park_District__Movies_in_the_Parks_2015,,Chicago_Park_District__Movies_in_the_Parks_2018,nan2,0.49910825,False
69,Chicago_Park_District__Movies_in_the_Parks_2014,Start Date,Chicago_Park_District__Movies_in_the_Parks_2016,Start,0.4991055,False
70,Chicago_Park_District__Movies_in_the_Parks_2018,nan2,Chicago_Park_District__Movies_in_the_Parks_2019,nan0,0.49810952,False
71,Chicago_Park_District__Movies_in_the_Parks_2014,Event Name,Chicago_Park_District__Movies_in_the_Parks_2016,Event Website,0.47679567,False
72,Chicago_Park_District__Movies_in_the_Parks_2014,Event Url,Chicago_Park_District__Movies_in_the_Parks_2016,Event Website,0.47550517,False
73,Chicago_Park_District__Movies_in_the_Parks_2014,Event Name,Chicago_Park_District__Movies_in_the_Parks_2018,Event Location,0.46692413,False
74,Chicago_Park_District__Movies_in_the_Parks_2015,EndDate,Chicago_Park_District__Movies_in_the_Parks_2016,End,0.4653627,False
75,Chicago_Park_District__Movies_in_the_Parks_2014,End Date,Chicago_Park_District__Movies_in_the_Parks_2016,End,0.459556,False
76,Chicago_Park_District__Movies_in_the_Parks_2015,EventName,Chicago_Park_District__Movies_in_the_Parks_2018,Event Location,0.4565149,False
77,Chicago_Park_District__Movies_in_the_Parks_2015,,Chicago_Park_District__Movies_in_the_Parks_2016,Person,0.44963712,False
78,Chicago_Park_District__Movies_in_the_Parks_2014,Zip,Chicago_Park_District__Movies_in_the_Parks_2016,Zip code,0.44812745,False
79,Chicago_Park_District__Movies_in_the_Parks_2014,Event Url,Chicago_Park_District__Movies_in_the_Parks_2018,Event Phone,0.44481355,False
80,Chicago_Park_District__Movies_in_the_Parks_2015,EventName,Chicago_Park_District__Movies_in_the_Parks_2016,Event Website,0.44165817,False
81,Chicago_Park_District__Movies_in_the_Parks_2015,EventUrl,Chicago_Park_District__Movies_in_the_Parks_2016,Event Website,0.44035253,False
82,Chicago_Park_District__Movies_in_the_Parks_2016,Phone Number,Chicago_Park_District__Movies_in_the_Parks_2018,Event Phone,0.437642,True
83,Chicago_Park_District__Movies_in_the_Parks_2014,Number,Chicago_Park_District__Movies_in_the_Parks_2015,Phone,0.42581433,True
84,Chicago_Park_District__Movies_in_the_Parks_2014,Park Url,Chicago_Park_District__Movies_in_the_Parks_2019,Park Address,0.42509332,False
85,Chicago_Park_District__Movies_in_the_Parks_2015,ParkUrl,Chicago_Park_District__Movies_in_the_Parks_2019,Park Address,0.4153959,False
86,Chicago_Park_District__Movies_in_the_Parks_2016,Park Location,Chicago_Park_District__Movies_in_the_Parks_2019,Park Address,0.3918664,False
87,Chicago_Park_District__Movies_in_the_Parks_2014,Number,Chicago_Park_District__Movies_in_the_Parks_2017,Phone,0.3682587,True
88,Chicago_Park_District__Movies_in_the_Parks_2014,Number,Chicago_Park_District__Movies_in_the_Parks_2019,Phone,0.34675917,True
