,table_a,column_a,table_b,column_b,similarity,correct
0,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.98897636,True
1,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9884297,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9882353,True
3,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.9854349,True
4,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.98507804,True
5,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.9802596,True
6,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9718029,True
7,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.96563417,True
8,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9649885,True
9,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9641344,True
10,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_9,Areas of Study,0.96395284,True
11,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.96339333,True
12,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.961158,True
13,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_4,AreasOfScienceEN,0.96087587,True
14,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9605878,True
15,cihr_co-applicant_8,Program Name,cihr_co-applicant_9,Program Name,0.9583948,True
16,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.95697117,True
17,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9538261,True
18,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.946027,True
19,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.942618,True
20,cihr_co-applicant_8,Program ID,cihr_co-applicant_9,Program ID,0.94160444,True
21,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.93848914,True
22,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9382596,True
23,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9371972,True
24,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_4,ProgramNameEN,0.93635595,True
25,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9346317,True
26,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,0.933504,True
27,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.9333113,True
28,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,0.924259,True
29,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_4,ResearchClassEN,0.9229603,True
30,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9221724,True
31,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9219841,True
32,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.920354,True
33,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.9197544,True
34,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9191681,True
35,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.91810113,True
36,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9180449,True
37,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.91768086,True
38,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.9169625,True
39,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.91658515,True
40,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,0.91634953,True
41,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9161811,True
42,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.91525304,True
43,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.91348535,True
44,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9130615,True
45,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9089017,True
46,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9079974,True
47,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.90725404,True
48,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9064623,True
49,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_2,ProvinceEN,0.9064255,True
50,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9047365,True
51,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9044816,True
52,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.90398866,True
53,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.90263414,True
54,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,0.90239346,True
55,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.9021737,True
56,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.90172184,True
57,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9013959,True
58,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9008139,True
59,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.89726937,True
60,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.89719903,True
61,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_4,ProgramIDProgramme,0.89697635,True
62,cihr_co-applicant_6,Program Name,cihr_co-applicant_8,Program Name,0.89686555,True
63,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.8966328,True
64,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.8961625,True
65,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.8960387,True
66,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.894036,True
67,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,0.8938859,True
68,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.8923769,True
69,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.8913001,True
70,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.89013445,True
71,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.88991034,True
72,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.8852107,True
73,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.8851081,True
74,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.88474923,True
75,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.8842896,True
76,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.8840833,True
77,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,0.88169444,True
78,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.8786217,True
79,cihr_co-applicant_6,Program Name,cihr_co-applicant_9,Program Name,0.87666214,True
80,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.8744933,True
81,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.87026805,True
82,cihr_co-applicant_0,Province,cihr_co-applicant_6,Province,0.8681407,True
83,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_2,AppOrgNm,0.8670642,True
84,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.86445504,True
85,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.8640275,True
86,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.86316556,True
87,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.86042213,True
88,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.8587862,True
89,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.8570347,True
90,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.85678786,True
91,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,0.85415584,True
92,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_4,CodeCommitteeCode,0.8531473,True
93,cihr_co-applicant_6,Program ID,cihr_co-applicant_9,Program ID,0.85169876,True
94,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_2,AppOrgID,0.8459843,True
95,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,0.8440711,True
96,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.84323627,True
97,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.8414873,True
98,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_4,AppOrgID,0.8386318,True
99,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.8370247,True
100,cihr_co-applicant_3,Committee Title,cihr_co-applicant_8,Committee Title,0.83243895,True
101,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_5,AppOrgID,0.8293524,True
102,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_4,TitreApplicationTitle,0.8201724,True
103,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,0.8178398,True
104,cihr_co-applicant_8,Committee Title,cihr_co-applicant_9,Committee,0.81622756,True
105,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.81596136,True
106,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,0.8132941,True
107,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.81203306,True
108,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_7,Program NameEN,0.8097719,True
