,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,1.0,textual,True
1,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,1.0,textual,True
2,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9993304014205932,textual,True
3,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9993304014205932,textual,True
4,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9993304014205932,textual,True
5,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9993304014205932,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.9986608028411864,textual,True
7,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9979912042617798,textual,True
8,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9975433349609376,textual,True
9,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.997321605682373,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.996935486793518,textual,True
11,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9966520071029664,textual,True
12,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9963061809539796,textual,True
13,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9960232973098756,textual,True
14,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9958499670028688,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.9948899745941162,textual,True
16,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.9945976734161376,textual,True
17,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9943623542785645,textual,True
18,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9941831827163696,textual,True
19,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9939265251159668,textual,True
20,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9937057495117188,textual,True
21,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.9933925867080688,textual,True
22,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9933798313140868,textual,True
23,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.992823600769043,textual,True
24,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.9924951791763306,textual,True
25,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9924108982086182,textual,True
26,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.9921939373016356,textual,True
27,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.9921491146087646,textual,True
28,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.9917479753494264,textual,True
29,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9916714429855348,textual,True
30,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9915281534194946,textual,True
31,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9912786483764648,textual,True
32,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.9912461042404176,textual,True
33,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.991168737411499,textual,True
34,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.9909827709197998,textual,True
35,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.9907171726226808,textual,True
36,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.9906691312789916,textual,True
37,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.9902788400650024,textual,True
38,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9900248050689696,textual,True
39,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.9897325038909912,textual,True
40,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9896917343139648,textual,True
