,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9999291896820068,textual,True
1,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.999753713607788,textual,True
2,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.998961329460144,textual,True
3,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_4,AreasOfScienceEN,0.9988198280334472,textual,True
4,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,0.9985359907150269,textual,True
5,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9983277320861816,textual,True
6,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9979349970817566,textual,True
7,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_9,Areas of Study,0.997696340084076,textual,True
8,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9974610805511476,textual,True
9,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.997446596622467,textual,True
10,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9972919225692748,textual,True
11,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9970868229866028,textual,True
12,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9968138933181764,textual,True
13,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.99656081199646,textual,True
14,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9964696168899536,textual,True
15,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9961349964141846,textual,True
16,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9956024885177612,textual,True
17,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.9955812692642212,textual,True
18,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.995208740234375,textual,True
19,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9949888586997986,textual,True
20,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9940336346626282,textual,True
21,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9937835931777954,textual,True
22,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.9936015605926514,textual,True
23,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,0.9935790300369264,textual,True
24,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9935036897659302,textual,True
25,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,0.9933152198791504,textual,True
26,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9930634498596193,textual,True
27,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9929879307746888,textual,True
28,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9921664595603944,textual,True
29,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9921343326568604,textual,True
30,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.992029070854187,textual,True
