,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9210981726646424,textual,True
1,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.9064691066741944,textual,True
2,cihr_co-applicant_7,Institution Country,cihr_co-applicant_8,Country,0.9060635566711426,textual,True
3,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9043914675712584,textual,True
4,cihr_co-applicant_10,Province,cihr_co-applicant_5,ProvinceEN,0.9009370803833008,textual,True
5,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.8998062014579773,textual,True
6,cihr_co-applicant_10,Program Code,cihr_co-applicant_11,ProgramIDProgramme,0.8979467153549194,textual,True
7,cihr_co-applicant_10,Program Code,cihr_co-applicant_8,Program ID,0.8971801400184631,textual,True
8,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.896851122379303,textual,True
9,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.8961473703384399,textual,True
10,cihr_co-applicant_10,Organization Code,cihr_co-applicant_11,AppOrgID,0.8955385088920593,textual,True
11,cihr_co-applicant_5,CountryEN,cihr_co-applicant_7,Institution Country,0.8954039812088013,textual,True
12,cihr_co-applicant_10,Province,cihr_co-applicant_4,ProvinceEN,0.895102322101593,textual,True
13,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_7,Institution Province,0.8949877619743347,textual,True
14,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.8949030637741089,textual,True
15,cihr_co-applicant_10,Organization Code,cihr_co-applicant_5,AppOrgID,0.8945565223693848,textual,True
16,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.8943421840667725,textual,True
17,cihr_co-applicant_6,Country,cihr_co-applicant_7,Institution Country,0.8940142393112183,textual,True
18,cihr_co-applicant_4,CountryEN,cihr_co-applicant_7,Institution Country,0.893769383430481,textual,True
19,cihr_co-applicant_1,nan3,cihr_co-applicant_2,AppOrgID,0.8934933543205261,textual,True
20,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.8925459980964661,textual,True
21,cihr_co-applicant_5,CountryEN,cihr_co-applicant_6,Country,0.8914865255355835,textual,True
22,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.8903974890708923,textual,True
23,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_7,Researcher,0.8899806141853333,textual,True
24,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_6,Province,0.8898446559906006,textual,True
25,cihr_co-applicant_10,Country,cihr_co-applicant_7,Institution Country,0.8894690871238708,textual,True
26,cihr_co-applicant_7,Researcher,cihr_co-applicant_8,App Name,0.8884567618370056,textual,True
27,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_8,Province,0.8874928951263428,textual,True
28,cihr_co-applicant_3,Country,cihr_co-applicant_4,CountryEN,0.887333333492279,textual,True
29,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.8860988616943359,textual,True
30,cihr_co-applicant_3,Province,cihr_co-applicant_5,ProvinceEN,0.8852722644805908,textual,True
31,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_7,ProgramID,0.8846839070320129,textual,True
32,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.8841896653175354,textual,True
33,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.8837234973907471,textual,True
34,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_9,Province,0.8835070729255676,textual,True
35,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.8827231526374817,textual,True
36,cihr_co-applicant_10,Applicant,cihr_co-applicant_11,AppNm,0.881915807723999,textual,True
37,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.8812302947044373,textual,True
38,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.8809797167778015,textual,True
39,cihr_co-applicant_3,Province,cihr_co-applicant_4,ProvinceEN,0.8808465003967285,textual,True
40,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.8807699084281921,textual,True
41,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.8803592324256897,textual,True
42,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.8798119425773621,textual,True
43,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.8796511888504028,textual,True
44,cihr_co-applicant_10,Province,cihr_co-applicant_11,ProvinceEN,0.8794054985046387,textual,True
45,cihr_co-applicant_3,Program Code,cihr_co-applicant_7,ProgramID,0.8779805898666382,textual,True
46,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.8769803643226624,textual,True
47,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.8767753839492798,textual,True
48,cihr_co-applicant_4,AppNm,cihr_co-applicant_7,Researcher,0.8766694664955139,textual,True
49,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.8766367435455322,textual,True
50,cihr_co-applicant_3,Committee Title,cihr_co-applicant_5,nan1,0.8757392764091492,textual,True
51,cihr_co-applicant_10,Applicant,cihr_co-applicant_4,AppNm,0.8755977749824524,textual,True
52,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_7,Institution Province,0.8755878210067749,textual,True
53,cihr_co-applicant_10,Committee Name,cihr_co-applicant_11,CommitteeNameEN,0.8745478987693787,textual,True
54,cihr_co-applicant_10,Province,cihr_co-applicant_7,Institution Province,0.8741432428359985,textual,True
55,cihr_co-applicant_10,Funding Category,cihr_co-applicant_11,FundingTypeEN,0.8738874197006226,textual,True
56,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.8733755350112915,textual,True
57,cihr_co-applicant_10,Applicant,cihr_co-applicant_8,App Name,0.8730360269546509,textual,True
58,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_6,Program ID,0.8726469874382019,textual,True
59,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_8,Program ID,0.8721866607666016,textual,True
60,cihr_co-applicant_10,Organization Code,cihr_co-applicant_7,Institution Code,0.8720681071281433,textual,True
61,cihr_co-applicant_10,Country,cihr_co-applicant_4,CountryEN,0.8718276619911194,textual,True
