,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_10,Province,cihr_co-applicant_11,ProvinceEN,0.9114573001861572,textual,True
1,cihr_co-applicant_10,Province,cihr_co-applicant_5,ProvinceEN,0.9046228528022766,textual,True
2,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.9043737053871156,textual,True
3,cihr_co-applicant_10,Province,cihr_co-applicant_7,Institution Province,0.9041684865951538,textual,True
4,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_7,Institution Province,0.90409654378891,textual,True
5,cihr_co-applicant_10,Organization Code,cihr_co-applicant_5,AppOrgID,0.9017861485481262,textual,True
6,cihr_co-applicant_5,CountryEN,cihr_co-applicant_7,Institution Country,0.9009929299354552,textual,True
7,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_6,Province,0.9008156061172484,textual,True
8,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.899718165397644,textual,True
9,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.8976732492446899,textual,True
10,cihr_co-applicant_11,CountryEN,cihr_co-applicant_9,Country,0.8974752426147461,textual,True
11,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.8971791863441467,textual,True
12,cihr_co-applicant_7,Institution Country,cihr_co-applicant_8,Country,0.8971565365791321,textual,True
13,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.8971163630485535,textual,True
14,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.8939465880393982,textual,True
15,cihr_co-applicant_10,Applicant,cihr_co-applicant_11,AppNm,0.8931916356086731,textual,True
16,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.8930663466453552,textual,True
17,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.8925082683563232,textual,True
18,cihr_co-applicant_1,nan0,cihr_co-applicant_2,AppNm,0.8924829363822937,textual,True
19,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.8913559913635254,textual,True
20,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.8912325501441956,textual,True
21,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.8908451795578003,textual,True
22,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_6,Province,0.8907135128974915,textual,True
23,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.8893411159515381,textual,True
24,cihr_co-applicant_11,CountryEN,cihr_co-applicant_7,Institution Country,0.8886402249336243,textual,True
25,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.8883220553398132,textual,True
26,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_5,AppNm,0.8880549073219299,textual,True
27,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_9,Province,0.8872315287590027,textual,True
28,cihr_co-applicant_10,Province,cihr_co-applicant_4,ProvinceEN,0.8870887756347656,textual,True
29,cihr_co-applicant_10,Applicant,cihr_co-applicant_5,AppNm,0.8863719701766968,textual,True
30,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.8860507011413574,textual,True
31,cihr_co-applicant_1,nan3,cihr_co-applicant_2,AppOrgID,0.8855080008506775,textual,True
32,cihr_co-applicant_3,Province,cihr_co-applicant_5,ProvinceEN,0.8853023648262024,textual,True
33,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.8832752108573914,textual,True
34,cihr_co-applicant_10,Country,cihr_co-applicant_7,Institution Country,0.8820846080780029,textual,True
35,cihr_co-applicant_10,Applicant,cihr_co-applicant_3,Applicant Name,0.881934642791748,textual,True
36,cihr_co-applicant_7,Researcher,cihr_co-applicant_8,App Name,0.8819016218185425,textual,True
37,cihr_co-applicant_7,Institution Province,cihr_co-applicant_8,Province,0.8818856477737427,textual,True
38,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.8816694617271423,textual,True
39,cihr_co-applicant_7,Institution Country,cihr_co-applicant_9,Country,0.8810964226722717,textual,True
40,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.880386471748352,textual,True
41,cihr_co-applicant_3,Country,cihr_co-applicant_4,CountryEN,0.88011234998703,textual,True
42,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.8798414468765259,textual,True
43,cihr_co-applicant_10,Committee Name,cihr_co-applicant_11,CommitteeNameEN,0.8793362975120544,textual,True
44,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_8,App Name,0.8787436485290527,textual,True
45,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.8781943917274475,textual,True
46,cihr_co-applicant_11,AppNm,cihr_co-applicant_3,Applicant Name,0.8781604170799255,textual,True
47,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.8779751062393188,textual,True
48,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_8,Program ID,0.8779414892196655,textual,True
49,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_9,Province,0.8776257038116455,textual,True
50,cihr_co-applicant_5,AppNm,cihr_co-applicant_9,App Name,0.8775522112846375,textual,True
51,cihr_co-applicant_1,nan2,cihr_co-applicant_2,AppRoleEN,0.8762718439102173,textual,True
52,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.8759448528289795,textual,True
53,cihr_co-applicant_11,AppNm,cihr_co-applicant_9,App Name,0.8759230375289917,textual,True
54,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_8,Province,0.8751363754272461,textual,True
55,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.8749639987945557,textual,True
56,cihr_co-applicant_4,TitreApplicationTitle,cihr_co-applicant_7,Research Title,0.8742412328720093,textual,True
57,cihr_co-applicant_10,Organization Code,cihr_co-applicant_11,AppOrgID,0.8742045164108276,textual,True
58,cihr_co-applicant_3,Committee Title,cihr_co-applicant_7,CommitteeNameEN,0.8740633130073547,textual,True
59,cihr_co-applicant_3,Country,cihr_co-applicant_7,Institution Country,0.8738948106765747,textual,True
60,cihr_co-applicant_5,AppNm,cihr_co-applicant_8,App Name,0.8736327290534973,textual,True
61,cihr_co-applicant_10,Applicant,cihr_co-applicant_4,AppNm,0.8735600709915161,textual,True
62,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_9,Province,0.8733954429626465,textual,True
63,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.8731355667114258,textual,True
64,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_4,AppNm,0.8725948929786682,textual,True
65,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.8723081350326538,textual,True
66,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_7,Institution Province,0.8716464042663574,textual,True
67,cihr_co-applicant_0,Organization Code,cihr_co-applicant_2,AppOrgID,0.8714596033096313,textual,True
68,cihr_co-applicant_3,Program Title,cihr_co-applicant_7,Program NameEN,0.8713135123252869,textual,True
69,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_7,Researcher,0.8708968162536621,textual,True
70,cihr_co-applicant_10,Funding Category,cihr_co-applicant_11,FundingTypeEN,0.8706660270690918,textual,True
71,cihr_co-applicant_3,Program Code,cihr_co-applicant_4,ProgramIDProgramme,0.870164155960083,textual,True
72,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.8688204884529114,textual,True
73,cihr_co-applicant_10,Program Code,cihr_co-applicant_11,ProgramIDProgramme,0.8682897090911865,textual,True
74,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.8682684302330017,textual,True
75,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.8678275346755981,textual,True
76,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_8,Province,0.8671616315841675,textual,True
77,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,0.8670528531074524,textual,True
78,cihr_co-applicant_4,AppNm,cihr_co-applicant_8,App Name,0.8670283555984497,textual,True
79,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.8665229678153992,textual,True
80,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.8664873838424683,textual,True
81,cihr_co-applicant_7,Institution Code,cihr_co-applicant_8,Org Code,0.8664751648902893,textual,True
82,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_3,Province,0.8662990927696228,textual,True
83,cihr_co-applicant_10,Applicant,cihr_co-applicant_9,App Name,0.8661092519760132,textual,True
84,cihr_co-applicant_4,CountryEN,cihr_co-applicant_9,Country,0.865959882736206,textual,True
85,cihr_co-applicant_4,AppNm,cihr_co-applicant_9,App Name,0.865940511226654,textual,True
86,cihr_co-applicant_1,nan6,cihr_co-applicant_2,CountryEN,0.8654283881187439,textual,True
87,cihr_co-applicant_4,AppNm,cihr_co-applicant_6,App Name,0.8647675514221191,textual,True
88,cihr_co-applicant_3,Province,cihr_co-applicant_7,Institution Province,0.8646667003631592,textual,True
89,cihr_co-applicant_3,Research Title,cihr_co-applicant_4,TitreApplicationTitle,0.8642085790634155,textual,True
90,cihr_co-applicant_10,Program,cihr_co-applicant_11,ProgramNameEN,0.8639947772026062,textual,True
